,0
0,2.48
1,2.46
2,2.44
3,2.42
4,2.4
5,2.38
6,2.36
7,2.34
8,2.32
9,2.3
10,2.28
11,2.26
12,2.24
13,2.2199999999999998
14,2.2
15,2.18
16,2.16
17,2.14
18,2.12
19,2.1
20,2.08
21,2.06
22,2.04
23,2.02
24,2.0
25,1.98
26,1.96
27,1.94
28,1.92
29,1.9
30,1.88
31,1.8599999999999999
32,1.8399999999999999
33,1.8199999999999998
34,1.8
35,1.78
36,1.76
37,1.74
38,1.72
39,1.7
40,1.6800000000000002
41,1.6600000000000001
42,1.6400000000000001
43,1.62
44,1.6
45,1.58
46,1.56
47,1.54
48,1.52
49,1.5
50,1.48
51,1.46
52,1.44
53,1.42
54,1.4
55,1.38
56,1.36
57,1.34
58,1.32
59,1.3
60,1.28
61,1.26
62,1.24
63,1.22
64,1.2
65,1.18
66,1.16
67,1.14
68,1.12
69,1.1
70,1.08
71,1.06
72,1.04
73,1.02
74,1.0
75,0.98
76,0.96
77,0.94
78,0.9199999999999999
79,0.8999999999999999
80,0.8799999999999999
81,0.8600000000000001
82,0.8400000000000001
83,0.8200000000000001
84,0.8
85,0.78
86,0.76
87,0.74
88,0.72
89,0.7
90,0.6799999999999999
91,0.6599999999999999
92,0.6399999999999999
93,0.6200000000000001
94,0.6000000000000001
95,0.5800000000000001
96,0.56
97,0.54
98,0.52
99,0.5
