,0
0,0.52
1,0.54
2,0.56
3,0.58
4,0.6
5,0.62
6,0.64
7,0.66
8,0.6799999999999999
9,0.7
10,0.72
11,0.74
12,0.76
13,0.78
14,0.8
15,0.8200000000000001
16,0.8400000000000001
17,0.86
18,0.88
19,0.9
20,0.9199999999999999
21,0.94
22,0.96
23,0.98
24,1.0
25,1.02
26,1.04
27,1.06
28,1.08
29,1.1
30,1.12
31,1.1400000000000001
32,1.1600000000000001
33,1.1800000000000002
34,1.2
35,1.22
36,1.24
37,1.26
38,1.28
39,1.3
40,1.3199999999999998
41,1.3399999999999999
42,1.3599999999999999
43,1.38
44,1.4
45,1.42
46,1.44
47,1.46
48,1.48
49,1.5
50,1.52
51,1.54
52,1.56
53,1.58
54,1.6
55,1.62
56,1.64
57,1.66
58,1.68
59,1.7
60,1.72
61,1.74
62,1.76
63,1.78
64,1.8
65,1.82
66,1.84
67,1.86
68,1.88
69,1.9
70,1.92
71,1.94
72,1.96
73,1.98
74,2.0
75,2.02
76,2.04
77,2.06
78,2.08
79,2.1
80,2.12
81,2.1399999999999997
82,2.16
83,2.1799999999999997
84,2.2
85,2.2199999999999998
86,2.24
87,2.26
88,2.2800000000000002
89,2.3
90,2.3200000000000003
91,2.34
92,2.3600000000000003
93,2.38
94,2.4
95,2.42
96,2.44
97,2.46
98,2.48
99,2.5
