,Cylinders,Horse_power,Weight,Acceleration,Model_year,Origin,Mpg
0,27.0,4.0,88.0,2100.0,16.5,72.0,3.0
1,22.0,6.000000000000001,100.0,3233.0,15.4,76.0,1.0
2,25.0,4.0,75.0,2542.0,17.0,74.0,1.0
3,30.0,4.0,68.0,2155.0,16.5,78.0,1.0
4,26.799999999999997,6.000000000000001,115.0,2700.0,12.9,79.0,1.0
5,26.000000000000004,4.0,93.0,2391.0,15.5,74.0,3.0
6,35.7,4.0,80.0,1915.0000000000002,14.399999999999999,79.0,1.0
7,21.000000000000004,6.000000000000001,85.0,2587.0,16.0,70.0,1.0
8,30.0,4.0,80.0,2155.0,14.800000000000002,77.0,1.0
9,31.799999999999997,4.0,65.0,2020.0000000000002,19.2,79.0,3.0
10,30.0,4.0,70.0,2074.0,19.5,71.0,2.0
11,15.0,8.0,145.0,4081.9999999999995,13.0,73.0,1.0
12,39.0,4.0,64.0,1875.0,16.4,81.0,1.0
13,36.0,4.0,58.00000000000001,1825.0,18.6,77.0,2.0
14,31.0,4.0,82.0,2720.0,19.4,82.0,1.0
15,14.0,8.0,150.0,4257.0,15.5,74.0,1.0
16,29.8,4.0,90.0,2711.0,15.5,80.0,3.0
17,19.0,6.000000000000001,100.0,3630.0000000000005,17.7,77.0,1.0
18,16.0,6.000000000000001,100.0,3278.0,18.0,73.0,1.0
19,17.5,8.0,140.0,4215.0,13.0,76.0,1.0
20,13.000000000000002,8.0,150.0,4699.0,14.499999999999998,74.0,1.0
21,28.0,4.0,75.0,2125.0,14.499999999999998,74.0,1.0
22,14.0,8.0,175.0,4464.0,11.5,71.0,1.0
23,14.0,8.0,150.0,4077.0,14.0,72.0,1.0
24,27.9,4.0,105.0,2800.0,14.399999999999999,80.0,1.0
25,20.8,6.000000000000001,85.0,3070.0,16.7,78.0,1.0
26,20.5,6.000000000000001,95.0,3155.0,18.2,78.0,1.0
27,22.3,4.0,88.0,2890.0,17.3,79.0,1.0
28,24.0,4.0,96.0,2702.0,13.5,75.0,3.0
29,27.0,4.0,83.0,2202.0,15.3,76.0,2.0
30,10.0,8.0,200.0,4376.0,15.000000000000002,70.0,1.0
31,19.2,8.0,145.0,3425.0,13.2,78.0,1.0
32,23.8,4.0,85.0,2855.0,17.6,78.0,1.0
33,21.000000000000004,6.000000000000001,107.00000000000001,2472.0,14.0,73.0,1.0
34,22.0,4.0,93.99999999999999,2379.0,16.5,73.0,3.0
