,Cylinders,Displacement,Horse_power,Weight,Model_year,Origin,Mpg
0,27.0,4.0,97.0,88.0,2100.0,72.0,3.0
1,22.0,6.0,225.0,100.0,3233.0,76.0,1.0
2,25.0,4.0,140.0,75.0,2542.0,74.0,1.0
3,30.0,4.0,98.0,68.0,2155.0,78.0,1.0
4,26.8,6.0,173.0,115.0,2700.0,79.0,1.0
5,26.0,4.0,108.0,93.0,2391.0,74.0,3.0
6,35.7,4.0,98.0,80.0,1915.0,79.0,1.0
7,21.0,6.0,200.0,85.0,2587.0,70.0,1.0
8,30.0,4.0,111.0,80.0,2155.0,77.0,1.0
9,31.8,4.0,84.99999999999999,65.0,2020.0,79.0,3.0
10,30.0,4.0,79.0,70.0,2074.0,71.0,2.0
11,15.0,8.0,350.0,145.0,4082.0,73.0,1.0
12,39.0,4.0,86.0,64.0,1875.0,81.0,1.0
13,36.0,4.0,79.0,58.0,1825.0,77.0,2.0
14,31.0,4.0,119.0,82.0,2720.0,82.0,1.0
15,14.0,8.0,304.0,150.0,4257.0,74.0,1.0
16,29.8,4.0,134.0,90.0,2711.0,80.0,3.0
17,19.0,6.0,225.0,100.0,3630.0,77.0,1.0
18,16.0,6.0,250.0,100.0,3278.0,73.0,1.0
19,17.5,8.0,305.0,140.0,4215.0,76.0,1.0
20,13.0,8.0,350.0,150.0,4699.0,74.0,1.0
21,28.0,4.0,89.99999999999999,75.0,2125.0,74.0,1.0
22,14.0,8.0,400.0,175.0,4464.0,71.0,1.0
23,14.0,8.0,318.0,150.0,4077.0,72.0,1.0
24,27.9,4.0,156.0,105.0,2800.0,80.0,1.0
25,20.8,6.0,200.0,85.0,3070.0,78.0,1.0
26,20.5,6.0,200.0,95.0,3155.0,78.0,1.0
27,22.3,4.0,140.0,88.0,2890.0,79.0,1.0
28,24.0,4.0,134.0,96.0,2702.0,75.0,3.0
29,27.0,4.0,101.0,83.0,2202.0,76.0,2.0
30,10.0,8.0,307.0,200.0,4376.0,70.0,1.0
31,19.2,8.0,305.0,145.0,3425.0,78.0,1.0
32,23.8,4.0,151.0,85.0,2855.0,78.0,1.0
33,21.0,6.0,155.0,107.0,2472.0,73.0,1.0
34,22.0,4.0,108.0,94.0,2379.0,73.0,3.0
35,27.2,4.0,135.0,84.0,2490.0,81.0,1.0
36,17.6,6.0,225.0,85.0,3465.0,81.0,1.0
37,25.0,4.0,116.0,81.0,2220.0,76.0,2.0
38,25.0,4.0,121.0,115.0,2671.0,75.0,2.0
39,12.0,8.0,400.0,167.0,4906.0,73.0,1.0
40,16.0,6.0,250.0,100.0,3781.0,74.0,1.0
41,18.0,6.0,171.0,97.0,2984.0,75.0,1.0
42,15.0,8.0,318.0,150.0,3777.0,73.0,1.0
43,27.0,4.0,97.0,60.0,1834.0,71.0,2.0
44,32.9,4.0,119.0,100.0,2615.0,81.0,3.0
45,31.0,4.0,79.0,67.0,1950.0,74.0,3.0
46,15.0,8.0,429.0,198.0,4341.0,70.0,1.0
47,13.0,8.0,350.0,165.0,4274.0,72.0,1.0
48,19.0,6.0,232.0,100.0,2634.0,71.0,1.0
49,13.0,8.0,350.0,145.0,4055.0,76.0,1.0
50,20.2,6.0,232.0,90.0,3265.0,79.0,1.0
51,27.5,4.0,134.0,95.0,2560.0,78.0,3.0
52,24.0,6.0,200.0,81.0,3012.0,76.0,1.0
53,18.1,8.0,302.0,139.0,3205.0,78.0,1.0
54,13.0,8.0,302.0,129.0,3169.0,75.0,1.0
55,16.0,8.0,318.0,150.0,4190.0,76.0,1.0
56,16.0,8.0,400.0,170.0,4668.0,75.0,1.0
57,19.0,6.0,232.0,100.0,2901.0,74.0,1.0
58,30.9,4.0,105.0,75.0,2230.0,78.0,1.0
59,24.5,4.0,151.0,88.0,2740.0,77.0,1.0
60,12.0,8.0,383.0,180.0,4955.0,71.0,1.0
61,16.0,8.0,304.0,150.0,3433.0,70.0,1.0
62,15.0,8.0,400.0,150.0,3761.0,70.0,1.0
63,22.0,6.0,250.0,105.0,3353.0,76.0,1.0
64,32.0,4.0,71.0,65.0,1836.0,74.0,3.0
65,27.0,4.0,97.0,88.0,2130.0,70.0,3.0
66,15.0,8.0,304.0,150.0,3892.0,72.0,1.0
67,32.0,4.0,84.99999999999999,70.0,1990.0,76.0,3.0
68,18.0,6.0,232.0,100.0,3288.0,71.0,1.0
69,15.0,6.0,250.0,72.0,3432.0,75.0,1.0
70,23.9,8.0,260.0,90.0,3420.0,79.0,1.0
71,25.5,4.0,140.0,89.0,2755.0,77.0,1.0
72,40.8,4.0,84.99999999999999,65.0,2110.0,80.0,3.0
73,9.0,8.0,304.0,193.0,4732.0,70.0,1.0
74,30.5,4.0,97.0,78.0,2190.0,77.0,2.0
75,15.0,8.0,318.0,150.0,4135.0,72.0,1.0
76,18.0,4.0,121.0,112.0,2933.0,72.0,2.0
77,16.0,8.0,318.0,150.0,4498.0,75.0,1.0
78,29.0,4.0,84.99999999999999,52.0,2035.0,76.0,1.0
79,25.5,4.0,122.0,96.0,2300.0,77.0,1.0
80,17.0,8.0,305.0,130.0,3840.0,79.0,1.0
81,26.0,4.0,116.0,75.0,2246.0,74.0,2.0
82,13.0,8.0,318.0,150.0,3755.0,76.0,1.0
83,27.0,4.0,151.0,90.0,2735.0,82.0,1.0
84,14.0,8.0,455.0,225.0,3086.0,70.0,1.0
