,Mpg,Cylinders,Displacement,Horse_power,Weight,Model_year,Origin
0,27,4,97,88,2100,72,3
1,22,6,225,100,3233,76,1
2,25,4,140,75,2542,74,1
3,30,4,98,68,2155,78,1
4,26.8,6,173,115,2700,79,1
5,26,4,108,93,2391,74,3
6,35.7,4,98,80,1915,79,1
7,21,6,200,85,2587,70,1
8,30,4,111,80,2155,77,1
9,31.8,4,85,65,2020,79,3
10,30,4,79,70,2074,71,2
11,15,8,350,145,4082,73,1
12,39,4,86,64,1875,81,1
13,36,4,79,58,1825,77,2
14,31,4,119,82,2720,82,1
15,14,8,304,150,4257,74,1
16,29.8,4,134,90,2711,80,3
17,19,6,225,100,3630,77,1
18,16,6,250,100,3278,73,1
19,17.5,8,305,140,4215,76,1
20,13,8,350,150,4699,74,1
21,28,4,90,75,2125,74,1
22,14,8,400,175,4464,71,1
23,14,8,318,150,4077,72,1
24,27.9,4,156,105,2800,80,1
25,20.8,6,200,85,3070,78,1
26,20.5,6,200,95,3155,78,1
27,22.3,4,140,88,2890,79,1
28,24,4,134,96,2702,75,3
29,27,4,101,83,2202,76,2
30,10,8,307,200,4376,70,1
31,19.2,8,305,145,3425,78,1
32,23.8,4,151,85,2855,78,1
33,21,6,155,107,2472,73,1
34,22,4,108,94,2379,73,3
35,27.2,4,135,84,2490,81,1
36,17.6,6,225,85,3465,81,1
37,25,4,116,81,2220,76,2
38,25,4,121,115,2671,75,2
39,12,8,400,167,4906,73,1
40,16,6,250,100,3781,74,1
41,18,6,171,97,2984,75,1
42,15,8,318,150,3777,73,1
43,27,4,97,60,1834,71,2
44,32.9,4,119,100,2615,81,3
45,31,4,79,67,1950,74,3
46,15,8,429,198,4341,70,1
47,13,8,350,165,4274,72,1
48,19,6,232,100,2634,71,1
49,13,8,350,145,4055,76,1
50,20.2,6,232,90,3265,79,1
51,27.5,4,134,95,2560,78,3
52,24,6,200,81,3012,76,1
53,18.1,8,302,139,3205,78,1
54,13,8,302,129,3169,75,1
55,16,8,318,150,4190,76,1
56,16,8,400,170,4668,75,1
57,19,6,232,100,2901,74,1
58,30.9,4,105,75,2230,78,1
59,24.5,4,151,88,2740,77,1
60,12,8,383,180,4955,71,1
61,16,8,304,150,3433,70,1
62,15,8,400,150,3761,70,1
63,22,6,250,105,3353,76,1
64,32,4,71,65,1836,74,3
65,27,4,97,88,2130,70,3
66,15,8,304,150,3892,72,1
67,32,4,85,70,1990,76,3
68,18,6,232,100,3288,71,1
69,15,6,250,72,3432,75,1
70,23.9,8,260,90,3420,79,1
71,25.5,4,140,89,2755,77,1
72,40.8,4,85,65,2110,80,3
73,9,8,304,193,4732,70,1
74,30.5,4,97,78,2190,77,2
75,15,8,318,150,4135,72,1
76,18,4,121,112,2933,72,2
77,16,8,318,150,4498,75,1
78,29,4,85,52,2035,76,1
79,25.5,4,122,96,2300,77,1
80,17,8,305,130,3840,79,1
81,26,4,116,75,2246,74,2
82,13,8,318,150,3755,76,1
83,27,4,151,90,2735,82,1
84,14,8,455,225,3086,70,1
85,34,4,108,70,2245,82,3
86,34.3,4,97,78,2188,80,2
87,20.3,5,131,103,2830,78,2
88,36,4,107,75,2205,82,3
89,14,8,400,175,4385,72,1
90,24,4,119,97,2545,75,3
91,14,8,318,150,4457,74,1
92,18.5,6,250,98,3525,77,1
93,18,6,250,78,3574,76,1
94,13,8,360,170,4654,73,1
95,32.4,4,107,72,2290,80,3
96,15.5,8,318,145,4140,77,1
97,16,8,400,180,4220,77,1
98,17.5,6,250,110,3520,77,1
99,27.2,4,119,97,2300,78,3
100,19,3,70,97,2330,72,3
101,20,6,156,122,2807,73,3
102,26.6,8,350,105,3725,81,1
103,14,8,302,137,4042,73,1
104,23,4,122,86,2220,71,1
105,16,8,400,230,4278,73,1
106,18,6,232,100,2945,73,1
107,18,6,250,88,3139,71,1
108,28.1,4,141,80,3230,81,2
109,11,8,318,210,4382,70,1
110,22.5,6,232,90,3085,76,1
111,14,8,350,165,4209,71,1
112,44.6,4,91,67,1850,80,3
113,15,8,350,165,3693,70,1
114,29,4,135,84,2525,82,1
115,18,6,250,105,3459,75,1
116,16,8,302,140,4141,74,1
117,13,8,350,145,3988,73,1
118,41.5,4,98,76,2144,80,2
119,17,8,260,110,4060,77,1
120,30,4,146,67,3250,80,2
121,17.5,8,318,140,4080,78,1
122,11,8,350,180,3664,73,1
123,20.2,8,302,139,3570,78,1
124,31,4,71,65,1773,71,3
125,23,8,350,125,3900,79,1
126,18,6,225,105,3613,74,1
127,33,4,105,74,2190,81,2
128,26,4,97,46,1835,70,2
129,24.3,4,151,90,3003,80,1
130,23,4,115,95,2694,75,2
131,32.2,4,108,75,2265,80,3
132,19,4,122,85,2310,73,1
133,17.6,8,302,129,3725,79,1
134,34.7,4,105,63,2215,81,1
135,18.5,6,250,110,3645,76,1
136,13,8,350,175,4100,73,1
137,19.2,6,231,105,3535,78,1
138,21.5,6,231,115,3245,79,1
139,20.5,6,231,105,3425,77,1
140,39.1,4,79,58,1755,81,3
141,34.5,4,105,70,2150,79,1
142,24.5,4,98,60,2164,76,1
143,32.1,4,98,70,2120,80,1
144,32,4,91,67,1965,82,3
145,33.5,4,85,70,1945,77,3
146,19,4,120,88,3270,76,2
147,27,4,97,88,2130,71,3
148,13,8,360,175,3821,73,1
149,27,4,151,90,2950,82,1
150,11,8,429,208,4633,72,1
151,20.6,6,225,110,3360,79,1
152,24.2,6,146,120,2930,81,3
153,21.5,4,121,110,2600,77,2
