,Thermal Distress,Launch Temperature,Temporal Order of Flight
0,0.0,66.0,1.0
1,0.0,76.0,22.0
2,0.0,67.0,4.999999999999999
3,0.0,70.0,8.0
4,2.0,53.0,14.0
5,0.0,66.0,1.0
6,0.0,70.0,17.0
7,0.0,72.0,6.0
8,2.0,75.0,21.0
9,1.0,58.0,23.0
10,0.0,67.0,13.0
11,0.0,69.0,3.0
12,1.0,63.0,10.0
13,1.0,63.0,10.0
14,1.0,57.0,9.0
15,0.0,72.0,6.0
16,1.0,70.0,11.0
17,0.0,68.0,4.000000000000001
18,1.0,70.0,11.0
19,0.0,79.0,20.0
20,0.0,73.0,7.0
21,0.0,70.0,8.0
22,0.0,81.0,18.0
23,0.0,76.0,19.0
24,0.0,75.0,16.0
25,1.0,70.0,2.0
26,0.0,73.0,7.0
27,0.0,78.0,12.0
28,0.0,81.0,18.0
29,1.0,57.0,9.0
30,2.0,53.0,14.0
31,0.0,75.0,16.0
