,Angle of Attack
781,4.2
1295,3.3
438,7.3
251,2.0
1010,4.8
532,2.7
378,5.3
896,15.4
875,15.4
1062,9.5
460,0.0
1201,17.4
914,15.4
1367,6.7
600,7.2
437,7.3
590,5.4
982,0.0
867,11.2
444,7.3
952,19.7
1006,0.0
188,0.0
1489,15.6
845,11.2
881,15.4
1028,4.8
397,7.3
388,5.3
177,4.0
1410,12.3
869,15.4
877,15.4
1306,3.3
1244,0.0
1326,3.3
630,9.9
264,2.0
686,9.9
560,5.4
501,0.0
387,5.3
1035,4.8
979,0.0
42,0.0
2,0.0
62,0.0
643,9.9
383,5.3
1436,12.3
903,15.4
1001,0.0
185,4.0
789,4.2
615,7.2
216,0.0
1152,17.4
667,9.9
803,8.4
871,15.4
19,0.0
1423,12.3
436,7.3
157,4.0
299,4.0
961,19.7
779,4.2
1485,15.6
386,5.3
1449,12.3
963,0.0
1429,12.3
470,0.0
681,9.9
940,19.7
410,7.3
205,0.0
876,15.4
578,5.4
233,0.0
1021,4.8
824,8.4
1366,6.7
119,3.0
542,5.4
991,0.0
102,3.0
1264,0.0
605,7.2
674,9.9
417,7.3
953,19.7
1402,8.9
1128,12.7
1289,0.0
685,9.9
1047,4.8
617,7.2
955,19.7
268,2.0
151,3.0
1362,6.7
660,9.9
449,7.3
144,3.0
687,9.9
1338,3.3
328,4.0
1405,8.9
178,4.0
623,7.2
553,5.4
906,15.4
1101,9.5
414,7.3
496,0.0
462,0.0
859,11.2
524,2.7
654,9.9
592,5.4
195,0.0
602,7.2
248,2.0
717,12.6
182,4.0
664,9.9
142,3.0
929,15.4
489,0.0
1169,17.4
690,9.9
222,0.0
1105,9.5
1038,4.8
947,19.7
733,0.0
581,5.4
94,1.5
827,8.4
694,12.6
1040,4.8
499,0.0
17,0.0
809,8.4
1448,12.3
426,7.3
567,5.4
1011,4.8
610,7.2
634,9.9
815,8.4
604,7.2
1368,6.7
1126,12.7
466,0.0
1140,12.7
56,0.0
221,0.0
347,4.0
648,9.9
726,0.0
320,4.0
1192,17.4
136,3.0
962,0.0
256,2.0
948,19.7
253,2.0
570,5.4
60,0.0
874,15.4
998,0.0
332,4.0
912,15.4
1333,3.3
771,0.0
440,7.3
149,3.0
27,0.0
695,12.6
1426,12.3
1276,0.0
1084,9.5
1076,9.5
1413,12.3
1072,9.5
1159,17.4
68,1.5
111,3.0
20,0.0
1301,3.3
1173,17.4
404,7.3
1364,6.7
668,9.9
882,15.4
431,7.3
642,9.9
1058,9.5
46,0.0
775,0.0
47,0.0
1334,3.3
1396,8.9
455,0.0
638,9.9
658,9.9
1183,17.4
1371,6.7
515,2.7
573,5.4
1374,6.7
1162,17.4
688,9.9
30,0.0
950,19.7
978,0.0
1322,3.3
663,9.9
1319,3.3
84,1.5
474,0.0
252,2.0
847,11.2
288,2.0
271,2.0
1154,17.4
1420,12.3
459,0.0
790,4.2
1103,9.5
468,0.0
699,12.6
395,7.3
325,4.0
1109,9.5
731,0.0
1189,17.4
447,7.3
722,12.6
12,0.0
154,3.0
544,5.4
348,4.0
1270,0.0
1234,22.2
479,0.0
373,5.3
355,4.0
987,0.0
735,0.0
1307,3.3
145,3.0
1268,0.0
211,0.0
0,0.0
1015,4.8
910,15.4
311,4.0
1324,3.3
40,0.0
656,9.9
1425,12.3
530,2.7
302,4.0
421,7.3
375,5.3
1008,4.8
385,5.3
1421,12.3
902,15.4
1381,8.9
523,2.7
1211,22.2
366,5.3
1291,0.0
770,0.0
1387,8.9
461,0.0
707,12.6
412,7.3
1132,12.7
546,5.4
853,11.2
224,0.0
1296,3.3
96,1.5
1393,8.9
250,2.0
457,0.0
398,7.3
1034,4.8
278,2.0
133,3.0
286,2.0
1500,15.6
313,4.0
169,4.0
531,2.7
697,12.6
448,7.3
370,5.3
941,19.7
1467,12.3
342,4.0
1293,0.0
977,0.0
92,1.5
1417,12.3
582,5.4
88,1.5
1304,3.3
517,2.7
1156,17.4
672,9.9
1146,12.7
191,0.0
954,19.7
473,0.0
520,2.7
640,9.9
975,0.0
1351,6.7
1487,15.6
442,7.3
10,0.0
1174,17.4
1091,9.5
548,5.4
580,5.4
1311,3.3
331,4.0
951,19.7
335,4.0
538,2.7
1097,9.5
1195,17.4
1330,3.3
26,0.0
25,0.0
624,7.2
1347,6.7
131,3.0
1200,17.4
1428,12.3
552,5.4
844,11.2
1031,4.8
120,3.0
516,2.7
833,8.4
215,0.0
148,3.0
492,0.0
984,0.0
645,9.9
828,8.4
1386,8.9
287,2.0
848,11.2
360,5.3
1262,0.0
968,0.0
842,11.2
282,2.0
1422,12.3
1118,12.7
1275,0.0
39,0.0
1179,17.4
1342,3.3
323,4.0
646,9.9
583,5.4
336,4.0
1475,15.6
1498,15.6
319,4.0
1092,9.5
1369,6.7
77,1.5
72,1.5
64,0.0
48,0.0
861,11.2
1064,9.5
1214,22.2
413,7.3
831,8.4
116,3.0
217,0.0
1095,9.5
432,7.3
608,7.2
1014,4.8
1358,6.7
715,12.6
61,0.0
784,4.2
435,7.3
229,0.0
103,3.0
801,8.4
884,15.4
1127,12.7
74,1.5
971,0.0
1255,0.0
521,2.7
1390,8.9
1272,0.0
1226,22.2
1350,6.7
527,2.7
1248,0.0
1198,17.4
1100,9.5
1144,12.7
555,5.4
396,7.3
1269,0.0
1225,22.2
1081,9.5
579,5.4
