,Scaled sound pressure level
781,133.59799999999998
1295,131.434
438,128.679
251,127.006
1010,134.928
532,128.139
378,132.251
896,127.04
875,131.515
1062,134.976
460,129.377
1201,139.226
914,120.51299999999999
1367,122.235
600,136.023
437,110.839
590,122.771
982,121.93299999999999
867,119.67
444,123.209
952,128.444
1006,125.62700000000001
188,128.144
1489,122.75399999999999
845,130.311
881,125.715
1028,124.39399999999999
397,126.838
388,115.311
177,130.173
1410,131.56799999999998
869,123.595
877,130.845
1306,126.59899999999999
1244,131.725
1326,128.401
630,135.329
264,126.75200000000001
686,117.119
560,130.567
501,130.987
387,115.801
1035,125.96600000000001
979,134.563
42,119.229
2,125.95100000000001
62,115.645
643,114.569
383,123.081
1436,117.054
903,122.89299999999999
1001,138.607
185,118.743
789,130.197
615,132.658
216,123.565
1152,122.60600000000001
667,126.345
803,134.226
871,126.195
19,126.986
1423,116.10799999999999
436,111.959
157,128.175
299,126.758
961,108.684
779,131.97799999999998
1485,116.46799999999999
386,118.441
1449,121.165
963,137.007
1429,133.774
470,126.713
681,127.179
940,124.555
410,133.174
205,127.53
876,131.865
578,119.137
233,130.725
1021,132.35399999999998
824,131.205
1366,127.375
119,123.069
542,126.291
991,133.376
102,127.634
1264,127.73
605,124.353
674,112.265
417,118.994
953,120.324
1402,123.82
1128,120.538
1289,126.93299999999999
685,118.619
1047,125.348
617,132.358
955,118.904
268,122.23200000000001
151,119.598
1362,133.355
660,110.555
449,114.709
144,127.54799999999999
687,116.859
1338,130.392
328,117.154
1405,119.35
178,131.07299999999998
623,111.818
553,116.411
906,125.963
1101,126.88600000000001
414,125.72399999999999
496,120.553
462,126.45700000000001
859,131.96
524,113.03399999999999
654,119.875
592,118.291
195,122.044
602,132.513
248,128.816
717,112.16
182,123.213
664,128.345
142,123.118
929,119.945
489,131.013
1169,122.411
690,111.459
222,127.095
1105,131.446
1038,133.436
947,113.045
733,134.43
581,116.677
94,112.251
827,127.465
694,129.744
1040,135.42600000000002
499,125.99700000000001
17,126.96600000000001
809,126.152
1448,122.435
426,130.299
567,114.927
1011,135.468
610,113.333
634,129.889
815,131.542
604,128.643
1368,126.266
1126,128.97799999999998
466,117.087
1140,129.02700000000002
56,124.355
221,129.395
347,126.149
648,131.605
726,129.45
320,132.134
1192,123.564
136,120.162
962,133.707
256,115.99600000000001
948,125.97399999999999
253,124.086
570,129.937
60,119.135
874,129.645
998,132.89700000000002
332,127.039
912,123.443
1333,131.362
771,134.11
440,130.239
149,122.088
27,113.07600000000001
695,128.484
1426,133.29399999999998
1276,127.801
1084,121.154
1076,134.15200000000002
1413,140.158
1072,130.332
1159,126.536
68,125.87200000000001
111,110.22399999999999
20,126.616
1301,128.704
1173,126.471
404,115.29799999999999
1364,134.515
668,123.835
882,122.675
431,121.059
642,115.079
1058,127.206
46,112.139
775,122.45
47,109.619
1334,133.012
1396,135.54
455,127.307
638,121.789
658,112.945
1183,115.444
1371,132.116
515,130.644
573,130.507
1374,129.256
1162,119.916
688,114.729
30,119.319
950,129.864
978,136.16299999999998
1322,133.211
663,128.595
1319,127.251
84,128.83100000000002
474,129.673
252,126.116
847,136.031
288,129.05700000000002
271,120.137
1154,125.816
1420,121.318
459,128.127
790,132.58700000000002
1103,130.746
468,120.573
699,123.054
395,133.768
325,122.39399999999999
1109,128.536
731,135.07
1189,127.61399999999999
447,119.039
722,104.5
12,112.241
154,113.85799999999999
544,131.281
348,128.939
1270,130.781
1234,122.21600000000001
479,123.303
373,114.9
355,120.209
987,135.346
735,130.89
1307,129.119
145,128.69799999999998
1268,125.40100000000001
211,125.16
0,126.20100000000001
1015,127.68799999999999
910,126.743
311,112.848
1324,132.30100000000002
40,121.399
656,118.365
1425,132.304
530,130.829
302,131.708
421,111.53399999999999
375,127.01100000000001
1008,130.828
385,116.15100000000001
1421,120.79799999999999
902,121.78299999999999
1381,138.523
523,116.72399999999999
1211,117.927
366,130.46
1291,124.25299999999999
770,135.49
1387,124.23299999999999
461,128.857
707,108.03399999999999
412,128.444
1132,125.527
546,134.111
853,127.141
224,125.025
1296,132.304
96,106.111
1393,133.42
250,126.896
457,129.667
398,127.35799999999999
1034,125.02600000000001
278,125.837
133,125.802
286,123.417
1500,106.604
313,114.258
169,117.785
531,130.049
697,121.664
448,115.309
370,120.33
941,121.885
1467,110.447
342,117.649
1293,115.89299999999999
977,136.10299999999998
92,116.241
1417,126.648
582,125.741
88,122.101
1304,121.234
517,128.334
1156,126.406
672,116.295
1146,116.01700000000001
191,128.35399999999998
954,119.17399999999999
473,130.183
520,124.36399999999999
640,119.639
975,133.22299999999998
1351,124.458
1487,123.514
442,128.16899999999998
10,117.15100000000001
1174,125.26100000000001
1091,131.274
548,131.111
580,117.037
1311,133.649
331,123.87899999999999
951,130.614
335,129.969
538,116.65899999999999
1097,119.146
1195,116.146
1330,118.09100000000001
26,116.476
25,117.976
624,114.258
1347,137.658
131,129.55200000000002
1200,136.886
1428,136.414
552,120.061
844,129.281
1031,118.696
120,122.439
516,130.114
833,128.246
215,121.055
148,124.838
492,125.603
984,130.026
645,131.955
828,123.965
1386,128.763
287,126.677
848,136.941
360,127.7
1262,129.5
968,130.787
842,127.101
282,120.227
1422,118.01799999999999
1118,130.34799999999998
1275,130.961
39,123.689
1179,114.861
1342,120.70200000000001
323,124.25399999999999
646,133.235
583,127.781
336,128.339
1475,133.808
1498,110.264
319,131.864
1092,131.234
1369,128.296
77,113.492
72,123.39200000000001
64,110.515
48,117.195
861,133.79
1064,136.166
1214,123.227
413,125.194
831,122.96600000000001
116,129.329
217,126.195
1095,125.044
432,117.809
608,118.34299999999999
1014,127.398
1358,129.653
715,116.56
61,118.145
784,125.26799999999999
435,114.079
229,120.595
103,126.514
801,133.846
884,115.215
1127,125.398
74,119.632
971,123.21700000000001
1255,127.92
521,121.944
1390,120.243
1272,133.261
1226,117.38600000000001
1350,131.458
527,125.809
1248,130.935
1198,120.766
1100,124.756
1144,123.177
555,129.36700000000002
396,130.748
1269,128.401
1225,116.066
1081,116.074
579,117.137
4,127.461
1479,124.18799999999999
1158,126.74600000000001
137,118.92200000000001
740,127.07600000000001
558,132.127
376,129.691
218,128.705
1315,124.839
1411,137.06799999999998
1280,119.561
1136,130.947
633,131.279
703,117.50399999999999
1012,134.498
800,132.086
243,125.116
572,132.757
31,122.779
338,121.65899999999999
1265,124.45
1052,134.268
1463,120.037
886,122.94
98,128.454
720,106.88
1383,137.813
1170,123.09100000000001
420,113.14399999999999
1365,132.395
934,118.005
333,129.579
1337,131.642
1207,123.46600000000001
997,130.697
761,128.518
764,122.79
204,126.16
719,109.52
260,126.84200000000001
1353,133.023
346,123.609
744,134.826
1048,127.40799999999999
451,112.639
1116,126.898
1372,132.886
1394,134.34
36,127.899
1204,126.846
808,123.742
97,127.564
502,131.467
891,129.33
1030,116.366
970,130.477
279,122.79700000000001
223,125.305
1300,132.114
1454,110.905
170,116.165
1403,119.04
937,123.865
835,130.156
655,119.505
550,123.311
1314,127.229
1277,126.021
450,113.229
535,121.889
1419,122.21799999999999
644,112.039
167,121.775
1325,130.791
840,118.10600000000001
194,124.304
868,115.52
932,112.355
750,125.376
627,111.588
407,136.384
1153,124.27600000000001
834,129.516
863,130.05
1059,129.556
1477,130.638
37,125.499
364,134.0
55,127.365
1206,124.166
1299,133.894
712,115.91
1458,125.85700000000001
594,115.691
257,113.086
1066,131.186
843,128.381
1266,121.93
537,119.209
639,120.779
93,114.751
1447,122.315
196,118.024
621,120.228
729,131.06
1155,126.35600000000001
190,128.244
985,131.836
321,131.264
152,118.10799999999999
1216,140.987
684,122.149
1452,113.315
1355,137.233
443,126.189
33,126.959
160,131.615
1309,132.769
491,126.863
711,116.02
213,122.41
424,132.149
504,128.907
568,125.34700000000001
343,114.249
945,118.385
1164,109.95100000000001
242,116.815
785,121.238
596,128.713
269,120.47200000000001
283,118.82700000000001
899,120.92
1077,133.252
739,125.586
1245,132.095
1352,129.343
708,107.28399999999999
389,112.541
625,113.288
543,128.971
920,122.845
13,108.721
1230,137.026
545,133.201
1218,127.197
821,126.045
956,118.634
1286,133.153
898,123.46
1274,132.611
905,125.353
208,126.79
661,127.315
85,127.581
104,125.524
352,128.119
574,127.117
273,125.15700000000001
958,117.72399999999999
71,124.512
995,127.947
1476,134.058
1055,132.898
1194,119.854
1184,117.514
1373,131.636
1273,133.251
1303,124.904
