,Displacement
0,0.0701298701298701
1,0.40259740259740256
2,0.18181818181818182
3,0.0727272727272727
4,0.2675324675324675
5,0.09870129870129868
6,0.0727272727272727
7,0.3376623376623376
8,0.10649350649350647
9,0.038961038961038946
10,0.023376623376623384
11,0.7272727272727273
12,0.041558441558441545
13,0.023376623376623384
14,0.12727272727272726
15,0.6077922077922078
16,0.16623376623376623
17,0.40259740259740256
18,0.4675324675324675
19,0.6103896103896105
20,0.7272727272727273
21,0.05194805194805194
22,0.857142857142857
23,0.6441558441558441
24,0.2233766233766234
25,0.3376623376623376
26,0.3376623376623376
27,0.18181818181818182
28,0.16623376623376623
29,0.08051948051948049
30,0.6155844155844157
31,0.6103896103896105
32,0.2103896103896104
33,0.2207792207792208
34,0.09870129870129868
35,0.16883116883116883
36,0.40259740259740256
37,0.11948051948051946
38,0.13246753246753246
39,0.857142857142857
40,0.4675324675324675
41,0.2623376623376623
42,0.6441558441558441
43,0.0701298701298701
44,0.12727272727272726
45,0.023376623376623384
46,0.9324675324675324
47,0.7272727272727273
48,0.42077922077922075
49,0.7272727272727273
50,0.42077922077922075
51,0.16623376623376623
52,0.3376623376623376
53,0.6025974025974026
54,0.6025974025974026
55,0.6441558441558441
56,0.857142857142857
57,0.42077922077922075
58,0.09090909090909088
59,0.2103896103896104
60,0.8129870129870129
61,0.6077922077922078
62,0.857142857142857
63,0.4675324675324675
64,0.0025974025974025983
65,0.0701298701298701
66,0.6077922077922078
67,0.038961038961038946
68,0.42077922077922075
69,0.4675324675324675
70,0.4935064935064935
71,0.18181818181818182
72,0.038961038961038946
73,0.6077922077922078
74,0.0701298701298701
75,0.6441558441558441
76,0.13246753246753246
77,0.6441558441558441
78,0.038961038961038946
79,0.13506493506493505
80,0.6103896103896105
81,0.11948051948051946
82,0.6441558441558441
83,0.2103896103896104
84,1.0
85,0.09870129870129868
86,0.0701298701298701
87,0.15844155844155844
88,0.09610389610389608
89,0.857142857142857
90,0.12727272727272726
91,0.6441558441558441
92,0.4675324675324675
93,0.4675324675324675
94,0.7532467532467533
95,0.09610389610389608
96,0.6441558441558441
97,0.857142857142857
98,0.4675324675324675
99,0.12727272727272726
100,0.0
101,0.2233766233766234
102,0.7272727272727273
103,0.6025974025974026
104,0.13506493506493505
105,0.857142857142857
106,0.42077922077922075
107,0.4675324675324675
108,0.18441558441558442
109,0.6441558441558441
110,0.42077922077922075
111,0.7272727272727273
112,0.054545454545454536
113,0.7272727272727273
114,0.16883116883116883
115,0.4675324675324675
116,0.6025974025974026
117,0.7272727272727273
118,0.0727272727272727
119,0.4935064935064935
120,0.1974025974025974
121,0.6441558441558441
122,0.7272727272727273
123,0.6025974025974026
124,0.0025974025974025983
125,0.7272727272727273
126,0.40259740259740256
127,0.09090909090909088
128,0.0701298701298701
129,0.2103896103896104
130,0.11688311688311687
131,0.09870129870129868
132,0.13506493506493505
133,0.6025974025974026
134,0.09090909090909088
135,0.4675324675324675
136,0.7272727272727273
137,0.41818181818181815
138,0.41818181818181815
139,0.41818181818181815
140,0.023376623376623384
141,0.09090909090909088
142,0.0727272727272727
143,0.0727272727272727
144,0.054545454545454536
145,0.038961038961038946
146,0.12987012987012986
147,0.0701298701298701
148,0.7532467532467533
149,0.2103896103896104
150,0.9324675324675324
151,0.40259740259740256
152,0.1974025974025974
153,0.13246753246753246
154,0.0727272727272727
155,0.04935064935064934
156,0.10389610389610388
157,0.7012987012987013
158,0.11168831168831167
159,0.11168831168831167
160,0.6077922077922078
161,0.18181818181818182
162,0.04935064935064934
