,Acceleration
83,16.5
189,15.4
130,17.0
264,16.5
305,12.9
148,15.5
293,14.4
17,16.0
215,14.8
301,19.2
50,19.5
114,13.0
340,16.4
216,18.6
391,19.4
138,15.5
316,15.5
225,17.7
97,18.0
185,13.0
135,14.5
144,14.5
38,11.5
74,14.0
321,14.4
257,16.7
251,18.2
280,17.3
169,13.5
184,15.3
26,15.0
260,13.2
270,17.6
112,14.0
109,16.5
334,15.7
361,16.6
181,16.9
178,13.5
103,12.5
131,17.0
172,14.5
88,12.5
54,19.0
352,14.8
127,19.0
5,10.0
61,12.0
32,13.0
211,12.0
281,18.2
265,14.2
191,17.6
262,11.2
164,12.0
186,13.0
154,11.5
125,16.0
267,14.5
232,16.0
41,11.5
3,12.0
12,9.5
190,14.5
129,21.0
18,14.5
71,12.5
202,17.0
36,15.5
152,21.0
298,22.2
234,15.8
322,19.2
28,18.5
238,14.1
63,13.5
75,14.5
156,14.5
193,22.2
217,15.5
283,15.4
146,14.0
213,14.0
367,18.0
13,10.0
376,16.9
315,15.8
272,15.9
375,14.5
62,12.0
171,17.0
136,13.5
226,19.0
198,21.0
104,13.0
333,17.0
221,13.7
227,11.1
223,16.4
266,14.7
70,13.5
122,13.5
359,19.0
87,14.5
48,14.0
115,9.5
98,16.0
47,14.5
354,20.4
27,13.5
192,17.6
37,12.0
327,13.8
1,11.5
366,16.0
151,16.0
134,14.0
86,13.0
307,14.7
220,19.0
326,21.8
263,13.7
123,11.0
249,12.8
52,19.0
296,17.4
133,16.5
349,14.2
19,20.5
313,20.1
175,15.0
319,15.2
111,18.5
284,13.4
346,14.9
199,16.2
84,13.0
250,19.2
278,15.4
224,16.9
339,16.9
300,14.9
194,22.1
309,15.5
378,15.7
218,16.8
207,21.9
29,14.5
95,11.0
386,17.3
66,11.0
282,16.6
357,13.8
240,12.8
277,16.6
329,15.3
20,17.5
11,8.0
14,15.0
31,14.0
187,13.9
166,17.0
344,17.3
323,21.7
242,21.5
328,18.0
100,16.0
254,17.2
147,15.0
370,18.2
210,12.1
209,16.7
212,15.0
318,15.0
360,17.1
341,16.1
40,13.0
308,18.8
45,19.0
106,15.0
142,16.5
389,11.6
380,16.4
269,16.7
390,18.6
230,14.5
176,17.0
311,16.5
355,19.6
317,17.5
2,11.0
295,20.1
273,13.6
8,10.0
368,16.4
24,15.0
4,10.5
196,17.4
381,17.0
173,14.0
371,17.6
110,13.5
245,18.6
16,15.5
21,14.5
53,18.0
256,15.8
306,13.2
162,15.0
292,15.2
206,13.2
235,17.0
279,18.2
121,14.0
252,15.8
259,15.1
312,18.1
384,13.9
7,8.5
350,14.4
290,13.0
382,14.5
92,14.5
60,16.5
94,11.0
177,14.5
285,13.2
51,14.5
365,16.2
201,12.2
10,10.0
291,14.0
161,19.0
128,16.5
239,14.5
6,9.0
49,14.0
231,14.5
188,12.8
183,17.7
372,14.7
64,13.0
79,16.0
286,15.2
337,12.6
65,11.5
348,20.7
44,13.5
320,17.9
153,19.5
118,14.0
288,14.3
338,12.9
182,14.9
197,17.7
34,15.5
85,11.5
243,14.4
356,12.6
160,19.0
117,15.5
331,12.5
271,14.9
342,17.8
168,18.5
325,19.9
314,18.7
102,14.0
258,18.7
377,15.0
363,18.6
69,12.5
105,12.5
244,19.4
