,Mpg
83,27.0
189,22.0
130,25.0
264,30.0
305,26.8
148,26.0
293,35.7
17,21.0
215,30.0
301,31.8
50,30.0
114,15.0
340,39.0
216,36.0
391,31.0
138,14.0
316,29.8
225,19.0
97,16.0
185,17.5
135,13.0
144,28.0
38,14.0
74,14.0
321,27.9
257,20.8
251,20.5
280,22.3
169,24.0
184,27.0
26,10.0
260,19.2
270,23.8
112,21.0
109,22.0
334,27.2
361,17.6
181,25.0
178,25.0
103,12.0
131,16.0
172,18.0
88,15.0
54,27.0
352,32.9
127,31.0
5,15.0
61,13.0
32,19.0
211,13.0
281,20.2
265,27.5
191,24.0
262,18.1
164,13.0
186,16.0
154,16.0
125,19.0
267,30.9
232,24.5
41,12.0
3,16.0
12,15.0
190,22.0
129,32.0
18,27.0
71,15.0
202,32.0
36,18.0
152,15.0
298,23.9
234,25.5
322,40.8
28,9.0
238,30.5
63,15.0
75,18.0
156,16.0
193,29.0
217,25.5
283,17.0
146,26.0
213,13.0
367,27.0
13,14.0
376,34.0
315,34.3
272,20.3
375,36.0
62,14.0
171,24.0
136,14.0
226,18.5
198,18.0
104,13.0
333,32.4
221,15.5
227,16.0
223,17.5
266,27.2
70,19.0
122,20.0
359,26.6
87,14.0
48,23.0
115,16.0
98,18.0
47,18.0
354,28.1
27,11.0
192,22.5
37,14.0
327,44.6
1,15.0
366,29.0
151,18.0
134,16.0
86,13.0
307,41.5
220,17.0
326,30.0
263,17.5
123,11.0
249,20.2
52,31.0
296,23.0
133,18.0
349,33.0
19,26.0
313,24.3
175,23.0
319,32.2
111,19.0
284,17.6
346,34.7
199,18.5
84,13.0
250,19.2
278,21.5
224,20.5
339,39.1
300,34.5
194,24.5
309,32.1
378,32.0
218,33.5
207,19.0
29,27.0
95,13.0
386,27.0
66,11.0
282,20.6
357,24.2
240,21.5
277,29.5
329,29.8
20,25.0
11,14.0
14,24.0
31,25.0
187,15.5
166,23.0
344,37.7
323,44.3
242,43.1
328,33.8
100,23.0
254,20.5
147,24.0
370,37.0
210,16.5
209,16.5
212,13.0
318,37.0
360,20.2
341,35.1
40,14.0
308,38.1
45,22.0
106,18.0
142,31.0
389,32.0
380,25.0
269,23.2
390,28.0
230,16.0
176,23.0
311,28.0
355,30.7
317,31.3
2,18.0
295,25.4
273,17.0
8,14.0
368,24.0
24,21.0
4,17.0
196,33.0
381,38.0
173,29.0
371,31.0
110,18.0
245,39.4
16,18.0
21,24.0
53,35.0
256,20.6
306,33.5
162,21.0
292,34.1
206,13.0
235,30.5
279,19.8
121,24.0
252,20.2
259,18.1
312,26.4
384,32.0
7,14.0
350,33.7
290,18.5
382,26.0
92,14.0
60,21.0
94,12.0
177,22.0
285,16.5
51,30.0
365,31.0
201,29.5
10,15.0
291,31.9
161,18.0
128,26.0
239,22.0
6,14.0
49,28.0
231,29.0
188,14.5
183,26.0
372,38.0
64,14.0
79,22.0
286,18.2
337,23.5
65,17.0
348,29.9
44,18.0
320,46.6
153,15.0
118,20.0
288,15.5
338,30.0
182,25.0
197,20.0
34,17.0
85,14.0
243,36.1
356,25.4
160,15.0
117,24.0
331,23.7
271,23.9
342,32.3
168,23.0
325,36.4
314,19.1
102,11.0
258,18.6
377,38.0
363,27.0
69,13.0
105,12.0
244,32.8
