,Frequency,Angle_of_Attack,Chord_length,Free-stream_velocity,Suction_side_displacement_thickness
0,2500.0,2.0,0.2286,71.3,0.00293031
1,2500.0,2.0,0.2286,71.3,0.00293031
2,2500.0,2.0,0.2286,71.3,0.00293031
3,2500.0,2.0,0.2286,71.3,0.00293031
4,2500.0,2.0,0.2286,71.3,0.00293031
5,2500.0,2.0,0.2286,71.3,0.00293031
6,2500.0,2.0,0.2286,71.3,0.00293031
7,2500.0,2.0,0.2286,71.3,0.00293031
8,2500.0,2.0,0.2286,71.3,0.00293031
9,2500.0,2.0,0.2286,71.3,0.00293031
10,2500.0,2.0,0.2286,71.3,0.00293031
11,2500.0,2.0,0.2286,71.3,0.00293031
12,2500.0,2.0,0.2286,71.3,0.00293031
13,2500.0,2.0,0.2286,71.3,0.00293031
14,2500.0,2.0,0.2286,71.3,0.00293031
15,2500.0,2.0,0.2286,71.3,0.00293031
16,2500.0,2.0,0.2286,71.3,0.00293031
17,2500.0,2.0,0.2286,71.3,0.00293031
18,2500.0,2.0,0.2286,71.3,0.00293031
19,2500.0,2.0,0.2286,71.3,0.00293031
20,2500.0,2.0,0.2286,71.3,0.00293031
21,2500.0,2.0,0.2286,71.3,0.00293031
22,2500.0,2.0,0.2286,71.3,0.00293031
23,2500.0,2.0,0.2286,71.3,0.00293031
24,2500.0,2.0,0.2286,71.3,0.00293031
25,2500.0,2.0,0.2286,71.3,0.00293031
26,2500.0,2.0,0.2286,71.3,0.00293031
27,2500.0,2.0,0.2286,71.3,0.00293031
28,2500.0,2.0,0.2286,71.3,0.00293031
29,2500.0,2.0,0.2286,71.3,0.00293031
30,2500.0,2.0,0.2286,71.3,0.00293031
31,2500.0,2.0,0.2286,71.3,0.00293031
32,2500.0,2.0,0.2286,71.3,0.00293031
33,2500.0,2.0,0.2286,71.3,0.00293031
34,2500.0,2.0,0.2286,71.3,0.00293031
35,2500.0,2.0,0.2286,71.3,0.00293031
36,2500.0,2.0,0.2286,71.3,0.00293031
37,2500.0,2.0,0.2286,71.3,0.00293031
38,2500.0,2.0,0.2286,71.3,0.00293031
39,2500.0,2.0,0.2286,71.3,0.00293031
40,2500.0,2.0,0.2286,71.3,0.00293031
41,2500.0,2.0,0.2286,71.3,0.00293031
42,2500.0,2.0,0.2286,71.3,0.00293031
43,2500.0,2.0,0.2286,71.3,0.00293031
44,2500.0,2.0,0.2286,71.3,0.00293031
45,2500.0,2.0,0.2286,71.3,0.00293031
46,2500.0,2.0,0.2286,71.3,0.00293031
47,2500.0,2.0,0.2286,71.3,0.00293031
48,2500.0,2.0,0.2286,71.3,0.00293031
49,2500.0,2.0,0.2286,71.3,0.00293031
50,2500.0,2.0,0.2286,71.3,0.00293031
51,2500.0,2.0,0.2286,71.3,0.00293031
52,2500.0,2.0,0.2286,71.3,0.00293031
53,2500.0,2.0,0.2286,71.3,0.00293031
54,2500.0,2.0,0.2286,71.3,0.00293031
55,2500.0,2.0,0.2286,71.3,0.00293031
56,2500.0,2.0,0.2286,71.3,0.00293031
57,2500.0,2.0,0.2286,71.3,0.00293031
58,2500.0,2.0,0.2286,71.3,0.00293031
59,2500.0,2.0,0.2286,71.3,0.00293031
60,2500.0,2.0,0.2286,71.3,0.00293031
61,2500.0,2.0,0.2286,71.3,0.00293031
62,2500.0,2.0,0.2286,71.3,0.00293031
63,2500.0,2.0,0.2286,71.3,0.00293031
64,2500.0,2.0,0.2286,71.3,0.00293031
65,2500.0,2.0,0.2286,71.3,0.00293031
66,2500.0,2.0,0.2286,71.3,0.00293031
67,2500.0,2.0,0.2286,71.3,0.00293031
68,2500.0,2.0,0.2286,71.3,0.00293031
69,2500.0,2.0,0.2286,71.3,0.00293031
70,2500.0,2.0,0.2286,71.3,0.00293031
71,2500.0,2.0,0.2286,71.3,0.00293031
72,2500.0,2.0,0.2286,71.3,0.00293031
73,2500.0,2.0,0.2286,71.3,0.00293031
74,2500.0,2.0,0.2286,71.3,0.00293031
75,2500.0,2.0,0.2286,71.3,0.00293031
76,2500.0,2.0,0.2286,71.3,0.00293031
77,2500.0,2.0,0.2286,71.3,0.00293031
78,2500.0,2.0,0.2286,71.3,0.00293031
79,2500.0,2.0,0.2286,71.3,0.00293031
80,2500.0,2.0,0.2286,71.3,0.00293031
81,2500.0,2.0,0.2286,71.3,0.00293031
82,2500.0,2.0,0.2286,71.3,0.00293031
83,2500.0,2.0,0.2286,71.3,0.00293031
84,2500.0,2.0,0.2286,71.3,0.00293031
85,2500.0,2.0,0.2286,71.3,0.00293031
86,2500.0,2.0,0.2286,71.3,0.00293031
87,2500.0,2.0,0.2286,71.3,0.00293031
88,2500.0,2.0,0.2286,71.3,0.00293031
89,2500.0,2.0,0.2286,71.3,0.00293031
90,2500.0,2.0,0.2286,71.3,0.00293031
91,2500.0,2.0,0.2286,71.3,0.00293031
92,2500.0,2.0,0.2286,71.3,0.00293031
93,2500.0,2.0,0.2286,71.3,0.00293031
94,2500.0,2.0,0.2286,71.3,0.00293031
95,2500.0,2.0,0.2286,71.3,0.00293031
96,2500.0,2.0,0.2286,71.3,0.00293031
97,2500.0,2.0,0.2286,71.3,0.00293031
98,2500.0,2.0,0.2286,71.3,0.00293031
99,2500.0,2.0,0.2286,71.3,0.00293031
100,2500.0,2.0,0.2286,71.3,0.00293031
101,2500.0,2.0,0.2286,71.3,0.00293031
102,2500.0,2.0,0.2286,71.3,0.00293031
103,2500.0,2.0,0.2286,71.3,0.00293031
104,2500.0,2.0,0.2286,71.3,0.00293031
105,2500.0,2.0,0.2286,71.3,0.00293031
106,2500.0,2.0,0.2286,71.3,0.00293031
107,2500.0,2.0,0.2286,71.3,0.00293031
108,2500.0,2.0,0.2286,71.3,0.00293031
109,2500.0,2.0,0.2286,71.3,0.00293031
110,2500.0,2.0,0.2286,71.3,0.00293031
111,2500.0,2.0,0.2286,71.3,0.00293031
112,2500.0,2.0,0.2286,71.3,0.00293031
113,2500.0,2.0,0.2286,71.3,0.00293031
114,2500.0,2.0,0.2286,71.3,0.00293031
115,2500.0,2.0,0.2286,71.3,0.00293031
116,2500.0,2.0,0.2286,71.3,0.00293031
117,2500.0,2.0,0.2286,71.3,0.00293031
118,2500.0,2.0,0.2286,71.3,0.00293031
119,2500.0,2.0,0.2286,71.3,0.00293031
120,2500.0,2.0,0.2286,71.3,0.00293031
121,2500.0,2.0,0.2286,71.3,0.00293031
122,2500.0,2.0,0.2286,71.3,0.00293031
123,2500.0,2.0,0.2286,71.3,0.00293031
124,2500.0,2.0,0.2286,71.3,0.00293031
125,2500.0,2.0,0.2286,71.3,0.00293031
126,2500.0,2.0,0.2286,71.3,0.00293031
127,2500.0,2.0,0.2286,71.3,0.00293031
128,2500.0,2.0,0.2286,71.3,0.00293031
129,2500.0,2.0,0.2286,71.3,0.00293031
130,2500.0,2.0,0.2286,71.3,0.00293031
131,2500.0,2.0,0.2286,71.3,0.00293031
132,2500.0,2.0,0.2286,71.3,0.00293031
133,2500.0,2.0,0.2286,71.3,0.00293031
134,2500.0,2.0,0.2286,71.3,0.00293031
135,2500.0,2.0,0.2286,71.3,0.00293031
136,2500.0,2.0,0.2286,71.3,0.00293031
137,2500.0,2.0,0.2286,71.3,0.00293031
138,2500.0,2.0,0.2286,71.3,0.00293031
139,2500.0,2.0,0.2286,71.3,0.00293031
140,2500.0,2.0,0.2286,71.3,0.00293031
141,2500.0,2.0,0.2286,71.3,0.00293031
142,2500.0,2.0,0.2286,71.3,0.00293031
143,2500.0,2.0,0.2286,71.3,0.00293031
144,2500.0,2.0,0.2286,71.3,0.00293031
145,2500.0,2.0,0.2286,71.3,0.00293031
146,2500.0,2.0,0.2286,71.3,0.00293031
147,2500.0,2.0,0.2286,71.3,0.00293031
148,2500.0,2.0,0.2286,71.3,0.00293031
149,2500.0,2.0,0.2286,71.3,0.00293031
150,2500.0,2.0,0.2286,71.3,0.00293031
151,2500.0,2.0,0.2286,71.3,0.00293031
152,2500.0,2.0,0.2286,71.3,0.00293031
153,2500.0,2.0,0.2286,71.3,0.00293031
154,2500.0,2.0,0.2286,71.3,0.00293031
155,2500.0,2.0,0.2286,71.3,0.00293031
156,2500.0,2.0,0.2286,71.3,0.00293031
157,2500.0,2.0,0.2286,71.3,0.00293031
158,2500.0,2.0,0.2286,71.3,0.00293031
159,2500.0,2.0,0.2286,71.3,0.00293031
160,2500.0,2.0,0.2286,71.3,0.00293031
161,2500.0,2.0,0.2286,71.3,0.00293031
162,2500.0,2.0,0.2286,71.3,0.00293031
163,2500.0,2.0,0.2286,71.3,0.00293031
164,2500.0,2.0,0.2286,71.3,0.00293031
165,2500.0,2.0,0.2286,71.3,0.00293031
166,2500.0,2.0,0.2286,71.3,0.00293031
167,2500.0,2.0,0.2286,71.3,0.00293031
168,2500.0,2.0,0.2286,71.3,0.00293031
169,2500.0,2.0,0.2286,71.3,0.00293031
170,2500.0,2.0,0.2286,71.3,0.00293031
171,2500.0,2.0,0.2286,71.3,0.00293031
172,2500.0,2.0,0.2286,71.3,0.00293031
173,2500.0,2.0,0.2286,71.3,0.00293031
174,2500.0,2.0,0.2286,71.3,0.00293031
175,2500.0,2.0,0.2286,71.3,0.00293031
176,2500.0,2.0,0.2286,71.3,0.00293031
177,2500.0,2.0,0.2286,71.3,0.00293031
178,2500.0,2.0,0.2286,71.3,0.00293031
179,2500.0,2.0,0.2286,71.3,0.00293031
180,2500.0,2.0,0.2286,71.3,0.00293031
