,0
0,3.362074492384293e-11
1,2.9206276285775877e-12
2,2.9206276285775877e-12
3,4.581373404071855
4,0.02393962919718386
5,1.3448298101376155e-12
6,2.3283064191914616e-12
7,11.701682559209418
8,2.0051002475396373e-10
9,7.2121620159903974e-12
10,1.4901161221603232e-12
11,1.8253922375033316e-13
12,2.2912025477128674e-10
13,1.431107521002728e-10
14,1.3861805194650967e-11
15,1.5125907140508308
16,1.6428530137529984e-12
17,0.11325508977466332
18,0.284117108117122
19,5.364417914877074e-13
20,5.379319240550462e-12
21,9.536743181826068e-11
22,6.262212982041659e-12
23,3.725289784983783e-15
24,1.4320015869428993e-11
25,1.8779188392575862e-11
26,1.0073184931680412e-11
27,1.9754872115922961
28,0.3479516515508294
29,5.895622660503607
30,88.8415736161495
31,1.8253922375033316e-13
32,1.9706785755468914e-12
33,5.099922357490461e-12
34,1.341104509944291e-11
35,8.606910679409551e-11
36,0.9517907868804701
37,2.384185795456517e-11
38,9.536742959781465e-13
39,1.8030404849156412e-12
40,6.571412055011994e-12
41,2.104457388955142
42,9.536742959781465e-13
43,2.3283064191914616e-12
44,5.379319240550462e-12
45,1.261234281966228e-10
46,3.2438243700564113
47,3.725290305400808e-13
48,9.313225329821156e-14
49,8.606910679409551e-11
50,8.606910679409551e-11
51,2.715736581115902e-12
52,6.890296929995543e-11
53,1.2967735583804818e-11
54,1.0464340477064904e-11
55,4.827976185839411e-12
56,9.313225329821156e-14
57,1.0019540771266655e-10
58,1.4901161221603232e-12
59,1.4320015869428993e-11
60,2.9206276285775877e-12
61,0.29672463407999056
62,9.921447977105164
63,1.738071441890199e-10
64,2.9206276285775877e-12
65,7.882714222390286e-12
66,2.9508024555396916e-11
67,9.313225329821156e-14
68,1.490115913993513e-14
69,7.4939780961805145
70,1.9311904743357644e-11
71,9.536743181826068e-11
72,0.045896027460728524
73,4.563480593758329e-12
74,1.1020898791758161e-10
75,1.9365549107774882e-10
76,4.6203418535194825
77,4.541410729995719
78,9.536742959781465e-13
79,0.5829192019773337
80,0.00021100647756849676
81,4.827976185839411e-12
82,4.827976185839411e-12
83,5.960464349863415e-14
84,4.306435581247214e-12
85,9.536742959781465e-13
86,0.4402793085695237
87,5.012750618849093e-11
88,6.295740638678771e-13
