,0
0,3.352761274860727e-12
1,2.9206276285775877e-12
2,2.9206276285775877e-12
3,0.1970981707602862
4,5.960465043752819e-14
5,1.3448298101376155e-12
6,2.3283064191914616e-12
7,7.691509358201648
8,1.2069940776848754e-12
9,7.2121620159903974e-12
10,1.4901161221603232e-12
11,1.8253922375033316e-13
12,3.6841672131921923
13,1.0862946511813743e-11
14,1.3861805194650967e-11
15,1.4865062668085112
16,1.6428530137529984e-12
17,1.8030404849156412e-12
18,4.029274008754413e-11
19,5.364417914877074e-13
20,5.379319240550462e-12
21,3.017485131762143e-11
22,6.262212982041659e-12
23,3.725289784983783e-15
24,1.4320015869428993e-11
25,1.8779188392575862e-11
26,1.0073184931680412e-11
27,0.12379127565003417
28,0.3355000168085098
29,2.7899809567731637
30,125.54483869292275
31,1.8253922375033316e-13
32,1.9706785755468914e-12
33,5.099922357490461e-12
34,1.341104509944291e-11
35,3.5777688195071104e-11
36,1.2531876647736695e-11
37,2.384185795456517e-11
38,9.536742959781465e-13
39,1.8030404849156412e-12
40,6.571412055011994e-12
41,4.1857361908259615e-11
42,9.536742959781465e-13
43,2.3283064191914616e-12
44,5.379319240550462e-12
45,1.622736459322427e-11
46,2.0789454326871946
47,3.725290305400808e-13
48,9.313225329821156e-14
49,3.5777688195071104e-11
50,0.7535394975900555
51,2.715736581115902e-12
52,4.8413872769437205e-11
53,1.2967735583804818e-11
54,1.0464340477064904e-11
55,4.827976185839411e-12
56,9.313225329821156e-14
57,2.755224712858162e-11
58,1.4901161221603232e-12
59,1.4320015869428993e-11
60,2.9206276285775877e-12
61,7.301568950013326e-13
62,1.854396640960122
63,4.306435581247214e-12
64,2.9206276285775877e-12
65,7.882714222390286e-12
66,4.827976185839411e-12
67,9.313225329821156e-14
68,1.490115913993513e-14
69,5.657319157613824
70,1.9311904743357644e-11
71,3.017485131762143e-11
72,3.352761326902432e-14
73,4.563480593758329e-12
74,2.2664666299243574e-11
75,1.8030404849156412e-12
76,2.1572043305016453
77,0.22836509896887644
78,9.536742959781465e-13
79,7.212162092318231e-12
80,9.313225329821156e-14
81,4.827976185839411e-12
82,4.827976185839411e-12
83,5.960464349863415e-14
84,4.306435581247214e-12
85,9.536742959781465e-13
86,0.2657898389831179
