,0
0,2.715736581115902e-12
1,4.507601212289103e-13
2,1.3411045307609727e-13
3,1.0766088953118036e-12
4,6.571412055011994e-12
5,4.306435581247214e-12
6,4.1071325525970925e-11
7,4.029274008754413e-11
8,1.2967735583804818e-11
9,1.341104509944291e-11
10,4.029274008754413e-11
11,5.275383587027837e-11
12,3.580003967357248e-12
13,2.715736581115902e-12
14,3.725289784983783e-15
15,7.2121620159903974e-12
16,1.2967735583804818e-11
17,5.960464349863415e-14
18,4.827976185839411e-12
19,4.563480593758329e-12
20,7.882714222390286e-12
21,1.7225742324988857e-11
22,1.341104509944291e-11
23,1.3732910128538832e-10
24,2.3283064191914616e-12
25,4.589930179507706e-11
26,5.379319240550462e-12
27,1.341104509944291e-11
28,0.022828583532571448
29,1.4785677233064565e-11
30,3.725289784983783e-15
31,5.960464488641293e-12
32,1.0464340477064904e-11
33,1.3448298101376155e-12
34,7.406249624369865e-11
35,7.2121620159903974e-12
36,4.563480593758329e-12
37,5.960464349863415e-14
38,7.2121620159903974e-12
