,0
0,0.0009756043376275287
1,0.0009756043376275287
2,0.0009756043376275287
3,0.0009756043376275287
4,0.0009756043376275287
5,0.0009756043376275287
6,0.0009756043376275287
7,0.0009756043376275287
8,0.0009756043376275287
9,0.0009756043376275287
10,0.0009756043376275287
11,0.0009756043376275287
12,0.0009631984891513468
13,0.0009554410752379564
14,0.0007640683918518862
15,0.0007456813468406665
16,0.0006848830172278096
17,0.000672835005042867
18,0.0006689767659499694
19,0.0006197105023214106
20,0.0005561428407017145
21,0.0005317956724359958
22,0.0005237905560049619
23,0.0004498792220694924
24,0.0004413685670333154
25,0.00038117820351495795
26,0.00037439975230456134
27,0.0003737173011935382
28,0.0003736550815686541
29,0.0003567873386048829
30,0.00033860056574273564
31,0.0002849018548450549
32,0.0002783502083471104
33,0.0002709576829980434
34,0.00024613161111485834
35,0.0002430925839987459
36,0.00024278507591012216
37,0.00024275257132665498
38,0.00021326516133013564
39,0.00020893859980580408
40,0.00020541591547640955
41,0.00019784807619443247
42,0.0001647206469539903
43,0.00016122125686856168
44,0.00016087255268566378
45,0.00015139047270002645
46,0.00013167450128627936
47,0.00012892512105960746
48,0.00012507836845042345
49,0.00010929510894187087
50,0.00010745038611098708
51,8.78910361317009e-05
52,8.595331799525972e-05
53,8.206540797820408e-05
54,7.631562245585279e-05
55,6.629618182336556e-05
56,6.495242718422583e-05
57,5.5782614641131586e-05
58,5.47422433214844e-05
59,5.0837904699433195e-05
60,4.9862611568616886e-05
61,4.268376167504866e-05
62,4.1849856213157075e-05
63,3.901381231923963e-05
64,3.849359801759253e-05
65,3.466575052349058e-05
66,3.190934169397679e-05
67,3.129115942585511e-05
68,3.011906414602401e-05
69,2.999456215043094e-05
70,2.4803188181123183e-05
71,2.4276732123244173e-05
72,2.413745518351542e-05
73,2.177335948696293e-05
74,2.1534550744899885e-05
75,2.1208049714793118e-05
76,1.8062532488783774e-05
77,1.7733964527642198e-05
78,1.620253159801215e-05
79,1.6009253825764185e-05
80,1.598875046839791e-05
81,1.3150706073009706e-05
82,1.28697156433702e-05
83,1.2841292229977458e-05
84,1.2838729256906308e-05
85,1.0991911128788984e-05
86,1.0760745929735796e-05
87,1.0236048708121346e-05
88,9.111429106030778e-06
89,8.956108286725092e-06
90,7.971230952682558e-06
91,7.799839469642747e-06
92,7.5346355868702806e-06
93,7.095063306758268e-06
94,6.779542529743695e-06
95,6.5466008827938145e-06
96,6.062841719585368e-06
97,5.959804457610984e-06
98,5.486088628090114e-06
99,4.994067247824517e-06
100,4.534817569420575e-06
101,4.448916710890024e-06
102,3.8185940119260354e-06
103,3.737266423875494e-06
104,3.1838714215240145e-06
105,3.090435408811216e-06
106,2.8331337278291293e-06
107,2.6720525603120678e-06
108,2.6376728570585324e-06
109,2.537300124319206e-06
110,2.1651471480106783e-06
111,2.120475074508942e-06
112,1.9486120353615746e-06
113,1.911432618392732e-06
114,1.7910921915549078e-06
115,1.7238568173294739e-06
116,1.7059822316311677e-06
117,1.472666228050007e-06
118,1.4469567948223954e-06
119,1.444305179579774e-06
120,1.4438037962009343e-06
121,1.268832252197517e-06
122,1.2227259733609502e-06
123,1.0958998274669655e-06
124,9.826139938949703e-07
125,9.619263939654678e-07
126,9.598814186673542e-07
127,8.625132912278336e-07
128,7.928438973178532e-07
129,7.766867131741469e-07
130,7.433325409364834e-07
131,6.385664132531204e-07
132,6.257709856946508e-07
133,6.246398813430496e-07
134,5.461567013506715e-07
135,5.352435005165498e-07
136,5.136162934536562e-07
137,4.4249609849764046e-07
138,4.335807356868958e-07
139,4.3279613536447787e-07
140,4.3271771441208655e-07
141,3.9360883188717414e-07
142,3.558946359141544e-07
143,3.4864251287280147e-07
144,3.4779836526240845e-07
145,3.3318894974767046e-07
146,3.175864391060826e-07
147,3.146708244939865e-07
148,3.060022947735141e-07
149,2.852982629142465e-07
150,2.5663718876894203e-07
151,2.4129497038968395e-07
152,2.3724236863511662e-07
153,2.3703918849531787e-07
154,2.1849403963701894e-07
155,1.9998767360701818e-07
156,1.9635258333827214e-07
157,1.736471469363304e-07
158,1.7085181148792174e-07
159,1.705562939734194e-07
160,1.6588881322008978e-07
161,1.5022836344749e-07
162,1.4685314438445273e-07
163,1.2532012137941436e-07
164,1.2313528723077397e-07
165,1.1055004902250699e-07
166,1.0906869588262288e-07
167,1.0177241709182894e-07
168,1.0095641655742052e-07
169,8.943237943752873e-08
170,8.369737099327866e-08
171,8.208429040916755e-08
172,7.538042626343048e-08
173,7.105732958098605e-08
174,7.004409970386661e-08
175,6.621832645156569e-08
