,0
0,2.7445260467941665e-17
1,9.056548236341184e-17
2,0.0005586302752685558
3,1.9142904229246224e-16
4,6.214541430478936e-16
5,2.9658678815618955e-17
6,0.016128312185944793
7,3.575239266602486e-15
8,5.663603272878574e-05
9,4.819165182711557e-16
10,3.9314048445013065e-18
11,2.3433221940821745e-17
12,1.4844305412922118e-16
13,7.742564554428075e-18
14,1.5701861443693284e-16
15,3.9911881290811594e-16
16,7.016834984532662e-16
17,4.903649305446554e-17
18,1.0455795994857293e-16
19,0.0003861003579625754
20,2.932920702867927e-17
21,4.494475237796027e-16
22,0.000269897677410858
23,6.927363606913453e-16
24,2.724440377962796e-18
25,2.86317883015171e-16
26,6.748221070220127e-16
27,7.20757853137116e-05
28,5.153498032930972e-16
29,1.1168075637955869e-17
30,7.085989176993868e-16
31,4.995176807690948e-16
32,0.0006474059909361852
33,0.00013032074938259226
34,0.07652531092183024
35,2.5781380315142827e-17
36,4.0532098500488376e-16
37,8.318613808805993e-16
38,4.1826210024014975e-16
39,0.020781486510507586
40,8.981725302415028e-16
41,1.2099941550743872e-16
42,2.4571279727801984e-17
43,5.124315471744828e-16
44,1.6180110856065697e-16
45,2.6843950150538178e-17
46,5.001532453022441e-17
47,7.118567118090988e-17
48,2.1296694004711452e-16
49,1.55169939263121e-16
50,0.001067302408203408
51,1.6141422593159774e-15
52,0.0012942784463666863
53,0.00028368604448131436
54,5.026311716350198e-16
55,1.0125513290353589e-17
56,7.054513415400397e-16
57,2.568948865417254e-16
58,0.0007065318946894225
59,6.264438654721523e-18
60,7.207481849900154e-17
61,1.665823134168242e-07
62,1.4837095097688626e-16
63,4.628784594173069e-16
64,0.0009656979816004175
65,1.4599418342356335e-05
66,5.553871589671202e-17
67,7.048826545671398e-17
68,2.5644447532398967e-16
69,0.002302469499760947
70,6.760526919439551e-16
71,0.002182822719516463
72,0.0012427376911754962
73,6.871784015383983e-16
74,2.449882658451192e-16
75,2.3932398304954322e-18
76,5.739552946580946e-19
77,2.8479262308008365e-18
78,3.4718589850887296e-16
79,2.3864962854143355e-17
80,4.049635892618797e-18
81,1.3625655438639606e-15
82,1.2774744869510529e-17
83,5.415797292304268e-17
84,8.787665075448991e-16
85,3.149120921518977e-17
86,1.9162490224024007e-15
87,5.9423837585697575e-08
88,0.0011676473880620941
89,7.837137520802471e-16
90,1.9687195737204227e-16
91,8.891148088355954e-17
92,5.306446669271753e-16
93,2.5849042845243992e-17
94,0.00015921887144292727
95,2.9390380267928995e-16
96,1.4448558708964376e-16
97,0.0004838339224029391
98,1.0822076064697761e-16
99,2.3160400302158604e-15
100,5.251710723428449e-16
101,2.0692107175473487e-16
102,0.0002082447224280859
103,6.329167405669509e-05
104,0.01787910650848513
105,3.6299454191551124e-16
106,0.022076830800069357
107,5.353905854520274e-19
108,5.666918936804746e-17
109,1.9012103785653684e-16
110,1.2700811134339698e-17
111,4.889253429121724e-05
112,0.0007029051090713548
113,0.00020913644527136198
114,6.856277356725425e-16
115,1.530018866542181e-17
116,0.0007839372830902835
117,7.742564554428075e-18
118,6.902461147397807e-16
119,6.25394629072625e-05
120,0.03458102893810444
121,3.862216323739782e-19
122,2.102119255573863e-16
123,6.615118818839215e-16
124,0.00015337448069990123
125,4.006066881830468e-17
126,3.7745710978663536e-16
127,7.051369707441896e-16
128,0.004537450588873364
129,0.00010760039891205267
130,4.2059549654569726e-16
131,2.859174209465956e-16
132,3.30705884696697e-16
133,0.003985893842401186
134,1.4602217647683353e-17
135,0.00015539592958253328
136,7.473698947998689e-17
137,3.358925016757612e-16
138,4.057742439562258e-19
139,0.0035679220782320873
140,7.862383855187816e-17
141,0.00020799777873310073
142,3.686263377070103e-16
