,0
0,6.450863245214201e-17
1,2.9941391202849976e-17
2,1.7349819301433947e-17
3,7.177364385832911e-17
4,2.968930855954479e-15
5,1.9989390424096873e-18
6,0.0004960872645654607
7,4.126841323538899e-17
8,6.794015263207213e-17
9,0.0018580897735811486
10,4.2638901797051226e-17
11,4.036092341267702e-17
12,1.3260545224759534e-17
13,3.360130688635859e-17
14,5.3604044680485335e-17
15,8.592076466341023e-05
16,0.0009696701363616819
17,1.2977970936242772e-16
18,6.889759462738673e-05
19,5.4244475736608036e-08
20,5.05225922753567e-07
21,0.0016304111974222192
22,2.2001722554254332e-17
23,1.98367804151519e-19
24,0.00016076771808992647
25,0.06610611999557066
26,5.4544483873701366e-05
27,1.2083670550240316e-16
28,8.731609143743702e-18
29,0.0001536662117388597
30,1.7805682239699982e-16
