,0
0,0.00033120052199340995
1,0.004536749886969905
2,1.1525847017112183e-16
3,0.001355569816670878
4,0.0001089049804259893
5,1.8561421457623308e-05
6,5.971663276992183e-18
7,6.881902560616098e-05
8,1.2620395344974818e-05
9,0.00012863514832342558
10,0.0008359648893615694
11,4.036092341267702e-17
12,0.0014247324649836264
13,3.360130688635859e-17
14,0.0018857009750831409
15,2.3202630399216974e-07
16,0.00011378298933639199
17,8.505603950359566e-06
18,0.000997341903645097
19,0.00019333999037751096
20,6.56024386907549e-05
21,0.013060409730921905
22,0.0002808824927919752
23,0.0012436101158129161
24,0.00015489925181915926
25,0.06177427284061122
26,0.004031282134785113
27,0.005324976370165441
28,2.9912702713145642e-05
29,0.0014057601859215015
30,0.003670597060562657
