,0
0,6.450863245214201e-17
1,0.007999197928416392
2,1.7349819301433947e-17
3,4.133497888570889e-17
4,2.6181113762646387e-17
5,1.819078759442054e-16
6,0.00020221975343603005
7,0.00019455590475578067
8,4.4336681238685814e-17
9,9.700377800195059e-05
10,5.416081108361039e-16
11,4.517404199301173e-16
12,1.3260545224759534e-17
13,8.289187958584411e-17
14,5.3604044680485335e-17
15,0.00030977271204908044
16,0.0003713035929963227
17,1.2977970936242772e-16
18,1.6569879006068256e-17
19,2.018964603318505e-07
20,6.129339534216739e-17
21,0.0035143123511874874
22,0.0004310285190519329
23,7.533073074081298e-06
24,3.2444577827620614e-05
25,0.02185916686875128
26,0.0014095309092709558
27,1.2083670550240316e-16
28,3.86151853430252e-07
29,1.5522524102317827e-18
30,1.7805682239699982e-16
