,0
0,0.0002370553849541626
1,0.0024192710723361945
2,1.7349819301433947e-17
3,0.0009060724582281774
4,2.6181113762646387e-17
5,0.00021662419314545368
6,0.0002510106133621156
7,6.558040837867893e-10
8,5.356328338755211e-16
9,6.238717159745915e-17
10,6.271843062988874e-05
11,7.307063674529934e-17
12,2.539252397351467e-05
13,8.289187958584411e-17
14,0.0001329691838115236
15,0.00026391103734213733
16,0.0006732538322773775
17,2.775076724569038e-05
18,1.6569879006068256e-17
19,5.107782675070844e-19
20,6.129339534216739e-17
21,1.2853531125663772e-16
22,0.0012569487656141033
23,0.00042971017716114614
24,2.4138860044244513e-16
25,0.02401066464689469
26,3.5101550220947685e-17
27,8.186745294253158e-05
28,2.296672485555828e-08
29,1.5522524102317827e-18
30,1.7805682239699982e-16
