,Frequency(prediction),Angle_of_Attack,Chord_length,Free-stream_velocity,Suction_side_displacement_thickness
0,2337.152676527164,0.0,0.3048,31.7,0.0033126600000000003
1,856.2432720077281,12.3,0.1016,31.7,0.0418756
2,2410.6433466888625,4.0,0.3048,39.6,0.00579636
3,4055.2213217274,0.0,0.02540000000000002,31.7,0.0004394719999999998
4,4069.291983765057,0.0,0.0508,55.5,0.0007619299999999992
5,13157.696939434252,4.8,0.02540000000000002,39.6,0.0009074749999999996
6,1237.5028164228002,15.4,0.0508,31.7,0.028985300000000002
7,530.1503959544643,7.3,0.2286,71.3,0.010440399999999999
8,1555.4224817568743,7.2,0.1524,71.3,0.00752039
9,1722.9770142279826,5.4,0.1524,31.7,0.00525474
10,9826.529076782885,0.0,0.0508,31.7,0.0008121640000000006
11,7620.220649629628,3.0,0.3048,39.6,0.00495741
12,1177.6257815525444,12.7,0.02540000000000002,71.3,0.012180799999999999
13,3093.6488538855174,9.5,0.02540000000000002,71.3,0.004206539999999999
14,1630.337061410994,7.3,0.2286,55.5,0.011170600000000001
15,20000.0,12.3,0.1016,39.6,0.04082680000000001
16,1346.1272802392727,5.3,0.2286,39.6,0.00614329
17,544.1462064169718,7.2,0.1524,39.6,0.00909175
18,1284.0100742100342,2.0,0.2286,71.3,0.00293031
19,7104.115910737779,8.4,0.0508,55.5,0.00544854
20,3772.772421850956,0.0,0.1524,39.6,0.0019328699999999997
21,12134.363134828647,0.0,0.0508,71.3,0.0007404779999999993
22,7165.813280012502,9.9,0.1524,31.7,0.025278500000000002
23,2091.2492964563035,2.0,0.2286,71.3,0.00293031
24,1578.2304991494645,15.4,0.0508,39.6,0.0282593
25,8245.34650990972,0.0,0.1016,39.6,0.0014633200000000006
26,7396.75873070128,4.2,0.0508,39.6,0.0015268899999999995
27,448.7842751631106,5.3,0.2286,39.6,0.00614329
28,20000.0,12.3,0.1016,39.6,0.04082680000000001
29,200.0,15.6,0.1016,71.3,0.0437259
30,1793.0199733844331,17.4,0.02540000000000002,39.6,0.0172206
31,9549.268198016405,0.0,0.1524,71.3,0.001598800000000001
32,1737.4494526476187,7.2,0.1524,39.6,0.00909175
33,4359.143831718782,12.7,0.02540000000000002,39.6,0.013025299999999998
34,3245.728278682098,4.0,0.3048,71.3,0.00497773
35,1468.9954839996822,8.9,0.1016,71.3,0.0103088
36,3812.034288260803,0.0,0.0508,39.6,0.0007918219999999993
37,1267.2273437276874,5.3,0.2286,71.3,0.0051942
38,3284.9707210988154,17.4,0.02540000000000002,39.6,0.0172206
39,6138.409113348296,12.3,0.1016,31.7,0.0418756
40,2224.33299731584,4.0,0.2286,71.3,0.00400603
41,3552.03704798381,4.8,0.02540000000000002,55.5,0.0008732180000000003
42,1576.7067925099104,9.9,0.1524,71.3,0.019300099999999997
43,2074.8530944175805,15.4,0.0508,31.7,0.028985300000000002
44,798.3815735464832,4.0,0.3048,39.6,0.00579636
45,4057.8417772268012,4.8,0.02540000000000002,55.5,0.0008732180000000003
46,952.2872406771512,15.4,0.0508,55.5,0.0271925
47,3483.0730533519854,15.4,0.0508,55.5,0.0271925
48,12029.988682263986,0.0,0.1016,71.3,0.0012107200000000002
49,6252.790475049765,4.8,0.02540000000000002,71.3,0.0008486329999999997
50,1288.9387654784628,0.0,0.1016,31.7,0.0015009199999999993
51,8198.253210446375,1.5,0.3048,71.3,0.00336729
52,5156.2612751591405,4.8,0.02540000000000002,39.6,0.0009074749999999996
53,368.1079707707122,9.9,0.1524,31.7,0.025278500000000002
54,2277.1382774497833,1.5,0.3048,71.3,0.00336729
55,3181.2553128846557,17.4,0.02540000000000002,31.7,0.017663099999999998
56,2548.403211785855,0.0,0.2286,31.7,0.0027238
57,1494.1289429217113,2.7,0.1524,39.6,0.002948039999999999
58,4047.5510409938233,0.0,0.3048,31.7,0.0033126600000000003
59,3040.285377735307,4.0,0.2286,71.3,0.00400603
60,2102.3178022522166,1.5,0.3048,71.3,0.00336729
61,4069.418578857677,0.0,0.0508,55.5,0.0007619299999999992
62,762.5934271128513,5.4,0.1524,31.7,0.00525474
63,2346.7344086647954,8.4,0.0508,71.3,0.00529514
64,4238.0623933147235,2.0,0.2286,31.7,0.003723709999999999
65,2796.176306605215,17.4,0.02540000000000002,31.7,0.017663099999999998
66,5756.441079003429,9.5,0.02540000000000002,71.3,0.004206539999999999
67,3323.692034466584,19.7,0.0508,71.3,0.034118300000000004
68,5148.539142655782,0.0,0.1524,39.6,0.0019328699999999997
69,1495.0719192839633,0.0,0.2286,39.6,0.00253511
70,1928.6145606382906,0.0,0.1524,31.7,0.00209405
71,7528.18759484336,0.0,0.0508,31.7,0.0008121640000000006
72,1258.897371082139,2.0,0.2286,39.6,0.00346574
73,3020.9311062968177,15.4,0.0508,31.7,0.028985300000000002
74,8258.082120980207,0.0,0.0508,39.6,0.0007918219999999993
75,2882.7262482158644,12.7,0.02540000000000002,71.3,0.012180799999999999
76,200.0,7.3,0.2286,39.6,0.0123481
77,1289.5810132833478,3.3,0.1016,39.6,0.0024513799999999995
78,2302.7580060510913,0.0,0.02540000000000002,39.6,0.00042846399999999993
79,4207.304666980575,0.0,0.02540000000000002,39.6,0.00042846399999999993
80,666.5067294005198,15.4,0.0508,31.7,0.028985300000000002
81,4159.718483049875,17.4,0.02540000000000002,31.7,0.017663099999999998
82,5046.28082546445,0.0,0.3048,39.6,0.003101380000000001
83,3372.0404013724565,17.4,0.02540000000000002,55.5,0.016570599999999998
84,7684.292382917107,9.5,0.02540000000000002,31.7,0.0046137700000000005
85,700.0760702567604,15.6,0.1016,39.6,0.0528487
86,20000.0,0.0,0.3048,31.7,0.0033126600000000003
87,2280.742892140772,9.5,0.02540000000000002,39.6,0.00449821
88,4390.340450504167,7.3,0.2286,71.3,0.010440399999999999
89,9113.796041190704,3.3,0.1016,55.5,0.0022109999999999994
90,4446.218964563048,3.0,0.3048,55.5,0.00452492
91,19675.3567365756,17.4,0.02540000000000002,55.5,0.016570599999999998
92,1433.7682554362568,15.4,0.0508,31.7,0.028985300000000002
93,1593.4558739699364,8.9,0.1016,71.3,0.0103088
94,5494.39099218509,3.0,0.3048,55.5,0.00452492
95,6325.695798979441,5.4,0.1524,55.5,0.00433288
96,11118.957375370723,0.0,0.1524,55.5,0.0017266799999999995
