,Symboling,Losses,Fuel_type,Aspiration,Number_of_doors,Drive_wheels,Wheel_base,Length,Width,Height,Curb-Weight,Engine_type,Num_of_Cylinders,Engine_size,Fuel_system,Bore,Stroke,Compression_ratio,Horse_power(Prediction),Peak_rpm,City_mpg,Highway_mpg
0,2.9999999999999996,145.0,1.0,1.0,1.0,1.0,95.9,173.2,66.3,50.2,2811.0,3.0,2.0,156.0,4.0,3.6,3.9,7.0,157.72966139701117,5000.0,19.0,23.999999999999996
1,0.0,77.0,1.0,0.0,0.0,1.0,95.7,169.7,63.6,59.1,2280.0,3.0,2.0,92.0,1.0,3.05,3.03,9.0,58.82045042692544,4800.0,31.0,37.0
2,1.0000000000000002,101.0,1.0,0.0,1.0,1.0,93.7,150.0,64.0,52.599999999999994,1940.0,3.0,2.0,92.0,0.0,2.91,3.41,9.2,78.96451379067722,6000.0,30.0,34.0
3,2.9999999999999996,153.0,1.0,1.0,1.0,1.0,96.3,173.0,65.4,49.4,2370.0,3.0,2.0,110.0,6.0,3.17,3.46,7.5,153.90491127058544,5500.000000000001,23.0,30.0
4,1.0000000000000002,101.0,1.0,0.0,1.0,1.0,93.7,150.0,64.0,52.599999999999994,1956.0,3.0,2.0,92.0,0.0,2.91,3.41,9.2,280.0102807056278,6000.0,30.0,34.0
5,2.0,134.0,1.0,0.0,1.0,2.0,98.4,176.2,65.6,52.0,2551.0,3.0,2.0,146.0,5.0,3.62,3.5,9.3,48.364301303609196,4800.0,24.0,30.0
6,1.0000000000000002,122.0,1.0,0.0,1.0,2.0,112.0,199.2,72.0,55.4,3715.0,5.0,0.0,304.0,5.0,3.8000000000000003,3.35,8.0,155.11237272272706,4500.0,14.0,16.0
7,1.0000000000000002,106.99999999999999,1.0,0.0,1.0,1.0,96.5,169.1,66.0,51.0,2293.0,3.0,2.0,110.0,1.0,3.15,3.58,9.1,137.29636831952186,5500.000000000001,25.0,31.0
8,0.0,161.00000000000003,1.0,0.0,0.0,2.0,107.9,186.7,68.4,56.699999999999996,3020.0,2.0,2.0,120.0,5.0,3.46,3.19,8.4,64.8239034726555,5000.0,19.0,23.999999999999996
9,0.0,145.0,1.0,0.0,0.0,2.0,113.0,199.6,69.6,52.8,4066.0,0.0,3.0,258.0,5.0,3.63,4.17,8.1,167.9779689441965,4750.0,15.0,19.0
