,Cylinders,Displacement,Horse_power,Weight,Acceleration(prediction),Model_year,Origin
0,4.0,131.10154469017147,88.0,2100.0,16.5,72.0,3.0
1,6.0,254.77806587811847,100.0,3233.0,15.4,76.0,1.0
2,4.0,260.10710283870947,75.0,2542.0,17.0,74.0,1.0
3,4.0,255.06364965797388,68.0,2155.0,16.5,78.0,1.0
4,6.0,88.87156443790133,115.0,2700.0,12.9,79.0,1.0
5,4.0,161.04076926612632,93.0,2391.0,15.5,74.0,3.0
6,4.0,151.3140391169517,80.0,1915.0,14.4,79.0,1.0
7,6.0,111.41922484839397,85.0,2587.0,16.0,70.0,1.0
8,4.0,267.20378307434015,80.0,2155.0,14.8,77.0,1.0
9,4.0,402.94349581501285,65.0,2020.0,19.2,79.0,3.0
10,4.0,345.3081719695924,70.0,2074.0,19.5,71.0,2.0
11,8.0,426.4611086032085,145.0,4082.0,13.0,73.0,1.0
12,4.0,95.5576743809654,64.0,1875.0,16.4,81.0,1.0
13,4.0,169.1891246450399,58.0,1825.0,18.6,77.0,2.0
14,4.0,97.25524143362992,82.0,2720.0,19.4,82.0,1.0
15,8.0,214.3136473674915,150.0,4257.0,15.5,74.0,1.0
16,4.0,100.85407229807466,90.0,2711.0,15.5,80.0,3.0
17,6.0,96.25057962350046,100.0,3630.0,17.7,77.0,1.0
18,6.0,140.2435900730551,100.0,3278.0,18.0,73.0,1.0
19,8.0,440.92783080550555,140.0,4215.0,13.0,76.0,1.0
20,8.0,187.3197612603139,150.0,4699.0,14.5,74.0,1.0
21,4.0,153.5305143830439,75.0,2125.0,14.5,74.0,1.0
22,8.0,299.5844234139057,175.0,4464.0,11.5,71.0,1.0
23,8.0,243.88460737306133,150.0,4077.0,14.0,72.0,1.0
24,4.0,164.98464693955395,105.0,2800.0,14.4,80.0,1.0
25,6.0,440.92783080550555,85.0,3070.0,16.7,78.0,1.0
26,6.0,444.1691036368043,95.0,3155.0,18.2,78.0,1.0
27,4.0,291.7529039103125,88.0,2890.0,17.3,79.0,1.0
28,4.0,114.08533278623803,96.0,2702.0,13.5,75.0,3.0
29,4.0,359.2307343711103,83.0,2202.0,15.3,76.0,2.0
30,8.0,348.4479438481104,200.0,4376.0,15.0,70.0,1.0
31,8.0,340.81173230790284,145.0,3425.0,13.2,78.0,1.0
32,4.0,278.20005643286953,85.0,2855.0,17.6,78.0,1.0
33,6.0,146.06521888502752,107.0,2472.0,14.0,73.0,1.0
34,4.0,440.92783080550555,94.0,2379.0,16.5,73.0,3.0
35,4.0,284.3825870912778,84.0,2490.0,15.7,81.0,1.0
36,6.0,441.72556695683284,85.0,3465.0,16.6,81.0,1.0
37,4.0,381.4565853506703,81.0,2220.0,16.9,76.0,2.0
38,4.0,185.79881324374142,115.0,2671.0,13.5,75.0,2.0
39,8.0,226.74885978824216,167.0,4906.0,12.5,73.0,1.0
40,6.0,272.5467678668899,100.0,3781.0,17.0,74.0,1.0
41,6.0,112.8158801728137,97.0,2984.0,14.5,75.0,1.0
42,8.0,396.6103675759058,150.0,3777.0,12.5,73.0,1.0
43,4.0,380.4931193410043,60.0,1834.0,19.0,71.0,2.0
44,4.0,146.94355954763856,100.0,2615.0,14.8,81.0,3.0
45,4.0,141.10109986755884,67.0,1950.0,19.0,74.0,3.0
46,8.0,452.1507532747577,198.0,4341.0,10.0,70.0,1.0
47,8.0,255.82253568017222,165.0,4274.0,12.0,72.0,1.0
48,6.0,213.5532971224,100.0,2634.0,13.0,71.0,1.0
49,8.0,155.53212914268073,145.0,4055.0,12.0,76.0,1.0
50,6.0,440.92783080550555,90.0,3265.0,18.2,79.0,1.0
51,4.0,367.2631270774272,95.0,2560.0,14.2,78.0,3.0
52,6.0,137.94566247865953,81.0,3012.0,17.6,76.0,1.0
53,8.0,330.4771525732787,139.0,3205.0,11.2,78.0,1.0
54,8.0,160.60049921759023,129.0,3169.0,12.0,75.0,1.0
55,8.0,440.92783080550555,150.0,4190.0,13.0,76.0,1.0
56,8.0,279.81107150772164,170.0,4668.0,11.5,75.0,1.0
57,6.0,140.86866659461725,100.0,2901.0,16.0,74.0,1.0
58,4.0,128.3050473270544,75.0,2230.0,14.5,78.0,1.0
59,4.0,120.7389933446701,88.0,2740.0,16.0,77.0,1.0
60,8.0,290.4115998126974,180.0,4955.0,11.5,71.0,1.0
61,8.0,444.6808669111383,150.0,3433.0,12.0,70.0,1.0
62,8.0,440.92783080550555,150.0,3761.0,9.5,70.0,1.0
63,6.0,280.027195533145,105.0,3353.0,14.5,76.0,1.0
64,4.0,416.9709978790257,65.0,1836.0,21.0,74.0,3.0
65,4.0,222.9391818256737,88.0,2130.0,14.5,70.0,3.0
66,8.0,428.1676232930995,150.0,3892.0,12.5,72.0,1.0
67,4.0,377.9516455328924,70.0,1990.0,17.0,76.0,3.0
68,6.0,301.33952453245206,100.0,3288.0,15.5,71.0,1.0
69,6.0,440.92783080550555,72.0,3432.0,21.0,75.0,1.0
70,8.0,422.8828600968743,90.0,3420.0,22.2,79.0,1.0
71,4.0,250.68517236910102,89.0,2755.0,15.8,77.0,1.0
72,4.0,164.12437011879086,65.0,2110.0,19.2,80.0,3.0
73,8.0,265.657988208931,193.0,4732.0,18.5,70.0,1.0
74,4.0,324.8372462287296,78.0,2190.0,14.1,77.0,2.0
75,8.0,427.9128926423808,150.0,4135.0,13.5,72.0,1.0
76,4.0,208.12766203252338,112.0,2933.0,14.5,72.0,2.0
77,8.0,440.92783080550555,150.0,4498.0,14.5,75.0,1.0
78,4.0,293.5592405173967,52.0,2035.0,22.2,76.0,1.0
79,4.0,327.0777445044944,96.0,2300.0,15.5,77.0,1.0
80,8.0,254.72641547156934,130.0,3840.0,15.4,79.0,1.0
81,4.0,320.68401833360275,75.0,2246.0,14.0,74.0,2.0
82,8.0,185.46425420156928,150.0,3755.0,14.0,76.0,1.0
83,4.0,268.62271405443244,90.0,2735.0,18.0,82.0,1.0
