,Cylinders,Displacement,Horse_power,Weight,Acceleration(prediction),Model_year,Origin
0,4.0,97.0,88.0,2100.0,17.51803498913682,72.0,3.0
1,6.0,225.0,100.0,3233.0,22.67650878896424,76.0,1.0
2,4.0,140.0,75.0,2542.0,10.260914286408038,74.0,1.0
3,4.0,98.0,68.0,2155.0,20.507533408355098,78.0,1.0
4,6.0,173.0,115.0,2700.0,14.50894966843145,79.0,1.0
5,4.0,108.0,93.0,2391.0,17.3995110452875,74.0,3.0
6,4.0,98.0,80.0,1915.0,10.133882233596973,79.0,1.0
7,6.0,200.0,85.0,2587.0,21.17024335347608,70.0,1.0
8,4.0,111.0,80.0,2155.0,11.948443532217777,77.0,1.0
9,4.0,84.99999999999999,65.0,2020.0,12.673253692569034,79.0,3.0
10,4.0,79.0,70.0,2074.0,24.51267139059309,71.0,2.0
11,8.0,350.0,145.0,4082.0,15.125407186199846,73.0,1.0
12,4.0,86.0,64.0,1875.0,14.61698782512821,81.0,1.0
13,4.0,79.0,58.0,1825.0,12.599142870919527,77.0,2.0
14,4.0,119.0,82.0,2720.0,24.51267139059309,82.0,1.0
15,8.0,304.0,150.0,4257.0,8.030384999152929,74.0,1.0
16,4.0,134.0,90.0,2711.0,11.430764192567116,80.0,3.0
17,6.0,225.0,100.0,3630.0,24.559472330131307,77.0,1.0
18,6.0,250.0,100.0,3278.0,12.68752869479011,73.0,1.0
19,8.0,305.0,140.0,4215.0,17.864744152881713,76.0,1.0
20,8.0,350.0,150.0,4699.0,8.219620897108957,74.0,1.0
21,4.0,89.99999999999999,75.0,2125.0,24.51267139059309,74.0,1.0
22,8.0,400.0,175.0,4464.0,8.219620897108957,71.0,1.0
23,8.0,318.0,150.0,4077.0,8.219620897108957,72.0,1.0
24,4.0,156.0,105.0,2800.0,13.362171932428485,80.0,1.0
25,6.0,200.0,85.0,3070.0,14.58196544129242,78.0,1.0
26,6.0,200.0,95.0,3155.0,14.114551206388242,78.0,1.0
27,4.0,140.0,88.0,2890.0,8.219620897108957,79.0,1.0
28,4.0,134.0,96.0,2702.0,12.553715922407667,75.0,3.0
29,4.0,101.0,83.0,2202.0,11.185754530089518,76.0,2.0
30,8.0,307.0,200.0,4376.0,17.457443760817526,70.0,1.0
31,8.0,305.0,145.0,3425.0,14.235617167583722,78.0,1.0
32,4.0,151.0,85.0,2855.0,8.566318587002236,78.0,1.0
33,6.0,155.0,107.0,2472.0,14.433963945419507,73.0,1.0
34,4.0,108.0,94.0,2379.0,8.219620897108957,73.0,3.0
35,4.0,135.0,84.0,2490.0,8.002309705989209,81.0,1.0
36,6.0,225.0,85.0,3465.0,11.083085762269064,81.0,1.0
37,4.0,116.0,81.0,2220.0,24.51267139059309,76.0,2.0
38,4.0,121.0,115.0,2671.0,15.439342755197936,75.0,2.0
39,8.0,400.0,167.0,4906.0,8.219620897108957,73.0,1.0
40,6.0,250.0,100.0,3781.0,24.51267139059309,74.0,1.0
41,6.0,171.0,97.0,2984.0,12.269409849564555,75.0,1.0
42,8.0,318.0,150.0,3777.0,14.757751027375797,73.0,1.0
43,4.0,97.0,60.0,1834.0,11.740727835059118,71.0,2.0
44,4.0,119.0,100.0,2615.0,19.78878196259901,81.0,3.0
45,4.0,79.0,67.0,1950.0,20.538139643814567,74.0,3.0
46,8.0,429.0,198.0,4341.0,12.695893378188714,70.0,1.0
47,8.0,350.0,165.0,4274.0,8.220381667334413,72.0,1.0
48,6.0,232.0,100.0,2634.0,11.630628682188304,71.0,1.0
49,8.0,350.0,145.0,4055.0,8.219620897108957,76.0,1.0
50,6.0,232.0,90.0,3265.0,13.615519932355268,79.0,1.0
51,4.0,134.0,95.0,2560.0,8.796576122713216,78.0,3.0
52,6.0,200.0,81.0,3012.0,23.526701713764545,76.0,1.0
53,8.0,302.0,139.0,3205.0,12.051050819566525,78.0,1.0
54,8.0,302.0,129.0,3169.0,8.219620897108957,75.0,1.0
55,8.0,318.0,150.0,4190.0,16.81806875780325,76.0,1.0
56,8.0,400.0,170.0,4668.0,16.083858176615713,75.0,1.0
57,6.0,232.0,100.0,2901.0,11.51709150971,74.0,1.0
58,4.0,105.0,75.0,2230.0,11.997502041294126,78.0,1.0
59,4.0,151.0,88.0,2740.0,8.718057977793244,77.0,1.0
