,Frequency(prediction),Angle_of_Attack,Chord_length,Free-stream_velocity,Suction_side_displacement_thickness
0,1710.904129604352,7.3,0.2286,71.3,0.010440399999999999
1,1710.904129604352,7.3,0.2286,71.3,0.010440399999999999
2,1710.904129604352,7.3,0.2286,71.3,0.010440399999999999
3,1710.904129604352,7.3,0.2286,71.3,0.010440399999999999
4,1710.904129604352,7.3,0.2286,71.3,0.010440399999999999
5,1564.7682666516105,7.3,0.2286,71.3,0.010440399999999999
6,1412.664325858129,7.3,0.2286,71.3,0.010440399999999999
7,1306.1915673026915,7.3,0.2286,71.3,0.010440399999999999
8,1231.6606363138856,7.3,0.2286,71.3,0.010440399999999999
9,1179.4889846217213,7.3,0.2286,71.3,0.010440399999999999
10,1142.9688284372066,7.3,0.2286,71.3,0.010440399999999999
11,1117.4047191080463,7.3,0.2286,71.3,0.010440399999999999
12,1099.5098425776337,7.3,0.2286,71.3,0.010440399999999999
13,1086.9834290063452,7.3,0.2286,71.3,0.010440399999999999
14,1078.2149395064432,7.3,0.2286,71.3,0.010440399999999999
15,1072.0769968565119,7.3,0.2286,71.3,0.010440399999999999
16,1067.78043700156,7.3,0.2286,71.3,0.010440399999999999
17,1064.7728451030935,7.3,0.2286,71.3,0.010440399999999999
18,1062.6675307741668,7.3,0.2286,71.3,0.010440399999999999
19,1061.1938107439184,7.3,0.2286,71.3,0.010440399999999999
20,1060.1622067227447,7.3,0.2286,71.3,0.010440399999999999
21,1059.440083907923,7.3,0.2286,71.3,0.010440399999999999
22,1058.934597937548,7.3,0.2286,71.3,0.010440399999999999
23,1058.5807577582852,7.3,0.2286,71.3,0.010440399999999999
24,1058.3330696328017,7.3,0.2286,71.3,0.010440399999999999
25,1058.1596879449628,7.3,0.2286,71.3,0.010440399999999999
26,1058.0383207634757,7.3,0.2286,71.3,0.010440399999999999
27,1057.9533637364345,7.3,0.2286,71.3,0.010440399999999999
28,1057.8938938175058,7.3,0.2286,71.3,0.010440399999999999
29,1057.8522648742555,7.3,0.2286,71.3,0.010440399999999999
30,1057.8231246139803,7.3,0.2286,71.3,0.010440399999999999
31,1057.8027264317877,7.3,0.2286,71.3,0.010440399999999999
32,1057.788447704253,7.3,0.2286,71.3,0.010440399999999999
33,1057.7784525949787,7.3,0.2286,71.3,0.010440399999999999
34,1057.7714560184868,7.3,0.2286,71.3,0.010440399999999999
35,1057.7665584149424,7.3,0.2286,71.3,0.010440399999999999
36,1057.7631300924616,7.3,0.2286,71.3,0.010440399999999999
37,1057.7607302667247,7.3,0.2286,71.3,0.010440399999999999
38,1057.7590503887088,7.3,0.2286,71.3,0.010440399999999999
39,1057.7590503887088,7.3,0.2286,71.3,0.010440399999999999
40,1057.7590503887088,7.3,0.2286,71.3,0.010440399999999999
41,1057.7590503887088,7.3,0.2286,71.3,0.010440399999999999
42,1057.7590503887088,7.3,0.2286,71.3,0.010440399999999999
43,1057.7590503887088,7.3,0.2286,71.3,0.010440399999999999
44,1057.7590503887088,7.3,0.2286,71.3,0.010440399999999999
45,1057.7590503887088,7.3,0.2286,71.3,0.010440399999999999
46,1057.7590503887088,7.3,0.2286,71.3,0.010440399999999999
47,1057.7590503887088,7.3,0.2286,71.3,0.010440399999999999
48,1057.7590503887088,7.3,0.2286,71.3,0.010440399999999999
49,1057.7590503887088,7.3,0.2286,71.3,0.010440399999999999
50,1057.7590503887088,7.3,0.2286,71.3,0.010440399999999999
51,1057.7590503887088,7.3,0.2286,71.3,0.010440399999999999
52,1057.7590503887088,7.3,0.2286,71.3,0.010440399999999999
53,1057.7590503887088,7.3,0.2286,71.3,0.010440399999999999
54,1057.7590503887088,7.3,0.2286,71.3,0.010440399999999999
55,1057.7590503887088,7.3,0.2286,71.3,0.010440399999999999
56,1057.7590503887088,7.3,0.2286,71.3,0.010440399999999999
57,918.1179061847351,7.3,0.2286,71.3,0.010440399999999999
58,771.9394204527189,7.3,0.2286,71.3,0.010440399999999999
59,669.6144804403075,7.3,0.2286,71.3,0.010440399999999999
60,597.9870224316192,7.3,0.2286,71.3,0.010440399999999999
61,547.8478018255378,7.3,0.2286,71.3,0.010440399999999999
62,512.7503474012806,7.3,0.2286,71.3,0.010440399999999999
63,454.3042073670881,7.3,0.2286,71.3,0.010440399999999999
64,383.6877984614989,7.3,0.2286,71.3,0.010440399999999999
65,419.5625920818188,7.3,0.2286,71.3,0.010440399999999999
66,419.5625920818188,7.3,0.2286,71.3,0.010440399999999999
67,419.5625920818188,7.3,0.2286,71.3,0.010440399999999999
68,419.5625920818188,7.3,0.2286,71.3,0.010440399999999999
69,419.5625920818188,7.3,0.2286,71.3,0.010440399999999999
70,419.5625920818188,7.3,0.2286,71.3,0.010440399999999999
71,419.5625920818188,7.3,0.2286,71.3,0.010440399999999999
72,419.5625920818188,7.3,0.2286,71.3,0.010440399999999999
73,419.5625920818188,7.3,0.2286,71.3,0.010440399999999999
74,417.8554369413155,7.3,0.2286,71.3,0.010440399999999999
