,Frequency(prediction),Angle_of_Attack,Chord_length,Free-stream_velocity,Suction_side_displacement_thickness
0,1710.904129604352,15.4,0.0508,55.5,0.0271925
1,1710.904129604352,15.4,0.0508,55.5,0.0271925
2,1710.904129604352,15.4,0.0508,55.5,0.0271925
3,1710.904129604352,15.4,0.0508,55.5,0.0271925
4,1710.904129604352,15.4,0.0508,55.5,0.0271925
5,1564.7682666516105,15.4,0.0508,55.5,0.0271925
6,1412.664325858129,15.4,0.0508,55.5,0.0271925
7,1306.1915673026915,15.4,0.0508,55.5,0.0271925
8,1306.1915673026915,15.4,0.0508,55.5,0.0271925
9,1306.1915673026915,15.4,0.0508,55.5,0.0271925
10,1306.1915673026915,15.4,0.0508,55.5,0.0271925
11,1306.1915673026915,15.4,0.0508,55.5,0.0271925
12,1344.0007967314782,15.4,0.0508,55.5,0.0271925
13,1344.0007967314782,15.4,0.0508,55.5,0.0271925
14,1344.0007967314782,15.4,0.0508,55.5,0.0271925
15,1344.0007967314782,15.4,0.0508,55.5,0.0271925
16,1344.0007967314782,15.4,0.0508,55.5,0.0271925
17,1344.0007967314782,15.4,0.0508,55.5,0.0271925
18,1344.0007967314782,15.4,0.0508,55.5,0.0271925
19,1344.0007967314782,15.4,0.0508,55.5,0.0271925
20,1344.0007967314782,15.4,0.0508,55.5,0.0271925
21,1344.0007967314782,15.4,0.0508,55.5,0.0271925
22,1344.0007967314782,15.4,0.0508,55.5,0.0271925
23,1344.0007967314782,15.4,0.0508,55.5,0.0271925
24,1344.0007967314782,15.4,0.0508,55.5,0.0271925
25,1344.0007967314782,15.4,0.0508,55.5,0.0271925
26,1344.0007967314782,15.4,0.0508,55.5,0.0271925
27,1344.0007967314782,15.4,0.0508,55.5,0.0271925
28,1344.0007967314782,15.4,0.0508,55.5,0.0271925
29,1344.0007967314782,15.4,0.0508,55.5,0.0271925
30,1344.0007967314782,15.4,0.0508,55.5,0.0271925
31,1344.0007967314782,15.4,0.0508,55.5,0.0271925
32,1344.0007967314782,15.4,0.0508,55.5,0.0271925
33,1344.0007967314782,15.4,0.0508,55.5,0.0271925
34,1344.0007967314782,15.4,0.0508,55.5,0.0271925
35,1344.0007967314782,15.4,0.0508,55.5,0.0271925
36,1344.0007967314782,15.4,0.0508,55.5,0.0271925
37,1344.0007967314782,15.4,0.0508,55.5,0.0271925
38,1344.0007967314782,15.4,0.0508,55.5,0.0271925
39,1344.0007967314782,15.4,0.0508,55.5,0.0271925
40,1344.0007967314782,15.4,0.0508,55.5,0.0271925
41,1344.0007967314782,15.4,0.0508,55.5,0.0271925
42,1343.872924296499,15.4,0.0508,55.5,0.0271925
43,1343.872924296499,15.4,0.0508,55.5,0.0271925
44,1343.872924296499,15.4,0.0508,55.5,0.0271925
45,1343.872924296499,15.4,0.0508,55.5,0.0271925
46,1343.872924296499,15.4,0.0508,55.5,0.0271925
47,1343.872924296499,15.4,0.0508,55.5,0.0271925
48,1343.872924296499,15.4,0.0508,55.5,0.0271925
49,1343.9430485793425,15.4,0.0508,55.5,0.0271925
50,1343.915862990202,15.4,0.0508,55.5,0.0271925
51,1343.915862990202,15.4,0.0508,55.5,0.0271925
52,1343.915862990202,15.4,0.0508,55.5,0.0271925
53,1343.915862990202,15.4,0.0508,55.5,0.0271925
54,1343.9193249937264,15.4,0.0508,55.5,0.0271925
55,1343.9193249937264,15.4,0.0508,55.5,0.0271925
56,1343.9193249937264,15.4,0.0508,55.5,0.0271925
57,1343.9193249937264,15.4,0.0508,55.5,0.0271925
58,1343.9188827273615,15.4,0.0508,55.5,0.0271925
59,1343.9188827273615,15.4,0.0508,55.5,0.0271925
60,1343.9188827273615,15.4,0.0508,55.5,0.0271925
61,1343.9188827273615,15.4,0.0508,55.5,0.0271925
62,1343.9188827273615,15.4,0.0508,55.5,0.0271925
63,1343.9202476905048,15.4,0.0508,55.5,0.0271925
64,1343.9202476905048,15.4,0.0508,55.5,0.0271925
65,1343.9202476905048,15.4,0.0508,55.5,0.0271925
66,1343.9202476905048,15.4,0.0508,55.5,0.0271925
67,1343.9202476905048,15.4,0.0508,55.5,0.0271925
68,1343.9202476905048,15.4,0.0508,55.5,0.0271925
69,1343.9202476905048,15.4,0.0508,55.5,0.0271925
70,1343.9202476905048,15.4,0.0508,55.5,0.0271925
71,1343.9202476905048,15.4,0.0508,55.5,0.0271925
72,1343.9202476905048,15.4,0.0508,55.5,0.0271925
73,1343.9202476905048,15.4,0.0508,55.5,0.0271925
74,1343.9202476905048,15.4,0.0508,55.5,0.0271925
75,1343.9202476905048,15.4,0.0508,55.5,0.0271925
76,1343.9202476905048,15.4,0.0508,55.5,0.0271925
77,1343.9202476905048,15.4,0.0508,55.5,0.0271925
78,1343.9202476905048,15.4,0.0508,55.5,0.0271925
79,1343.9202476905048,15.4,0.0508,55.5,0.0271925
80,1343.9202476905048,15.4,0.0508,55.5,0.0271925
81,1343.9202476905048,15.4,0.0508,55.5,0.0271925
82,1343.9202476905048,15.4,0.0508,55.5,0.0271925
83,1343.9202476905048,15.4,0.0508,55.5,0.0271925
84,1343.9202476905048,15.4,0.0508,55.5,0.0271925
85,1343.9202476905048,15.4,0.0508,55.5,0.0271925
86,1343.9202476905048,15.4,0.0508,55.5,0.0271925
87,1343.9202476905048,15.4,0.0508,55.5,0.0271925
88,1343.9202476905048,15.4,0.0508,55.5,0.0271925
89,1343.9202476905048,15.4,0.0508,55.5,0.0271925
90,1343.9202476905048,15.4,0.0508,55.5,0.0271925
91,1343.9202476905048,15.4,0.0508,55.5,0.0271925
92,1343.9202476905048,15.4,0.0508,55.5,0.0271925
93,1343.9202476905048,15.4,0.0508,55.5,0.0271925
94,1343.9202476905048,15.4,0.0508,55.5,0.0271925
95,1343.9202476905048,15.4,0.0508,55.5,0.0271925
96,1343.9202476905048,15.4,0.0508,55.5,0.0271925
97,1343.9202476905048,15.4,0.0508,55.5,0.0271925
98,1343.9202476905048,15.4,0.0508,55.5,0.0271925
99,1343.9202476905048,15.4,0.0508,55.5,0.0271925
100,1343.9202476905048,15.4,0.0508,55.5,0.0271925
101,1343.9202476905048,15.4,0.0508,55.5,0.0271925
102,1343.9202476905048,15.4,0.0508,55.5,0.0271925
103,1343.9202476905048,15.4,0.0508,55.5,0.0271925
104,1343.9202476905048,15.4,0.0508,55.5,0.0271925
105,1343.9202476905048,15.4,0.0508,55.5,0.0271925
106,1343.9202476905048,15.4,0.0508,55.5,0.0271925
107,1343.9202476905048,15.4,0.0508,55.5,0.0271925
108,1343.9202476905048,15.4,0.0508,55.5,0.0271925
109,1343.9202476905048,15.4,0.0508,55.5,0.0271925
110,1343.9202476905048,15.4,0.0508,55.5,0.0271925
111,1343.9202476905048,15.4,0.0508,55.5,0.0271925
112,1343.9202476905048,15.4,0.0508,55.5,0.0271925
113,1343.9202476905048,15.4,0.0508,55.5,0.0271925
114,1343.9202476905048,15.4,0.0508,55.5,0.0271925
115,1343.9202476905048,15.4,0.0508,55.5,0.0271925
116,1343.9202476905048,15.4,0.0508,55.5,0.0271925
117,1343.9202476905048,15.4,0.0508,55.5,0.0271925
118,1343.9202476905048,15.4,0.0508,55.5,0.0271925
119,1343.9202476905048,15.4,0.0508,55.5,0.0271925
120,1343.9202476905048,15.4,0.0508,55.5,0.0271925
121,1343.9202476905048,15.4,0.0508,55.5,0.0271925
122,1343.9202476905048,15.4,0.0508,55.5,0.0271925
123,1343.9202476905048,15.4,0.0508,55.5,0.0271925
124,1343.9202476905048,15.4,0.0508,55.5,0.0271925
125,1343.9202476905048,15.4,0.0508,55.5,0.0271925
126,1343.9202476905048,15.4,0.0508,55.5,0.0271925
127,1343.9202476905048,15.4,0.0508,55.5,0.0271925
128,1343.9202476905048,15.4,0.0508,55.5,0.0271925
129,1343.9202476905048,15.4,0.0508,55.5,0.0271925
130,1343.9202476905048,15.4,0.0508,55.5,0.0271925
131,1343.9202476905048,15.4,0.0508,55.5,0.0271925
132,1343.9202476905048,15.4,0.0508,55.5,0.0271925
133,1343.9202476905048,15.4,0.0508,55.5,0.0271925
134,1343.9202476905048,15.4,0.0508,55.5,0.0271925
135,1343.9202476905048,15.4,0.0508,55.5,0.0271925
136,1343.9202476905048,15.4,0.0508,55.5,0.0271925
137,1343.9202476905048,15.4,0.0508,55.5,0.0271925
138,1343.9202476905048,15.4,0.0508,55.5,0.0271925
139,1343.9202476905048,15.4,0.0508,55.5,0.0271925
140,1343.9202476905048,15.4,0.0508,55.5,0.0271925
141,1343.9202476905048,15.4,0.0508,55.5,0.0271925
142,1343.9202476905048,15.4,0.0508,55.5,0.0271925
143,1343.9202476905048,15.4,0.0508,55.5,0.0271925
144,1343.9202476905048,15.4,0.0508,55.5,0.0271925
145,1343.9202476905048,15.4,0.0508,55.5,0.0271925
146,1343.9202476905048,15.4,0.0508,55.5,0.0271925
147,1343.9202476905048,15.4,0.0508,55.5,0.0271925
148,1343.9202476905048,15.4,0.0508,55.5,0.0271925
149,1343.9202476905048,15.4,0.0508,55.5,0.0271925
150,1343.9202476905048,15.4,0.0508,55.5,0.0271925
151,1343.9202476905048,15.4,0.0508,55.5,0.0271925
152,1343.9202476905048,15.4,0.0508,55.5,0.0271925
153,1343.9202476905048,15.4,0.0508,55.5,0.0271925
154,1343.9202476905048,15.4,0.0508,55.5,0.0271925
155,1343.9202476905048,15.4,0.0508,55.5,0.0271925
156,1343.9202476905048,15.4,0.0508,55.5,0.0271925
157,1343.9202476905048,15.4,0.0508,55.5,0.0271925
158,1343.9202476905048,15.4,0.0508,55.5,0.0271925
159,1343.9202476905048,15.4,0.0508,55.5,0.0271925
160,1343.9202476905048,15.4,0.0508,55.5,0.0271925
161,1343.9202476905048,15.4,0.0508,55.5,0.0271925
162,1343.9202476905048,15.4,0.0508,55.5,0.0271925
163,1343.9202476905048,15.4,0.0508,55.5,0.0271925
164,1343.9202476905048,15.4,0.0508,55.5,0.0271925
165,1343.9202476905048,15.4,0.0508,55.5,0.0271925
166,1343.9202476905048,15.4,0.0508,55.5,0.0271925
167,1343.9202476905048,15.4,0.0508,55.5,0.0271925
168,1343.9202476905048,15.4,0.0508,55.5,0.0271925
169,1343.9202476905048,15.4,0.0508,55.5,0.0271925
170,1343.9202476905048,15.4,0.0508,55.5,0.0271925
171,1343.9202476905048,15.4,0.0508,55.5,0.0271925
172,1343.9202476905048,15.4,0.0508,55.5,0.0271925
173,1343.9202476905048,15.4,0.0508,55.5,0.0271925
174,1343.9202476905048,15.4,0.0508,55.5,0.0271925
175,1343.9202476905048,15.4,0.0508,55.5,0.0271925
176,1343.9202476905048,15.4,0.0508,55.5,0.0271925
177,1343.9202476905048,15.4,0.0508,55.5,0.0271925
178,1343.9202476905048,15.4,0.0508,55.5,0.0271925
179,1343.9202476905048,15.4,0.0508,55.5,0.0271925
180,1343.9202476905048,15.4,0.0508,55.5,0.0271925
181,1343.9202476905048,15.4,0.0508,55.5,0.0271925
182,1343.9202476905048,15.4,0.0508,55.5,0.0271925
183,1343.9202476905048,15.4,0.0508,55.5,0.0271925
184,1343.9202476905048,15.4,0.0508,55.5,0.0271925
185,1343.9202476905048,15.4,0.0508,55.5,0.0271925
186,1343.9202476905048,15.4,0.0508,55.5,0.0271925
187,1343.9202476905048,15.4,0.0508,55.5,0.0271925
188,1343.9202476905048,15.4,0.0508,55.5,0.0271925
189,1343.9202476905048,15.4,0.0508,55.5,0.0271925
190,1343.9202476905048,15.4,0.0508,55.5,0.0271925
191,1343.9202476905048,15.4,0.0508,55.5,0.0271925
192,1343.9202476905048,15.4,0.0508,55.5,0.0271925
193,1343.9202476905048,15.4,0.0508,55.5,0.0271925
194,1343.9202476905048,15.4,0.0508,55.5,0.0271925
195,1343.9202476905048,15.4,0.0508,55.5,0.0271925
196,1343.9202476905048,15.4,0.0508,55.5,0.0271925
197,1343.9202476905048,15.4,0.0508,55.5,0.0271925
198,1343.9202476905048,15.4,0.0508,55.5,0.0271925
199,1343.9202476905048,15.4,0.0508,55.5,0.0271925
200,1343.9202476905048,15.4,0.0508,55.5,0.0271925
201,1343.9202476905048,15.4,0.0508,55.5,0.0271925
202,1343.9202476905048,15.4,0.0508,55.5,0.0271925
203,1343.9202476905048,15.4,0.0508,55.5,0.0271925
204,1343.9202476905048,15.4,0.0508,55.5,0.0271925
205,1343.9202476905048,15.4,0.0508,55.5,0.0271925
206,1343.9202476905048,15.4,0.0508,55.5,0.0271925
207,1343.9202476905048,15.4,0.0508,55.5,0.0271925
208,1343.9202476905048,15.4,0.0508,55.5,0.0271925
209,1343.9202476905048,15.4,0.0508,55.5,0.0271925
210,1343.9202476905048,15.4,0.0508,55.5,0.0271925
211,1343.9202476905048,15.4,0.0508,55.5,0.0271925
212,1343.9202476905048,15.4,0.0508,55.5,0.0271925
213,1343.9202476905048,15.4,0.0508,55.5,0.0271925
214,1343.9202476905048,15.4,0.0508,55.5,0.0271925
215,1343.9202476905048,15.4,0.0508,55.5,0.0271925
216,1343.9202476905048,15.4,0.0508,55.5,0.0271925
217,1343.9202476905048,15.4,0.0508,55.5,0.0271925
218,1343.9202476905048,15.4,0.0508,55.5,0.0271925
219,1343.9202476905048,15.4,0.0508,55.5,0.0271925
220,1343.9202476905048,15.4,0.0508,55.5,0.0271925
221,1343.9202476905048,15.4,0.0508,55.5,0.0271925
222,1343.9202476905048,15.4,0.0508,55.5,0.0271925
223,1343.9202476905048,15.4,0.0508,55.5,0.0271925
224,1343.9202476905048,15.4,0.0508,55.5,0.0271925
225,1343.9202476905048,15.4,0.0508,55.5,0.0271925
226,1343.9202476905048,15.4,0.0508,55.5,0.0271925
227,1343.9202476905048,15.4,0.0508,55.5,0.0271925
228,1343.9202476905048,15.4,0.0508,55.5,0.0271925
229,1343.9202476905048,15.4,0.0508,55.5,0.0271925
230,1343.9202476905048,15.4,0.0508,55.5,0.0271925
231,1343.9202476905048,15.4,0.0508,55.5,0.0271925
232,1343.9202476905048,15.4,0.0508,55.5,0.0271925
233,1343.9202476905048,15.4,0.0508,55.5,0.0271925
234,1343.9202476905048,15.4,0.0508,55.5,0.0271925
235,1343.9202476905048,15.4,0.0508,55.5,0.0271925
236,1343.9202476905048,15.4,0.0508,55.5,0.0271925
237,1343.9202476905048,15.4,0.0508,55.5,0.0271925
238,1343.9202476905048,15.4,0.0508,55.5,0.0271925
239,1343.9202476905048,15.4,0.0508,55.5,0.0271925
240,1343.9202476905048,15.4,0.0508,55.5,0.0271925
241,1343.9202476905048,15.4,0.0508,55.5,0.0271925
242,1343.9202476905048,15.4,0.0508,55.5,0.0271925
243,1343.9202476905048,15.4,0.0508,55.5,0.0271925
244,1343.9202476905048,15.4,0.0508,55.5,0.0271925
245,1343.9202476905048,15.4,0.0508,55.5,0.0271925
246,1343.9202476905048,15.4,0.0508,55.5,0.0271925
247,1343.9202476905048,15.4,0.0508,55.5,0.0271925
248,1343.9202476905048,15.4,0.0508,55.5,0.0271925
249,1343.9202476905048,15.4,0.0508,55.5,0.0271925
250,1343.9202476905048,15.4,0.0508,55.5,0.0271925
251,1343.9202476905048,15.4,0.0508,55.5,0.0271925
