,Symboling,Losses,Fuel_type,Aspiration,Number_of_doors,Drive_wheels,Wheel_base,Length,Width,Height,Curb-Weight,Engine_type,Num_of_Cylinders,Engine_size,Fuel_system,Bore,Stroke,Compression_ratio,Horse_power(Prediction),Peak_rpm,City_mpg,Highway_mpg
0,2.9999999999999996,145.0,1.0,1.0,1.0,1.0,95.9,173.2,66.3,50.2,2811.0,3.0,2.0,156.0,4.0,3.1095928699851383,3.9,7.0,145.0,5000.0,19.0,23.999999999999996
1,0.0,77.0,1.0,0.0,0.0,1.0,95.7,169.7,63.6,59.1,2280.0,3.0,2.0,92.0,1.0,2.8149726196672398,3.03,9.0,62.00000000000001,4800.0,31.0,37.0
2,1.0000000000000002,101.0,1.0,0.0,1.0,1.0,93.7,150.0,64.0,52.599999999999994,1940.0,3.0,2.0,92.0,0.0,3.7771338255529394,3.41,9.2,76.0,6000.0,30.0,34.0
3,2.9999999999999996,153.0,1.0,1.0,1.0,1.0,96.3,173.0,65.4,49.4,2370.0,3.0,2.0,110.0,6.0,3.7118277060845917,3.46,7.5,116.0,5500.000000000001,23.0,30.0
4,1.0000000000000002,101.0,1.0,0.0,1.0,1.0,93.7,150.0,64.0,52.599999999999994,1956.0,3.0,2.0,92.0,0.0,2.8793342616348894,3.41,9.2,76.0,6000.0,30.0,34.0
5,2.0,134.0,1.0,0.0,1.0,2.0,98.4,176.2,65.6,52.0,2551.0,3.0,2.0,146.0,5.0,3.006767547488883,3.5,9.3,116.0,4800.0,24.0,30.0
6,1.0000000000000002,122.0,1.0,0.0,1.0,2.0,112.0,199.2,72.0,55.4,3715.0,5.0,0.0,304.0,5.0,2.556091003327233,3.35,8.0,184.0,4500.0,14.0,16.0
7,1.0000000000000002,106.99999999999999,1.0,0.0,1.0,1.0,96.5,169.1,66.0,51.0,2293.0,3.0,2.0,110.0,1.0,2.604391791453394,3.58,9.1,100.0,5500.000000000001,25.0,31.0
8,0.0,161.00000000000003,1.0,0.0,0.0,2.0,107.9,186.7,68.4,56.699999999999996,3020.0,2.0,2.0,120.0,5.0,2.6340160913644217,3.19,8.4,97.0,5000.0,19.0,23.999999999999996
9,0.0,145.0,1.0,0.0,0.0,2.0,113.0,199.6,69.6,52.8,4066.0,0.0,3.0,258.0,5.0,3.7798739392327025,4.17,8.1,176.0,4750.0,15.0,19.0
