,Cylinders,Displacement,Horse_power,Weight,Acceleration(prediction),Model_year,Origin
0,4.0,226.3901264562186,88.0,2100.0,16.5,72.0,3.0
1,6.0,412.2788605463105,100.0,3233.0,15.4,76.0,1.0
2,4.0,284.2098405299845,75.0,2542.0,17.0,74.0,1.0
3,4.0,62.528424402230854,68.0,2155.0,16.5,78.0,1.0
4,6.0,383.9655780439496,115.0,2700.0,12.9,79.0,1.0
5,4.0,203.83799057336526,93.0,2391.0,15.5,74.0,3.0
6,4.0,326.22300502116417,80.0,1915.0,14.4,79.0,1.0
7,6.0,250.85644473151956,85.0,2587.0,16.0,70.0,1.0
8,4.0,245.7730803329349,80.0,2155.0,14.8,77.0,1.0
9,4.0,179.90817619820797,65.0,2020.0,19.2,79.0,3.0
10,4.0,273.71240238813857,70.0,2074.0,19.5,71.0,2.0
11,8.0,440.92783080550555,145.0,4082.0,13.0,73.0,1.0
12,4.0,114.07660554538481,64.0,1875.0,16.4,81.0,1.0
13,4.0,113.98032371460849,58.0,1825.0,18.6,77.0,2.0
14,4.0,130.81904903650783,82.0,2720.0,19.4,82.0,1.0
15,8.0,194.11257383225748,150.0,4257.0,15.5,74.0,1.0
16,4.0,98.29525498307112,90.0,2711.0,15.5,80.0,3.0
17,6.0,279.1097613778375,100.0,3630.0,17.7,77.0,1.0
18,6.0,430.8141215862256,100.0,3278.0,18.0,73.0,1.0
19,8.0,83.25238694516793,140.0,4215.0,13.0,76.0,1.0
20,8.0,273.57960267212087,150.0,4699.0,14.5,74.0,1.0
21,4.0,211.5318441026448,75.0,2125.0,14.5,74.0,1.0
22,8.0,450.635534670641,175.0,4464.0,11.5,71.0,1.0
23,8.0,142.81797335202683,150.0,4077.0,14.0,72.0,1.0
24,4.0,329.3793155593767,105.0,2800.0,14.4,80.0,1.0
25,6.0,273.22990423585645,85.0,3070.0,16.7,78.0,1.0
26,6.0,178.15933316683697,95.0,3155.0,18.2,78.0,1.0
27,4.0,241.6181703730132,88.0,2890.0,17.3,79.0,1.0
28,4.0,62.528424402230854,96.0,2702.0,13.5,75.0,3.0
29,4.0,208.96931413039502,83.0,2202.0,15.3,76.0,2.0
30,8.0,126.93764244827058,200.0,4376.0,15.0,70.0,1.0
31,8.0,104.10651064083879,145.0,3425.0,13.2,78.0,1.0
32,4.0,218.0106121366681,85.0,2855.0,17.6,78.0,1.0
33,6.0,232.63506132537404,107.0,2472.0,14.0,73.0,1.0
34,4.0,62.528424402230854,94.0,2379.0,16.5,73.0,3.0
35,4.0,108.48240620829785,84.0,2490.0,15.7,81.0,1.0
36,6.0,62.528424402230854,85.0,3465.0,16.6,81.0,1.0
37,4.0,119.90517491958006,81.0,2220.0,16.9,76.0,2.0
38,4.0,211.12339714328752,115.0,2671.0,13.5,75.0,2.0
39,8.0,352.86851728148474,167.0,4906.0,12.5,73.0,1.0
40,6.0,440.92783080550555,100.0,3781.0,17.0,74.0,1.0
41,6.0,216.83333128472637,97.0,2984.0,14.5,75.0,1.0
42,8.0,444.1810703495491,150.0,3777.0,12.5,73.0,1.0
43,4.0,200.72132542459866,60.0,1834.0,19.0,71.0,2.0
44,4.0,136.63767465504952,100.0,2615.0,14.8,81.0,3.0
45,4.0,98.72614870435225,67.0,1950.0,19.0,74.0,3.0
46,8.0,452.1507532747577,198.0,4341.0,10.0,70.0,1.0
47,8.0,62.528424402230854,165.0,4274.0,12.0,72.0,1.0
48,6.0,135.5638287233265,100.0,2634.0,13.0,71.0,1.0
49,8.0,440.92783080550555,145.0,4055.0,12.0,76.0,1.0
50,6.0,237.5061260741639,90.0,3265.0,18.2,79.0,1.0
51,4.0,154.98273870896048,95.0,2560.0,14.2,78.0,3.0
52,6.0,336.68321192057965,81.0,3012.0,17.6,76.0,1.0
53,8.0,400.0349164042509,139.0,3205.0,11.2,78.0,1.0
54,8.0,343.22695940676147,129.0,3169.0,12.0,75.0,1.0
