,Cylinders,Displacement,Horse_power,Weight,Acceleration(prediction),Model_year,Origin
0,4.0,97.0,88.0,2100.0,24.091233277651817,72.0,3.0
1,6.0,225.0,100.0,3233.0,10.676379934370342,76.0,1.0
2,4.0,140.0,75.0,2542.0,17.198785112879712,74.0,1.0
3,4.0,98.0,68.0,2155.0,17.92698616201162,78.0,1.0
4,6.0,173.0,115.0,2700.0,10.113545074918504,79.0,1.0
5,4.0,108.0,93.0,2391.0,21.164238991456088,74.0,3.0
6,4.0,98.0,80.0,1915.0,24.211611080150583,79.0,1.0
7,6.0,200.0,85.0,2587.0,14.690177378421469,70.0,1.0
8,4.0,111.0,80.0,2155.0,15.751949193081836,77.0,1.0
9,4.0,84.99999999999999,65.0,2020.0,8.219620897108957,79.0,3.0
10,4.0,79.0,70.0,2074.0,8.219620897108957,71.0,2.0
11,8.0,350.0,145.0,4082.0,8.219620897108957,73.0,1.0
12,4.0,86.0,64.0,1875.0,18.205045779570906,81.0,1.0
13,4.0,79.0,58.0,1825.0,20.77145399209271,77.0,2.0
14,4.0,119.0,82.0,2720.0,10.607603230728326,82.0,1.0
15,8.0,304.0,150.0,4257.0,18.21772940293048,74.0,1.0
16,4.0,134.0,90.0,2711.0,13.419658560426612,80.0,3.0
17,6.0,225.0,100.0,3630.0,20.974208238397576,77.0,1.0
18,6.0,250.0,100.0,3278.0,24.51267139059309,73.0,1.0
19,8.0,305.0,140.0,4215.0,8.219620897108957,76.0,1.0
20,8.0,350.0,150.0,4699.0,16.4924202946479,74.0,1.0
21,4.0,89.99999999999999,75.0,2125.0,16.961436703273147,74.0,1.0
22,8.0,400.0,175.0,4464.0,8.219620897108957,71.0,1.0
23,8.0,318.0,150.0,4077.0,18.58225359622752,72.0,1.0
24,4.0,156.0,105.0,2800.0,9.989082821152834,80.0,1.0
25,6.0,200.0,85.0,3070.0,22.473551599140926,78.0,1.0
26,6.0,200.0,95.0,3155.0,16.88268973574822,78.0,1.0
27,4.0,140.0,88.0,2890.0,23.57874698570174,79.0,1.0
28,4.0,134.0,96.0,2702.0,13.316515509303521,75.0,3.0
29,4.0,101.0,83.0,2202.0,13.955264678009005,76.0,2.0
30,8.0,307.0,200.0,4376.0,19.743966529494344,70.0,1.0
31,8.0,305.0,145.0,3425.0,8.219620897108957,78.0,1.0
32,4.0,151.0,85.0,2855.0,21.330431156419902,78.0,1.0
33,6.0,155.0,107.0,2472.0,11.599888776128315,73.0,1.0
34,4.0,108.0,94.0,2379.0,16.40513049534996,73.0,3.0
35,4.0,135.0,84.0,2490.0,17.010291430648802,81.0,1.0
36,6.0,225.0,85.0,3465.0,15.630561336041714,81.0,1.0
37,4.0,116.0,81.0,2220.0,17.21517958920594,76.0,2.0
38,4.0,121.0,115.0,2671.0,10.625227772297468,75.0,2.0
39,8.0,400.0,167.0,4906.0,13.741484962258113,73.0,1.0
40,6.0,250.0,100.0,3781.0,24.51267139059309,74.0,1.0
41,6.0,171.0,97.0,2984.0,22.69152096048237,75.0,1.0
42,8.0,318.0,150.0,3777.0,9.307113802176714,73.0,1.0
43,4.0,97.0,60.0,1834.0,11.352938502211614,71.0,2.0
44,4.0,119.0,100.0,2615.0,15.829405000415836,81.0,3.0
45,4.0,79.0,67.0,1950.0,20.149702084610464,74.0,3.0
46,8.0,429.0,198.0,4341.0,8.219620897108957,70.0,1.0
47,8.0,350.0,165.0,4274.0,20.316096925471854,72.0,1.0
48,6.0,232.0,100.0,2634.0,15.707434645925645,71.0,1.0
49,8.0,350.0,145.0,4055.0,24.780286847761896,76.0,1.0
50,6.0,232.0,90.0,3265.0,19.473237604768435,79.0,1.0
51,4.0,134.0,95.0,2560.0,15.423724535045944,78.0,3.0
52,6.0,200.0,81.0,3012.0,14.392251561294502,76.0,1.0
53,8.0,302.0,139.0,3205.0,16.842300046103023,78.0,1.0
54,8.0,302.0,129.0,3169.0,24.36583113169185,75.0,1.0
55,8.0,318.0,150.0,4190.0,8.219620897108957,76.0,1.0
56,8.0,400.0,170.0,4668.0,8.219620897108957,75.0,1.0
57,6.0,232.0,100.0,2901.0,22.242197657873625,74.0,1.0
58,4.0,105.0,75.0,2230.0,14.74028809433852,78.0,1.0
59,4.0,151.0,88.0,2740.0,18.04721479000372,77.0,1.0
60,8.0,383.0,180.0,4955.0,8.219620897108957,71.0,1.0
61,8.0,304.0,150.0,3433.0,8.219620897108957,70.0,1.0
62,8.0,400.0,150.0,3761.0,8.219620897108957,70.0,1.0
63,6.0,250.0,105.0,3353.0,8.842762426748564,76.0,1.0
64,4.0,71.0,65.0,1836.0,20.38776347084825,74.0,3.0
65,4.0,97.0,88.0,2130.0,8.208437598904384,70.0,3.0
66,8.0,304.0,150.0,3892.0,8.219620897108957,72.0,1.0
67,4.0,84.99999999999999,70.0,1990.0,17.688958963692585,76.0,3.0
68,6.0,232.0,100.0,3288.0,17.236443451305213,71.0,1.0
69,6.0,250.0,72.0,3432.0,19.939315936934943,75.0,1.0
70,8.0,260.0,90.0,3420.0,11.585497759945728,79.0,1.0
71,4.0,140.0,89.0,2755.0,15.659605348663533,77.0,1.0
72,4.0,84.99999999999999,65.0,2110.0,11.591395541115967,80.0,3.0
73,8.0,304.0,193.0,4732.0,14.875653662339227,70.0,1.0
74,4.0,97.0,78.0,2190.0,13.106046609441313,77.0,2.0
75,8.0,318.0,150.0,4135.0,8.085363676605596,72.0,1.0
76,4.0,121.0,112.0,2933.0,24.51267139059309,72.0,2.0
77,8.0,318.0,150.0,4498.0,8.217263793104742,75.0,1.0
78,4.0,84.99999999999999,52.0,2035.0,22.163104397516086,76.0,1.0
79,4.0,122.0,96.0,2300.0,16.367659043069416,77.0,1.0
80,8.0,305.0,130.0,3840.0,23.446031010242574,79.0,1.0
81,4.0,116.0,75.0,2246.0,13.2777292991064,74.0,2.0
82,8.0,318.0,150.0,3755.0,24.51267139059309,76.0,1.0
83,4.0,151.0,90.0,2735.0,14.680247819721002,82.0,1.0
84,8.0,455.0,225.0,3086.0,24.51267139059309,70.0,1.0
85,4.0,108.0,70.0,2245.0,24.51267139059309,82.0,3.0
86,4.0,97.0,78.0,2188.0,14.963639514034195,80.0,2.0
87,5.0,131.0,103.0,2830.0,18.072611468201377,78.0,2.0
88,4.0,107.0,75.0,2205.0,14.002331373547388,82.0,3.0
89,8.0,400.0,175.0,4385.0,10.89430260203299,72.0,1.0
90,4.0,119.0,97.0,2545.0,13.179353045417729,75.0,3.0
91,8.0,318.0,150.0,4457.0,14.074046977522034,74.0,1.0
92,6.0,250.0,98.0,3525.0,19.158273112167894,77.0,1.0
93,6.0,250.0,78.0,3574.0,19.942211173921585,76.0,1.0
94,8.0,360.0,170.0,4654.0,13.436206669727708,73.0,1.0
95,4.0,107.0,72.0,2290.0,8.016104591188963,80.0,3.0
96,8.0,318.0,145.0,4140.0,13.959539276229918,77.0,1.0
97,8.0,400.0,180.0,4220.0,8.219620897108957,77.0,1.0
98,6.0,250.0,110.0,3520.0,19.082539979816566,77.0,1.0
99,4.0,119.0,97.0,2300.0,14.94060962223286,78.0,3.0
100,3.0,70.0,97.0,2330.0,24.5164445916605,72.0,3.0
101,6.0,156.0,122.0,2807.0,11.693015781458586,73.0,3.0
102,8.0,350.0,105.0,3725.0,19.688831704876375,81.0,1.0
103,8.0,302.0,137.0,4042.0,22.48432898491041,73.0,1.0
104,4.0,122.0,86.0,2220.0,14.88644796200805,71.0,1.0
105,8.0,400.0,230.0,4278.0,8.219620897108957,73.0,1.0
106,6.0,232.0,100.0,2945.0,24.71327786763127,73.0,1.0
107,6.0,250.0,88.0,3139.0,21.427232252515996,71.0,1.0
108,4.0,141.0,80.0,3230.0,24.588400187987766,81.0,2.0
109,8.0,318.0,210.0,4382.0,15.886227447386435,70.0,1.0
110,6.0,232.0,90.0,3085.0,12.638796701338729,76.0,1.0
111,8.0,350.0,165.0,4209.0,12.683057603673019,71.0,1.0
112,4.0,91.0,67.0,1850.0,10.289027711183149,80.0,3.0
113,8.0,350.0,165.0,3693.0,8.136665945031256,70.0,1.0
114,4.0,135.0,84.0,2525.0,16.097228769051608,82.0,1.0
115,6.0,250.0,105.0,3459.0,23.127993145691256,75.0,1.0
116,8.0,302.0,140.0,4141.0,8.219620897108957,74.0,1.0
117,8.0,350.0,145.0,3988.0,24.51267139059309,73.0,1.0
118,4.0,98.0,76.0,2144.0,17.838130843190974,80.0,2.0
119,8.0,260.0,110.0,4060.0,22.6704353190528,77.0,1.0
120,4.0,146.0,67.0,3250.0,22.05670423812989,80.0,2.0
121,8.0,318.0,140.0,4080.0,12.923719889250709,78.0,1.0
122,8.0,350.0,180.0,3664.0,24.51267139059309,73.0,1.0
123,8.0,302.0,139.0,3570.0,8.219620897108957,78.0,1.0
124,4.0,71.0,65.0,1773.0,24.51267139059309,71.0,3.0
125,8.0,350.0,125.0,3900.0,24.51267139059309,79.0,1.0
126,6.0,225.0,105.0,3613.0,24.51267139059309,74.0,1.0
127,4.0,105.0,74.0,2190.0,11.032925872762306,81.0,2.0
128,4.0,97.0,46.0,1835.0,14.179979103408424,70.0,2.0
129,4.0,151.0,90.0,3003.0,17.261262476170234,80.0,1.0
130,4.0,115.0,95.0,2694.0,16.74271296209841,75.0,2.0
131,4.0,108.0,75.0,2265.0,9.267233214635969,80.0,3.0
132,4.0,122.0,85.0,2310.0,24.51267139059309,73.0,1.0
133,8.0,302.0,129.0,3725.0,22.48910121414044,79.0,1.0
134,4.0,105.0,63.0,2215.0,23.51091055347181,81.0,1.0
135,6.0,250.0,110.0,3645.0,21.870211759130736,76.0,1.0
136,8.0,350.0,175.0,4100.0,24.51267139059309,73.0,1.0
137,6.0,231.0,105.0,3535.0,19.946091874644907,78.0,1.0
138,6.0,231.0,115.0,3245.0,11.422465426126521,79.0,1.0
139,6.0,231.0,105.0,3425.0,11.909720260595869,77.0,1.0
140,4.0,79.0,58.0,1755.0,14.223368884696631,81.0,3.0
141,4.0,105.0,70.0,2150.0,24.51267139059309,79.0,1.0
142,4.0,98.0,60.0,2164.0,22.124574268175543,76.0,1.0
143,4.0,98.0,70.0,2120.0,16.740718539102602,80.0,1.0
144,4.0,91.0,67.0,1965.0,24.51262848074184,82.0,3.0
145,4.0,84.99999999999999,70.0,1945.0,17.573692859318832,77.0,3.0
146,4.0,120.0,88.0,3270.0,21.226019305914743,76.0,2.0
147,4.0,97.0,88.0,2130.0,24.683660422793395,71.0,3.0
148,8.0,360.0,175.0,3821.0,24.610406759331713,73.0,1.0
149,4.0,151.0,90.0,2950.0,18.094618695126403,82.0,1.0
150,8.0,429.0,208.0,4633.0,17.418488054791684,72.0,1.0
151,6.0,225.0,110.0,3360.0,13.829431433127636,79.0,1.0
152,6.0,146.0,120.0,2930.0,14.497824499290878,81.0,3.0
153,4.0,121.0,110.0,2600.0,16.8197981552931,77.0,2.0
154,4.0,98.0,68.0,2135.0,8.441801900002112,78.0,3.0
155,4.0,89.0,62.0,1845.0,8.219620897108957,80.0,2.0
156,4.0,110.0,87.0,2672.0,13.660597203268383,70.0,2.0
157,8.0,340.0,160.0,3609.0,24.51267139059309,70.0,1.0
158,4.0,113.0,95.0,2372.0,24.534127622128665,70.0,3.0
159,4.0,113.0,95.0,2228.0,20.600342462637588,71.0,3.0
160,8.0,304.0,120.0,3962.0,18.30567683241762,76.0,1.0
161,4.0,140.0,83.0,2639.0,18.465589084698266,75.0,1.0
162,4.0,89.0,62.0,2050.0,14.623739088663744,81.0,3.0
163,4.0,89.99999999999999,48.0,2085.0,18.578988356337824,80.0,2.0
164,4.0,89.99999999999999,48.0,1985.0,18.69103823695741,78.0,2.0
165,4.0,97.0,67.0,2145.0,24.51267139059309,80.0,3.0
166,6.0,198.0,95.0,2904.0,10.28687213835798,73.0,1.0
167,6.0,225.0,100.0,3430.0,14.66458396286869,78.0,1.0
168,4.0,120.0,97.0,2489.0,14.821214758638272,74.0,3.0
169,4.0,91.0,68.0,2025.0,15.285878047101646,82.0,3.0
170,8.0,350.0,180.0,4380.0,8.219620897108957,76.0,1.0
171,6.0,168.0,120.0,3820.0,24.51267139059309,76.0,2.0
172,8.0,302.0,130.0,3870.0,24.590852253099797,76.0,1.0
173,4.0,119.0,92.0,2434.0,21.499567990567005,80.0,3.0
174,6.0,200.0,88.0,3060.0,16.044423419216397,81.0,1.0
175,4.0,81.0,60.0,1760.0,17.816085750002962,81.0,3.0
176,8.0,318.0,150.0,4096.0,16.124780947348615,71.0,1.0
177,4.0,89.0,60.0,1968.0,8.879403160367604,80.0,3.0
178,4.0,140.0,72.0,2408.0,17.123869432814818,71.0,1.0
179,6.0,232.0,100.0,2789.0,24.760146709762108,73.0,1.0
180,4.0,76.0,52.0,1649.0,16.414034310452724,74.0,3.0
181,4.0,135.0,84.0,2295.0,13.607417956828682,82.0,1.0
182,6.0,181.0,110.0,2945.0,15.405902661223017,82.0,1.0
183,4.0,156.0,105.0,2745.0,17.16481552265329,78.0,1.0
184,4.0,120.0,79.0,2625.0,16.290280330317593,82.0,1.0
185,8.0,351.0,149.0,4335.0,8.219620897108957,77.0,1.0
186,4.0,120.0,88.0,2957.0,15.970041982465293,75.0,2.0
187,4.0,151.0,90.0,2678.0,13.428109995485263,80.0,1.0
188,6.0,145.0,76.0,3160.0,19.76599447180363,81.0,2.0
189,4.0,120.0,75.0,2542.0,10.84668034737496,80.0,3.0
190,8.0,318.0,150.0,3436.0,8.219620897108957,70.0,1.0
191,5.0,183.0,77.0,3530.0,20.795424117866112,79.0,2.0
192,6.0,163.0,125.0,3140.0,20.053803757801134,78.0,2.0
193,8.0,455.0,225.0,4425.0,8.111493487493965,70.0,1.0
194,4.0,140.0,92.0,2865.0,15.552388562782046,82.0,1.0
195,6.0,199.0,90.0,2648.0,13.208016496451918,70.0,1.0
196,8.0,302.0,140.0,3449.0,8.219620897108957,70.0,1.0
197,4.0,91.0,53.0,1795.0,14.546161345085473,76.0,3.0
198,6.0,262.0,85.0,3015.0,14.893766137566328,82.0,1.0
199,4.0,89.99999999999999,70.0,1937.0,13.72269365081027,75.0,2.0
200,4.0,91.0,68.0,1970.0,24.51267139059309,82.0,3.0
201,3.0,70.0,90.0,2124.0,13.826562194117791,73.0,3.0
202,4.0,84.99999999999999,70.0,2070.0,23.53908421420458,78.0,3.0
203,6.0,199.0,97.0,2774.0,16.27793067338084,70.0,1.0
204,4.0,107.0,90.0,2430.0,17.30673836822624,70.0,2.0
205,4.0,71.99999999999999,69.0,1613.0,24.51267139059309,71.0,3.0
206,6.0,231.0,105.0,3380.0,13.115461486915946,78.0,1.0
207,4.0,151.0,90.0,2556.0,8.117034551108773,79.0,1.0
208,6.0,231.0,110.0,3039.0,9.493949751281745,75.0,1.0
209,4.0,86.0,65.0,1975.0,18.36126541431348,79.0,3.0
210,8.0,318.0,150.0,3940.0,24.51267139059309,76.0,1.0
211,4.0,98.0,63.0,2051.0,19.098973904664426,77.0,1.0
212,6.0,200.0,85.0,2990.0,19.970970130931438,79.0,1.0
213,4.0,121.0,110.0,2660.0,13.078870568524431,73.0,2.0
214,6.0,200.0,85.0,2965.0,19.741315136157162,78.0,1.0
215,6.0,258.0,120.0,3410.0,17.750910964060516,78.0,1.0
216,4.0,140.0,88.0,2870.0,13.409866034136103,80.0,1.0
217,4.0,144.0,96.0,2665.0,11.23808274660508,82.0,3.0
218,8.0,440.0,215.0,4312.0,8.065732707250696,70.0,1.0
219,4.0,107.0,75.0,2210.0,24.51267139059309,81.0,3.0
220,8.0,360.0,150.0,3940.0,8.418632332874221,79.0,1.0
221,4.0,156.0,92.0,2585.0,15.772712211283704,82.0,1.0
222,8.0,318.0,150.0,4237.0,16.99474762454351,73.0,1.0
223,4.0,122.0,86.0,2226.0,16.885622194088263,72.0,1.0
224,8.0,455.0,225.0,4951.0,8.133217387818588,73.0,1.0
225,4.0,121.0,98.0,2945.0,15.104540032768881,75.0,2.0
226,8.0,351.0,138.0,3955.0,22.997337284994195,79.0,1.0
227,4.0,88.0,76.0,2065.0,8.219620897108957,71.0,2.0
228,4.0,112.0,85.0,2575.0,11.073768791402173,82.0,1.0
229,4.0,97.0,71.0,1825.0,13.984968384040005,76.0,2.0
230,8.0,383.0,170.0,3563.0,8.219620897108957,70.0,1.0
231,4.0,89.0,71.0,1925.0,11.823325408959473,79.0,2.0
232,6.0,225.0,95.0,3785.0,24.304940911152947,75.0,1.0
233,4.0,122.0,80.0,2451.0,15.961209320436648,74.0,1.0
234,6.0,146.0,97.0,2815.0,15.649582819040967,77.0,3.0
235,8.0,454.0,220.0,4354.0,8.219620897108957,70.0,1.0
236,4.0,116.0,90.0,2123.0,8.219620897108957,71.0,2.0
237,4.0,97.0,78.0,1940.0,19.100009394569994,77.0,2.0
238,8.0,351.0,152.0,4215.0,18.557519098458062,76.0,1.0
239,4.0,98.0,79.0,2255.0,18.198741107770463,76.0,1.0
240,4.0,105.0,63.0,2125.0,15.529429400733651,82.0,1.0
241,8.0,351.0,153.0,4129.0,17.929371747955855,72.0,1.0
242,4.0,122.0,86.0,2395.0,15.750737065539711,72.0,1.0
243,8.0,318.0,135.0,3830.0,19.771333734924738,79.0,1.0
244,6.0,173.0,110.0,2725.0,16.38747821434687,81.0,1.0
245,8.0,304.0,150.0,3672.0,8.034081168577895,72.0,1.0
246,4.0,98.0,65.0,2380.0,8.219620897108957,81.0,1.0
247,6.0,258.0,110.0,2962.0,13.592992312360353,71.0,1.0
248,4.0,86.0,65.0,2110.0,11.531990101376742,80.0,3.0
249,6.0,250.0,72.0,3158.0,19.720134010463088,75.0,1.0
250,4.0,114.0,91.0,2582.0,20.741226648225872,73.0,2.0
251,8.0,351.0,142.0,4054.0,24.038787079666736,79.0,1.0
252,4.0,135.0,84.0,2385.0,15.581105660381484,81.0,1.0
253,4.0,140.0,92.0,2572.0,15.794201399655375,76.0,1.0
254,6.0,225.0,100.0,3651.0,12.900414672773666,76.0,1.0
255,6.0,250.0,100.0,3329.0,20.865322881360083,71.0,1.0
256,8.0,304.0,150.0,3672.0,24.51267139059309,73.0,1.0
257,4.0,98.0,66.0,1800.0,21.787839711871126,78.0,1.0
258,6.0,168.0,116.0,2900.0,13.264074733301769,81.0,3.0
259,6.0,258.0,110.0,3730.0,24.51267139059309,75.0,1.0
260,4.0,116.0,75.0,2158.0,24.772412964591318,73.0,2.0
261,3.0,70.0,100.0,2420.0,12.668885185314272,80.0,3.0
262,4.0,119.0,97.0,2405.0,9.708288562718613,78.0,3.0
263,4.0,97.0,67.0,2065.0,24.51267139059309,81.0,3.0
264,4.0,140.0,78.0,2592.0,19.444876585104627,75.0,1.0
265,5.0,121.0,67.0,2950.0,18.629688730368244,80.0,2.0
266,6.0,225.0,90.0,3381.0,19.504206180617814,80.0,1.0
267,8.0,400.0,150.0,4997.0,17.134084220654184,73.0,1.0
