,Thermal Distress,Launch Temperature(prediction),Leak-Check Pressure
0,0.0,68.80389386394191,50.0
1,0.0,78.44785157300913,200.0
2,0.0,68.81367134619222,50.0
3,0.0,68.7242340147475,100.0
4,2.0,72.78612227628685,200.0
5,0.0,68.78541960798971,50.0
6,0.0,69.76380441404734,200.0
7,0.0,68.78311608628758,50.0
8,2.0,72.8186974816588,200.0
9,1.0,72.77090818841444,200.0
10,0.0,69.71974998665758,200.0
11,0.0,65.90555349484006,50.0
12,1.0,72.76981227964305,200.0
13,1.0,72.78245066134288,200.0
14,1.0,72.74385805759121,200.0
15,0.0,68.79139990824807,50.0
16,1.0,72.7574468747025,200.0
17,0.0,68.79115400269497,50.0
18,1.0,72.76715459745859,200.0
19,0.0,69.73465069131751,200.0
20,0.0,68.71373435788098,100.0
21,0.0,68.72417847370974,100.0
22,0.0,69.70838433469986,200.0
23,0.0,69.71724764925841,200.0
24,0.0,69.71229922978226,200.0
25,1.0,71.26258016815228,50.0
26,0.0,68.70691038280751,100.0
27,0.0,78.45759248000162,200.0
28,0.0,69.7279347759734,200.0
29,1.0,72.74801195083549,200.0
30,2.0,72.80747832546024,200.0
31,0.0,62.889951490496365,200.0
