,Thermal Distress,Launch Temperature,Leak-Check Pressure(prediction)
0,0.0,66.0,53.734884132552196
1,0.0,76.0,208.1032072688595
2,0.0,67.0,153.10274875254495
3,0.0,70.0,202.95230697124404
4,2.0,53.0,124.96616420615159
5,0.0,66.0,50.22764828287285
6,0.0,70.0,203.1543904690102
7,0.0,72.0,212.51741970405413
8,2.0,75.0,223.27275282995157
9,1.0,58.0,89.65595653983712
10,0.0,67.0,152.78033506032136
11,0.0,69.0,69.57402242984246
12,1.0,63.0,50.20857506885896
13,1.0,63.0,64.63873714387194
14,1.0,57.0,99.62169724015396
15,0.0,72.0,212.58070615862783
16,1.0,70.0,57.90171582490058
17,0.0,68.0,148.22892581770714
18,1.0,70.0,58.09198382336204
19,0.0,79.0,197.9381749191145
20,0.0,73.0,213.18452245592027
21,0.0,70.0,56.10449152742294
22,0.0,81.0,189.95044429232968
23,0.0,76.0,208.10186375532356
24,0.0,75.0,210.61755421771977
25,1.0,70.0,65.26197449635279
26,0.0,73.0,212.95848472649635
27,0.0,78.0,201.62321655473062
28,0.0,81.0,189.96714244041624
29,1.0,57.0,99.58195579718631
30,2.0,53.0,124.65535868267736
31,0.0,75.0,210.57888901972302
