,Frequency(prediction),Angle_of_Attack,Chord_length,Free-stream_velocity,Suction_side_displacement_thickness
0,1314.295783671268,0.0,0.3048,31.7,0.0033126600000000003
1,1004.9570814312813,12.3,0.1016,31.7,0.0418756
2,1877.019915500106,4.0,0.3048,39.6,0.00579636
3,3854.044845197617,0.0,0.02540000000000002,31.7,0.0004394719999999998
4,3988.099947665647,0.0,0.0508,55.5,0.0007619299999999992
5,15090.598619658718,4.8,0.02540000000000002,39.6,0.0009074749999999996
6,889.80276217962,15.4,0.0508,31.7,0.028985300000000002
7,354.99492071978966,7.3,0.2286,71.3,0.010440399999999999
8,1653.0864181835177,7.2,0.1524,71.3,0.00752039
9,1813.0943259076225,5.4,0.1524,31.7,0.00525474
10,9045.086752757481,0.0,0.0508,31.7,0.0008121640000000006
11,7704.501768347136,3.0,0.3048,39.6,0.00495741
12,1575.3137123357722,12.7,0.02540000000000002,71.3,0.012180799999999999
13,2822.245552413779,9.5,0.02540000000000002,71.3,0.004206539999999999
14,1675.8211949104955,7.3,0.2286,55.5,0.011170600000000001
15,13392.967715488627,12.3,0.1016,39.6,0.04082680000000001
16,1325.7694973423982,5.3,0.2286,39.6,0.00614329
17,797.6980575052248,7.2,0.1524,39.6,0.00909175
18,1757.2708719010336,2.0,0.2286,71.3,0.00293031
19,7813.42693753604,8.4,0.0508,55.5,0.00544854
20,3850.2810898277094,0.0,0.1524,39.6,0.0019328699999999997
21,12002.248622088508,0.0,0.0508,71.3,0.0007404779999999993
22,5964.191428478782,9.9,0.1524,31.7,0.025278500000000002
23,2467.8780949942807,2.0,0.2286,71.3,0.00293031
24,1148.3144330098442,15.4,0.0508,39.6,0.0282593
25,6406.639847980463,0.0,0.1016,39.6,0.0014633200000000006
26,7078.190276929762,4.2,0.0508,39.6,0.0015268899999999995
27,615.5144326314398,5.3,0.2286,39.6,0.00614329
28,13404.321044347576,12.3,0.1016,39.6,0.04082680000000001
29,200.0,15.6,0.1016,71.3,0.0437259
30,1354.8885196790663,17.4,0.02540000000000002,39.6,0.0172206
31,9270.228694865502,0.0,0.1524,71.3,0.001598800000000001
32,1918.3882577846084,7.2,0.1524,39.6,0.00909175
33,6942.340671742726,12.7,0.02540000000000002,39.6,0.013025299999999998
34,3711.9425594894137,4.0,0.3048,71.3,0.00497773
35,1261.024434906671,8.9,0.1016,71.3,0.0103088
36,3398.1126660688064,0.0,0.0508,39.6,0.0007918219999999993
37,1488.6103401657456,5.3,0.2286,71.3,0.0051942
38,2541.420808262552,17.4,0.02540000000000002,39.6,0.0172206
39,6422.325191974902,12.3,0.1016,31.7,0.0418756
40,2734.729311838411,4.0,0.2286,71.3,0.00400603
41,3208.9956235161612,4.8,0.02540000000000002,55.5,0.0008732180000000003
42,1575.1613324697778,9.9,0.1524,71.3,0.019300099999999997
43,1744.6920560544818,15.4,0.0508,31.7,0.028985300000000002
44,664.838842467318,4.0,0.3048,39.6,0.00579636
45,5122.035635661319,4.8,0.02540000000000002,55.5,0.0008732180000000003
46,774.932368143187,15.4,0.0508,55.5,0.0271925
47,4428.487924488118,15.4,0.0508,55.5,0.0271925
48,11332.670091359101,0.0,0.1016,71.3,0.0012107200000000002
49,7491.623161200768,4.8,0.02540000000000002,71.3,0.0008486329999999997
50,1427.6452293122147,0.0,0.1016,31.7,0.0015009199999999993
51,8348.199417121423,1.5,0.3048,71.3,0.00336729
52,5417.5102997687645,4.8,0.02540000000000002,39.6,0.0009074749999999996
53,353.0770999701763,9.9,0.1524,31.7,0.025278500000000002
54,2189.1164701735806,1.5,0.3048,71.3,0.00336729
55,2537.6518067534003,17.4,0.02540000000000002,31.7,0.017663099999999998
56,2829.1805933758183,0.0,0.2286,31.7,0.0027238
57,1416.492448693207,2.7,0.1524,39.6,0.002948039999999999
58,4195.490381972713,0.0,0.3048,31.7,0.0033126600000000003
59,4390.342554134546,4.0,0.2286,71.3,0.00400603
60,2003.7951425460888,1.5,0.3048,71.3,0.00336729
61,3980.463404930397,0.0,0.0508,55.5,0.0007619299999999992
62,716.0895922324862,5.4,0.1524,31.7,0.00525474
63,1787.8778987671858,8.4,0.0508,71.3,0.00529514
64,4324.584471631892,2.0,0.2286,31.7,0.003723709999999999
65,1978.3721037097243,17.4,0.02540000000000002,31.7,0.017663099999999998
66,7472.946970087058,9.5,0.02540000000000002,71.3,0.004206539999999999
67,2309.550932436395,19.7,0.0508,71.3,0.034118300000000004
