,Frequency,Angle_of_Attack(prediction),Chord_length,Free-stream_velocity,Suction_side_displacement_thickness
0,2000.0,1.907229208883984,0.0508,55.5,0.0271925
1,2000.0,2.056458838231479,0.0508,55.5,0.0271925
2,2000.0,2.160919578774725,0.0508,55.5,0.0271925
3,2000.0,2.2340420971549975,0.0508,55.5,0.0271925
4,2000.0,2.2852278600211875,0.0508,55.5,0.0271925
5,2000.0,13.464403578694398,0.0508,55.5,0.0271925
6,2000.0,13.015260990973516,0.0508,55.5,0.0271925
7,2000.0,12.700861179568896,0.0508,55.5,0.0271925
8,2000.0,6.8708139774338735,0.0508,55.5,0.0271925
9,2000.0,7.932423730228689,0.0508,55.5,0.0271925
10,2000.0,8.67555055718506,0.0508,55.5,0.0271925
11,2000.0,9.195739336054519,0.0508,55.5,0.0271925
12,2000.0,9.55987148126314,0.0508,55.5,0.0271925
13,2000.0,9.55987148126314,0.0508,55.5,0.0271925
14,2000.0,9.55987148126314,0.0508,55.5,0.0271925
15,2000.0,9.670200613117512,0.0508,55.5,0.0271925
16,2000.0,9.670200613117512,0.0508,55.5,0.0271925
17,2000.0,9.670200613117512,0.0508,55.5,0.0271925
18,2000.0,9.670200613117512,0.0508,55.5,0.0271925
19,2000.0,9.670200613117512,0.0508,55.5,0.0271925
20,2000.0,9.670200613117512,0.0508,55.5,0.0271925
21,2000.0,9.670200613117512,0.0508,55.5,0.0271925
22,2000.0,9.670200613117512,0.0508,55.5,0.0271925
23,2000.0,9.670200613117512,0.0508,55.5,0.0271925
24,2000.0,9.670200613117512,0.0508,55.5,0.0271925
25,2000.0,9.670200613117512,0.0508,55.5,0.0271925
26,2000.0,9.670200613117512,0.0508,55.5,0.0271925
27,2000.0,9.670200613117512,0.0508,55.5,0.0271925
28,2000.0,9.6660782840529,0.0508,55.5,0.0271925
29,2000.0,9.6660782840529,0.0508,55.5,0.0271925
30,2000.0,9.6660782840529,0.0508,55.5,0.0271925
31,2000.0,9.6660782840529,0.0508,55.5,0.0271925
32,2000.0,9.6660782840529,0.0508,55.5,0.0271925
33,2000.0,9.6660782840529,0.0508,55.5,0.0271925
