,Cylinders,Displacement,Horse_power,Weight,Acceleration(prediction),Model_year,Origin
0,4.0,322.6577906846672,88.0,2100.0,16.5,72.0,3.0
1,6.0,212.82499645970643,100.0,3233.0,15.4,76.0,1.0
2,4.0,299.4043304010621,75.0,2542.0,17.0,74.0,1.0
3,4.0,129.1557811344435,68.0,2155.0,16.5,78.0,1.0
4,6.0,158.50472153337316,115.0,2700.0,12.9,79.0,1.0
5,4.0,102.61458176034436,93.0,2391.0,15.5,74.0,3.0
6,4.0,112.14083782856692,80.0,1915.0,14.4,79.0,1.0
7,6.0,257.48009058808884,85.0,2587.0,16.0,70.0,1.0
8,4.0,137.03789630504156,80.0,2155.0,14.8,77.0,1.0
9,4.0,194.95063400239147,65.0,2020.0,19.2,79.0,3.0
10,4.0,255.09616127203162,70.0,2074.0,19.5,71.0,2.0
11,8.0,375.4755770064237,145.0,4082.0,13.0,73.0,1.0
12,4.0,70.93681908264286,64.0,1875.0,16.4,81.0,1.0
13,4.0,109.50542905469341,58.0,1825.0,18.6,77.0,2.0
14,4.0,74.42151718671019,82.0,2720.0,19.4,82.0,1.0
15,8.0,229.3108621211913,150.0,4257.0,15.5,74.0,1.0
16,4.0,114.9383959632288,90.0,2711.0,15.5,80.0,3.0
17,6.0,240.82881509135206,100.0,3630.0,17.7,77.0,1.0
18,6.0,279.55479305211713,100.0,3278.0,18.0,73.0,1.0
19,8.0,432.89505070723396,140.0,4215.0,13.0,76.0,1.0
20,8.0,440.3381834156162,150.0,4699.0,14.5,74.0,1.0
21,4.0,192.15876604019329,75.0,2125.0,14.5,74.0,1.0
22,8.0,314.20232561085885,175.0,4464.0,11.5,71.0,1.0
23,8.0,254.69929476944898,150.0,4077.0,14.0,72.0,1.0
24,4.0,161.34717266932074,105.0,2800.0,14.4,80.0,1.0
25,6.0,273.49629990438916,85.0,3070.0,16.7,78.0,1.0
26,6.0,269.8070873280858,95.0,3155.0,18.2,78.0,1.0
27,4.0,325.7126173024922,88.0,2890.0,17.3,79.0,1.0
28,4.0,290.28579719004665,96.0,2702.0,13.5,75.0,3.0
29,4.0,295.97044552038915,83.0,2202.0,15.3,76.0,2.0
30,8.0,347.08274479768147,200.0,4376.0,15.0,70.0,1.0
31,8.0,363.01807749326287,145.0,3425.0,13.2,78.0,1.0
32,4.0,313.9030728017777,85.0,2855.0,17.6,78.0,1.0
33,6.0,307.9831901690603,107.0,2472.0,14.0,73.0,1.0
34,4.0,386.8875465397706,94.0,2379.0,16.5,73.0,3.0
35,4.0,237.79576491218592,84.0,2490.0,15.7,81.0,1.0
36,6.0,302.0219917403401,85.0,3465.0,16.6,81.0,1.0
37,4.0,358.1611182612986,81.0,2220.0,16.9,76.0,2.0
38,4.0,225.48837688660512,115.0,2671.0,13.5,75.0,2.0
39,8.0,416.66830021428245,167.0,4906.0,12.5,73.0,1.0
40,6.0,240.0847960784074,100.0,3781.0,17.0,74.0,1.0
41,6.0,310.7815966024265,97.0,2984.0,14.5,75.0,1.0
42,8.0,330.29956873756834,150.0,3777.0,12.5,73.0,1.0
43,4.0,309.57232270621046,60.0,1834.0,19.0,71.0,2.0
44,4.0,134.48523782775848,100.0,2615.0,14.8,81.0,3.0
45,4.0,164.36151134513796,67.0,1950.0,19.0,74.0,3.0
46,8.0,396.0995975105992,198.0,4341.0,10.0,70.0,1.0
47,8.0,269.4825665891147,165.0,4274.0,12.0,72.0,1.0
48,6.0,308.01835094388167,100.0,2634.0,13.0,71.0,1.0
49,8.0,174.1669129364236,145.0,4055.0,12.0,76.0,1.0
50,6.0,269.56205520122097,90.0,3265.0,18.2,79.0,1.0
51,4.0,165.15165496961524,95.0,2560.0,14.2,78.0,3.0
52,6.0,153.89959077288523,81.0,3012.0,17.6,76.0,1.0
53,8.0,278.65590034643685,139.0,3205.0,11.2,78.0,1.0
54,8.0,155.9802954206744,129.0,3169.0,12.0,75.0,1.0
55,8.0,422.3481751094121,150.0,4190.0,13.0,76.0,1.0
56,8.0,301.00515342309063,170.0,4668.0,11.5,75.0,1.0
57,6.0,295.3775160262583,100.0,2901.0,16.0,74.0,1.0
58,4.0,107.4157089097115,75.0,2230.0,14.5,78.0,1.0
59,4.0,130.85605399808514,88.0,2740.0,16.0,77.0,1.0
60,8.0,404.93871111327525,180.0,4955.0,11.5,71.0,1.0
61,8.0,305.74331861487246,150.0,3433.0,12.0,70.0,1.0
62,8.0,362.6652260235835,150.0,3761.0,9.5,70.0,1.0
63,6.0,210.4830674777167,105.0,3353.0,14.5,76.0,1.0
64,4.0,164.78453617532043,65.0,1836.0,21.0,74.0,3.0
65,4.0,295.48113525753786,88.0,2130.0,14.5,70.0,3.0
66,8.0,356.0302612808041,150.0,3892.0,12.5,72.0,1.0
67,4.0,181.86386396765423,70.0,1990.0,17.0,76.0,3.0
68,6.0,245.32582406754295,100.0,3288.0,15.5,71.0,1.0
69,6.0,272.1327574421956,72.0,3432.0,21.0,75.0,1.0
70,8.0,311.90616860976934,90.0,3420.0,22.2,79.0,1.0
71,4.0,292.24583402005624,89.0,2755.0,15.8,77.0,1.0
72,4.0,103.8245608461768,65.0,2110.0,19.2,80.0,3.0
73,8.0,197.08556097844763,193.0,4732.0,18.5,70.0,1.0
74,4.0,162.0198190901605,78.0,2190.0,14.1,77.0,2.0
75,8.0,404.4964221732155,150.0,4135.0,13.5,72.0,1.0
76,4.0,345.03055178547874,112.0,2933.0,14.5,72.0,2.0
77,8.0,440.92783080550555,150.0,4498.0,14.5,75.0,1.0
78,4.0,107.95960234510333,52.0,2035.0,22.2,76.0,1.0
79,4.0,336.44492491267886,96.0,2300.0,15.5,77.0,1.0
80,8.0,294.22359867038875,130.0,3840.0,15.4,79.0,1.0
81,4.0,305.28807044384354,75.0,2246.0,14.0,74.0,2.0
82,8.0,190.56807894472473,150.0,3755.0,14.0,76.0,1.0
83,4.0,279.83600041672196,90.0,2735.0,18.0,82.0,1.0
84,8.0,434.2762862701953,225.0,3086.0,10.0,70.0,1.0
85,4.0,178.73334153289932,70.0,2245.0,16.9,82.0,3.0
86,4.0,133.42007626086811,78.0,2188.0,15.8,80.0,2.0
87,5.0,275.52075071330523,103.0,2830.0,15.9,78.0,2.0
88,4.0,152.91871818019035,75.0,2205.0,14.5,82.0,3.0
89,8.0,422.0209429333639,175.0,4385.0,12.0,72.0,1.0
90,4.0,119.57408545335231,97.0,2545.0,17.0,75.0,3.0
91,8.0,445.3956551507745,150.0,4457.0,13.5,74.0,1.0
92,6.0,252.09031922271916,98.0,3525.0,19.0,77.0,1.0
93,6.0,230.50049261087,78.0,3574.0,21.0,76.0,1.0
94,8.0,427.26432892619835,170.0,4654.0,13.0,73.0,1.0
95,4.0,178.60049947905412,72.0,2290.0,17.0,80.0,3.0
96,8.0,377.11054910355426,145.0,4140.0,13.7,77.0,1.0
97,8.0,450.9727956876328,180.0,4220.0,11.1,77.0,1.0
98,6.0,125.23404153860149,110.0,3520.0,16.4,77.0,1.0
99,4.0,304.3662483339332,97.0,2300.0,14.7,78.0,3.0
100,3.0,210.41268147061334,97.0,2330.0,13.5,72.0,3.0
101,6.0,150.15322426783848,122.0,2807.0,13.5,73.0,3.0
102,8.0,360.53156195850283,105.0,3725.0,19.0,81.0,1.0
