,Cylinders,Displacement,Horse_power,Weight,Acceleration(prediction),Model_year,Origin
0,4.0,97.0,88.0,2100.0,15.938980383362248,72.0,3.0
1,6.0,225.0,100.0,3233.0,15.351919632429217,76.0,1.0
2,4.0,140.0,75.0,2542.0,10.997275937191505,74.0,1.0
3,4.0,98.0,68.0,2155.0,19.653100194109044,78.0,1.0
4,6.0,173.0,115.0,2700.0,13.753599239305455,79.0,1.0
5,4.0,108.0,93.0,2391.0,13.58207590824059,74.0,3.0
6,4.0,98.0,80.0,1915.0,8.600544240340028,79.0,1.0
7,6.0,200.0,85.0,2587.0,15.560875525504688,70.0,1.0
8,4.0,111.0,80.0,2155.0,11.259315203693614,77.0,1.0
9,4.0,84.99999999999999,65.0,2020.0,10.495228869582293,79.0,3.0
10,4.0,79.0,70.0,2074.0,13.867755423918704,71.0,2.0
11,8.0,350.0,145.0,4082.0,14.752210653097261,73.0,1.0
12,4.0,86.0,64.0,1875.0,9.64611843072202,81.0,1.0
13,4.0,79.0,58.0,1825.0,11.636051488938753,77.0,2.0
14,4.0,119.0,82.0,2720.0,10.373883690207458,82.0,1.0
15,8.0,304.0,150.0,4257.0,12.844721808713839,74.0,1.0
16,4.0,134.0,90.0,2711.0,15.466025173075373,80.0,3.0
17,6.0,225.0,100.0,3630.0,12.93275426686531,77.0,1.0
18,6.0,250.0,100.0,3278.0,10.485230743426374,73.0,1.0
19,8.0,305.0,140.0,4215.0,18.4410226935015,76.0,1.0
20,8.0,350.0,150.0,4699.0,14.187758330522943,74.0,1.0
21,4.0,89.99999999999999,75.0,2125.0,10.794385404427068,74.0,1.0
22,8.0,400.0,175.0,4464.0,13.390842611674167,71.0,1.0
23,8.0,318.0,150.0,4077.0,11.494067038426127,72.0,1.0
24,4.0,156.0,105.0,2800.0,10.748248046041732,80.0,1.0
25,6.0,200.0,85.0,3070.0,12.94267753617871,78.0,1.0
26,6.0,200.0,95.0,3155.0,12.687267570353193,78.0,1.0
27,4.0,140.0,88.0,2890.0,24.51267139059309,79.0,1.0
28,4.0,134.0,96.0,2702.0,12.462176824132868,75.0,3.0
29,4.0,101.0,83.0,2202.0,23.791666489643276,76.0,2.0
30,8.0,307.0,200.0,4376.0,17.911126528607923,70.0,1.0
31,8.0,305.0,145.0,3425.0,15.31099235381528,78.0,1.0
32,4.0,151.0,85.0,2855.0,24.51267139059309,78.0,1.0
33,6.0,155.0,107.0,2472.0,14.069076985086554,73.0,1.0
34,4.0,108.0,94.0,2379.0,9.259015914808607,73.0,3.0
35,4.0,135.0,84.0,2490.0,24.51267139059309,81.0,1.0
36,6.0,225.0,85.0,3465.0,8.219620897108957,81.0,1.0
37,4.0,116.0,81.0,2220.0,24.51267139059309,76.0,2.0
38,4.0,121.0,115.0,2671.0,24.587432597040838,75.0,2.0
39,8.0,400.0,167.0,4906.0,14.185532300226086,73.0,1.0
40,6.0,250.0,100.0,3781.0,15.356770257785309,74.0,1.0
41,6.0,171.0,97.0,2984.0,8.219620897108957,75.0,1.0
42,8.0,318.0,150.0,3777.0,13.66968703616315,73.0,1.0
43,4.0,97.0,60.0,1834.0,21.54665531377711,71.0,2.0
44,4.0,119.0,100.0,2615.0,10.891648423721904,81.0,3.0
45,4.0,79.0,67.0,1950.0,17.076634954182374,74.0,3.0
46,8.0,429.0,198.0,4341.0,14.593401740879605,70.0,1.0
47,8.0,350.0,165.0,4274.0,13.072179533793573,72.0,1.0
48,6.0,232.0,100.0,2634.0,12.242262077468824,71.0,1.0
49,8.0,350.0,145.0,4055.0,8.219620897108957,76.0,1.0
50,6.0,232.0,90.0,3265.0,11.541700763650647,79.0,1.0
51,4.0,134.0,95.0,2560.0,12.929444308568698,78.0,3.0
52,6.0,200.0,81.0,3012.0,24.099307827121564,76.0,1.0
53,8.0,302.0,139.0,3205.0,8.898738538045095,78.0,1.0
54,8.0,302.0,129.0,3169.0,8.219620897108957,75.0,1.0
55,8.0,318.0,150.0,4190.0,16.825744780778436,76.0,1.0
56,8.0,400.0,170.0,4668.0,15.204006255702755,75.0,1.0
57,6.0,232.0,100.0,2901.0,11.58486847891888,74.0,1.0
58,4.0,105.0,75.0,2230.0,14.378083880622565,78.0,1.0
59,4.0,151.0,88.0,2740.0,24.371374623688087,77.0,1.0
60,8.0,383.0,180.0,4955.0,15.259886914219686,71.0,1.0
61,8.0,304.0,150.0,3433.0,12.213478091338306,70.0,1.0
62,8.0,400.0,150.0,3761.0,8.219620897108957,70.0,1.0
63,6.0,250.0,105.0,3353.0,13.990272917938508,76.0,1.0
64,4.0,71.0,65.0,1836.0,18.04525150821334,74.0,3.0
65,4.0,97.0,88.0,2130.0,24.028972428087307,70.0,3.0
66,8.0,304.0,150.0,3892.0,16.484139332704085,72.0,1.0
67,4.0,84.99999999999999,70.0,1990.0,19.540437579123715,76.0,3.0
68,6.0,232.0,100.0,3288.0,19.246622243409192,71.0,1.0
69,6.0,250.0,72.0,3432.0,10.79891001558107,75.0,1.0
70,8.0,260.0,90.0,3420.0,24.51267139059309,79.0,1.0
71,4.0,140.0,89.0,2755.0,15.072525588392473,77.0,1.0
72,4.0,84.99999999999999,65.0,2110.0,18.612516847531634,80.0,3.0
73,8.0,304.0,193.0,4732.0,16.120974747948786,70.0,1.0
74,4.0,97.0,78.0,2190.0,15.026534363691749,77.0,2.0
75,8.0,318.0,150.0,4135.0,16.869036984540898,72.0,1.0
76,4.0,121.0,112.0,2933.0,11.198364514598605,72.0,2.0
77,8.0,318.0,150.0,4498.0,17.68677908812008,75.0,1.0
78,4.0,84.99999999999999,52.0,2035.0,20.36972584417812,76.0,1.0
79,4.0,122.0,96.0,2300.0,13.851080445856116,77.0,1.0
80,8.0,305.0,130.0,3840.0,14.61599638319539,79.0,1.0
81,4.0,116.0,75.0,2246.0,9.571155041086264,74.0,2.0
82,8.0,318.0,150.0,3755.0,8.219620897108957,76.0,1.0
83,4.0,151.0,90.0,2735.0,24.51267139059309,82.0,1.0
84,8.0,455.0,225.0,3086.0,8.219620897108957,70.0,1.0
85,4.0,108.0,70.0,2245.0,13.466637172451005,82.0,3.0
86,4.0,97.0,78.0,2188.0,18.86139313639781,80.0,2.0
87,5.0,131.0,103.0,2830.0,9.468577672206958,78.0,2.0
88,4.0,107.0,75.0,2205.0,19.111011897883042,82.0,3.0
