,Frequency,Angle_of_Attack,Chord_length,Free-stream_velocity(prediction),Suction_side_displacement_thickness
0,800.0,1.5,0.3048,56.40221498888885,0.00336729
1,8000.0,0.0,0.3048,63.898808415887274,0.00310138
2,6300.0,0.0,0.3048,62.554303863597895,0.00266337
3,4000.0,1.5,0.3048,64.10756589812809,0.00336729
4,2500.0,3.0,0.3048,42.56046307617558,0.00495741
5,2000.0,3.0,0.3048,67.76023329352896,0.00425727
6,800.0,0.0,0.2286,46.17826598813437,0.00229336
7,1000.0,2.0,0.2286,71.15853124028946,0.00293031
8,8000.0,3.0,0.3048,64.07981629742203,0.00452492
9,3150.0,0.0,0.2286,39.34399068996291,0.00229336
10,800.0,1.5,0.3048,41.538395773941396,0.00392107
11,500.0,0.0,0.3048,40.637782068565066,0.00310138
12,5000.0,2.0,0.2286,46.67581638455681,0.00293031
13,1250.0,1.5,0.3048,47.48890013227131,0.00336729
14,10000.0,0.0,0.3048,63.92100235527627,0.00310138
15,5000.0,3.0,0.3048,53.878398413829245,0.00425727
16,3150.0,0.0,0.3048,65.76699534510394,0.00266337
17,250.0,0.0,0.3048,55.34906628946145,0.00310138
18,1000.0,3.0,0.3048,56.71023188546693,0.00425727
19,1000.0,0.0,0.3048,31.834531890629332,0.00331266
20,5000.0,0.0,0.3048,57.12478603739681,0.00283081
21,500.0,4.0,0.3048,43.119936330650766,0.00579636
22,630.0,0.0,0.2286,51.70233635784663,0.00229336
23,1000.0,3.0,0.3048,40.346816965160016,0.00495741
24,3150.0,4.0,0.3048,62.51563648386478,0.00497773
25,630.0,0.0,0.3048,46.35864015083884,0.00283081
26,1250.0,4.0,0.3048,31.834531890629332,0.00579636
27,4000.0,0.0,0.2286,42.008954602587266,0.00253511
28,1000.0,0.0,0.2286,62.6965932201592,0.0027238
29,315.0,3.0,0.3048,31.834531890629332,0.00529514
30,1600.0,0.0,0.3048,67.14978229466065,0.00283081
31,6300.0,0.0,0.2286,31.834531890629332,0.0027238
32,1000.0,1.5,0.3048,45.24627848786617,0.00336729
33,16000.0,0.0,0.2286,59.272151253401034,0.00214345
34,8000.0,0.0,0.3048,64.56314699294478,0.00266337
35,6300.0,3.0,0.3048,52.3585493200992,0.00425727
36,3150.0,0.0,0.3048,31.834531890629332,0.00331266
37,2000.0,3.0,0.3048,51.812361148396626,0.00452492
38,5000.0,1.5,0.3048,31.834531890629332,0.00392107
