,Frequency(prediction),Angle_of_Attack,Chord_length,Free-stream_velocity,Suction_side_displacement_thickness
0,1349.793472082187,0.0,0.3048,31.7,0.0033126600000000003
1,936.3700992970546,12.3,0.1016,31.7,0.0418756
2,1871.8953511505867,4.0,0.3048,39.6,0.00579636
3,3422.028891170686,0.0,0.02540000000000002,31.7,0.0004394719999999998
4,3442.353629528175,0.0,0.0508,55.5,0.0007619299999999992
5,17690.09832994574,4.8,0.02540000000000002,39.6,0.0009074749999999996
6,947.2947808149995,15.4,0.0508,31.7,0.028985300000000002
7,322.40302887652933,7.3,0.2286,71.3,0.010440399999999999
8,1725.750491395897,7.2,0.1524,71.3,0.00752039
9,1836.9337617831388,5.4,0.1524,31.7,0.00525474
10,9164.862529887243,0.0,0.0508,31.7,0.0008121640000000006
11,7523.903660632336,3.0,0.3048,39.6,0.00495741
12,1236.0402464126928,12.7,0.02540000000000002,71.3,0.012180799999999999
13,2801.076511657367,9.5,0.02540000000000002,71.3,0.004206539999999999
14,1716.434883565489,7.3,0.2286,55.5,0.011170600000000001
15,11545.481481937335,12.3,0.1016,39.6,0.04082680000000001
16,1372.7103028131996,5.3,0.2286,39.6,0.00614329
17,926.2734636894572,7.2,0.1524,39.6,0.00909175
18,2027.2661873193624,2.0,0.2286,71.3,0.00293031
19,7356.824090698445,8.4,0.0508,55.5,0.00544854
20,5020.052685521348,0.0,0.1524,39.6,0.0019328699999999997
21,11360.631401611878,0.0,0.0508,71.3,0.0007404779999999993
22,5469.997138497656,9.9,0.1524,31.7,0.025278500000000002
23,3038.6636685108106,2.0,0.2286,71.3,0.00293031
24,1127.815689933247,15.4,0.0508,39.6,0.0282593
25,6858.606694833495,0.0,0.1016,39.6,0.0014633200000000006
26,6993.414458815867,4.2,0.0508,39.6,0.0015268899999999995
27,615.5991582590777,5.3,0.2286,39.6,0.00614329
28,11552.755020975823,12.3,0.1016,39.6,0.04082680000000001
29,200.0,15.6,0.1016,71.3,0.0437259
30,1188.7823973088787,17.4,0.02540000000000002,39.6,0.0172206
31,9677.664017960244,0.0,0.1524,71.3,0.001598800000000001
32,1934.6512874195193,7.2,0.1524,39.6,0.00909175
33,13023.081553660078,12.7,0.02540000000000002,39.6,0.013025299999999998
34,3695.2483945999547,4.0,0.3048,71.3,0.00497773
35,1367.8042477297752,8.9,0.1016,71.3,0.0103088
36,3086.5367747708397,0.0,0.0508,39.6,0.0007918219999999993
37,1596.895492468466,5.3,0.2286,71.3,0.0051942
38,17245.6661942315,17.4,0.02540000000000002,39.6,0.0172206
39,5528.017016854643,12.3,0.1016,31.7,0.0418756
40,2998.977176309264,4.0,0.2286,71.3,0.00400603
41,2282.5658311675143,4.8,0.02540000000000002,55.5,0.0008732180000000003
42,1574.5022751096715,9.9,0.1524,71.3,0.019300099999999997
43,20000.0,15.4,0.0508,31.7,0.028985300000000002
44,693.4746256906742,4.0,0.3048,39.6,0.00579636
45,4730.055919300469,4.8,0.02540000000000002,55.5,0.0008732180000000003
46,733.4840294784376,15.4,0.0508,55.5,0.0271925
47,16020.731276853094,15.4,0.0508,55.5,0.0271925
48,11216.713017056849,0.0,0.1016,71.3,0.0012107200000000002
49,6804.477941604186,4.8,0.02540000000000002,71.3,0.0008486329999999997
50,1492.0341012932959,0.0,0.1016,31.7,0.0015009199999999993
51,8252.775306321497,1.5,0.3048,71.3,0.00336729
52,5583.341836490199,4.8,0.02540000000000002,39.6,0.0009074749999999996
53,422.0848128953148,9.9,0.1524,31.7,0.025278500000000002
54,2403.1933240018334,1.5,0.3048,71.3,0.00336729
55,14156.7294254244,17.4,0.02540000000000002,31.7,0.017663099999999998
56,3419.6839825603106,0.0,0.2286,31.7,0.0027238
57,1503.4231629208896,2.7,0.1524,39.6,0.002948039999999999
58,4274.393086480034,0.0,0.3048,31.7,0.0033126600000000003
59,4745.760840721508,4.0,0.2286,71.3,0.00400603
60,562.3177711423359,1.5,0.3048,71.3,0.00336729
61,3443.5149450005765,0.0,0.0508,55.5,0.0007619299999999992
62,688.1785645336349,5.4,0.1524,31.7,0.00525474
63,1825.5687013994846,8.4,0.0508,71.3,0.00529514
64,4631.253585676117,2.0,0.2286,31.7,0.003723709999999999
65,1954.0905084598653,17.4,0.02540000000000002,31.7,0.017663099999999998
66,7179.370220825884,9.5,0.02540000000000002,71.3,0.004206539999999999
67,20000.0,19.7,0.0508,71.3,0.034118300000000004
68,5687.230719578568,0.0,0.1524,39.6,0.0019328699999999997
69,1121.4819093796712,0.0,0.2286,39.6,0.00253511
70,1177.5080817989356,0.0,0.1524,31.7,0.00209405
71,1436.6105801856527,0.0,0.0508,31.7,0.0008121640000000006
72,1414.744724505295,2.0,0.2286,39.6,0.00346574
73,9797.938402480699,15.4,0.0508,31.7,0.028985300000000002
74,6484.268155095451,0.0,0.0508,39.6,0.0007918219999999993
75,2245.264043625303,12.7,0.02540000000000002,71.3,0.012180799999999999
76,200.0,7.3,0.2286,39.6,0.0123481
77,1159.4815949326166,3.3,0.1016,39.6,0.0024513799999999995
78,7958.449175054601,0.0,0.02540000000000002,39.6,0.00042846399999999993
79,3619.6693574269852,0.0,0.02540000000000002,39.6,0.00042846399999999993
80,20000.0,15.4,0.0508,31.7,0.028985300000000002
81,5431.968030361557,17.4,0.02540000000000002,31.7,0.017663099999999998
82,5239.428190795985,0.0,0.3048,39.6,0.003101380000000001
83,20000.0,17.4,0.02540000000000002,55.5,0.016570599999999998
84,12732.95519940561,9.5,0.02540000000000002,31.7,0.0046137700000000005
85,465.99602843834873,15.6,0.1016,39.6,0.0528487
86,12660.706520856955,0.0,0.3048,31.7,0.0033126600000000003
87,2548.0412441338435,9.5,0.02540000000000002,39.6,0.00449821
88,4654.1730757161895,7.3,0.2286,71.3,0.010440399999999999
89,8498.42262071461,3.3,0.1016,55.5,0.0022109999999999994
