,Frequency(prediction),Angle_of_Attack,Chord_length,Free-stream_velocity,Suction_side_displacement_thickness
0,1108.2321070733765,1.5,0.3048,71.3,0.00336729
1,6794.514688734076,0.0,0.3048,39.6,0.00310138
2,5815.355794908051,0.0,0.3048,71.3,0.00266337
3,3980.545949768391,1.5,0.3048,71.3,0.00336729
4,2360.6706761751043,3.0,0.3048,39.6,0.00495741
5,1553.817701858469,3.0,0.3048,71.3,0.00425727
6,1217.0195048359642,0.0,0.2286,55.5,0.00229336
7,788.3106808750285,2.0,0.2286,71.3,0.00293031
8,7250.411233529536,3.0,0.3048,55.5,0.00452492
9,2587.5391907514427,0.0,0.2286,55.5,0.00229336
10,809.7830646106913,1.5,0.3048,39.6,0.00392107
11,888.7178234021285,0.0,0.3048,39.6,0.00310138
12,4207.395825812727,2.0,0.2286,71.3,0.00293031
13,1552.6664145725288,1.5,0.3048,71.3,0.00336729
14,9091.4876369518,0.0,0.3048,39.6,0.00310138
15,5436.930631404605,3.0,0.3048,71.3,0.00425727
16,2297.5261886757135,0.0,0.3048,71.3,0.00266337
17,4049.1442071864803,0.0,0.3048,39.6,0.00310138
18,778.4690877142489,3.0,0.3048,71.3,0.00425727
19,781.4064709597637,0.0,0.3048,31.7,0.00331266
20,4836.332293265824,0.0,0.3048,55.5,0.00283081
21,793.2804724534863,4.0,0.3048,39.6,0.00579636
22,2009.2577661949367,0.0,0.2286,55.5,0.00229336
23,863.1607506649962,3.0,0.3048,39.6,0.00495741
24,2995.4605776906355,4.0,0.3048,71.3,0.00497773
25,695.0483390256154,0.0,0.3048,55.5,0.00283081
26,1371.8685824172644,4.0,0.3048,39.6,0.00579636
27,2807.152173318442,0.0,0.2286,39.6,0.00253511
28,675.5353683383892,0.0,0.2286,31.7,0.0027238
29,1517.260383416763,3.0,0.3048,31.7,0.00529514
30,853.2425650273658,0.0,0.3048,55.5,0.00283081
31,6593.117160332689,0.0,0.2286,31.7,0.0027238
32,1481.7840915392378,1.5,0.3048,71.3,0.00336729
33,16026.427981317212,0.0,0.2286,71.3,0.00214345
34,18693.833407335154,0.0,0.3048,71.3,0.00266337
35,6865.840888139495,3.0,0.3048,71.3,0.00425727
36,3542.755530620884,0.0,0.3048,31.7,0.00331266
37,1951.5106121901517,3.0,0.3048,55.5,0.00452492
38,5308.423113525384,1.5,0.3048,39.6,0.00392107
