,Frequency(prediction),Angle_of_Attack,Chord_length,Free-stream_velocity,Suction_side_displacement_thickness
0,2133.1098565767043,2.0,0.2286,71.3,0.00293031
1,2428.653865457351,2.0,0.2286,71.3,0.00293031
2,2635.5346716738036,2.0,0.2286,71.3,0.00293031
3,2780.3512360253203,2.0,0.2286,71.3,0.00293031
4,2780.3512360253203,2.0,0.2286,71.3,0.00293031
5,2780.3512360253203,2.0,0.2286,71.3,0.00293031
6,2780.3512360253203,2.0,0.2286,71.3,0.00293031
7,2778.6514538554616,2.0,0.2286,71.3,0.00293031
8,2732.472333698571,2.0,0.2286,71.3,0.00293031
9,2732.472333698571,2.0,0.2286,71.3,0.00293031
10,2732.472333698571,2.0,0.2286,71.3,0.00293031
11,2732.472333698571,2.0,0.2286,71.3,0.00293031
12,2733.0847627965013,2.0,0.2286,71.3,0.00293031
13,2733.0847627965013,2.0,0.2286,71.3,0.00293031
14,2733.0847627965013,2.0,0.2286,71.3,0.00293031
15,2739.896279993185,2.0,0.2286,71.3,0.00293031
16,2734.9616900076785,2.0,0.2286,71.3,0.00293031
17,2734.9616900076785,2.0,0.2286,71.3,0.00293031
18,2734.9616900076785,2.0,0.2286,71.3,0.00293031
19,2734.9616900076785,2.0,0.2286,71.3,0.00293031
20,2734.9616900076785,2.0,0.2286,71.3,0.00293031
21,2737.0032655436844,2.0,0.2286,71.3,0.00293031
22,2737.0032655436844,2.0,0.2286,71.3,0.00293031
23,2737.0032655436844,2.0,0.2286,71.3,0.00293031
24,2737.0032655436844,2.0,0.2286,71.3,0.00293031
25,2737.0032655436844,2.0,0.2286,71.3,0.00293031
26,2737.0032655436844,2.0,0.2286,71.3,0.00293031
27,2737.0032655436844,2.0,0.2286,71.3,0.00293031
28,2737.0032655436844,2.0,0.2286,71.3,0.00293031
29,2737.0032655436844,2.0,0.2286,71.3,0.00293031
30,2736.9858443666953,2.0,0.2286,71.3,0.00293031
31,2736.9858443666953,2.0,0.2286,71.3,0.00293031
32,2736.9858443666953,2.0,0.2286,71.3,0.00293031
33,2736.9858443666953,2.0,0.2286,71.3,0.00293031
34,2736.9858443666953,2.0,0.2286,71.3,0.00293031
35,2736.836078056038,2.0,0.2286,71.3,0.00293031
36,2736.836078056038,2.0,0.2286,71.3,0.00293031
37,2736.836078056038,2.0,0.2286,71.3,0.00293031
38,2736.787585423201,2.0,0.2286,71.3,0.00293031
39,2736.787585423201,2.0,0.2286,71.3,0.00293031
40,2736.787585423201,2.0,0.2286,71.3,0.00293031
41,2736.787585423201,2.0,0.2286,71.3,0.00293031
42,2736.787585423201,2.0,0.2286,71.3,0.00293031
43,2736.787585423201,2.0,0.2286,71.3,0.00293031
44,2736.787585423201,2.0,0.2286,71.3,0.00293031
45,2736.787585423201,2.0,0.2286,71.3,0.00293031
46,2736.787585423201,2.0,0.2286,71.3,0.00293031
47,2736.787585423201,2.0,0.2286,71.3,0.00293031
