,Frequency(prediction),Angle_of_Attack,Chord_length,Free-stream_velocity,Suction_side_displacement_thickness
0,1710.904129604352,2.0,0.2286,71.3,0.00293031
1,1710.904129604352,2.0,0.2286,71.3,0.00293031
2,1710.904129604352,2.0,0.2286,71.3,0.00293031
3,1710.904129604352,2.0,0.2286,71.3,0.00293031
4,1710.904129604352,2.0,0.2286,71.3,0.00293031
5,1520.190361584997,2.0,0.2286,71.3,0.00293031
6,1373.2141294846456,2.0,0.2286,71.3,0.00293031
7,1270.3307670144,2.0,0.2286,71.3,0.00293031
8,1198.3124132852276,2.0,0.2286,71.3,0.00293031
9,1147.8995656748075,2.0,0.2286,71.3,0.00293031
10,1112.610572347513,2.0,0.2286,71.3,0.00293031
11,1087.9082770184073,2.0,0.2286,71.3,0.00293031
12,1070.6166702880328,2.0,0.2286,71.3,0.00293031
13,1058.5125455767707,2.0,0.2286,71.3,0.00293031
14,1050.0396582788876,2.0,0.2286,71.3,0.00293031
15,1044.108637170369,2.0,0.2286,71.3,0.00293031
16,1039.9569223944063,2.0,0.2286,71.3,0.00293031
17,1037.0507220512322,2.0,0.2286,71.3,0.00293031
18,1035.0163818110104,2.0,0.2286,71.3,0.00293031
19,1033.5923436428552,2.0,0.2286,71.3,0.00293031
20,1032.5955169251465,2.0,0.2286,71.3,0.00293031
21,1031.89773822275,2.0,0.2286,71.3,0.00293031
22,1031.409293131073,2.0,0.2286,71.3,0.00293031
23,1031.0673815668988,2.0,0.2286,71.3,0.00293031
24,1030.8280434719768,2.0,0.2286,71.3,0.00293031
25,1030.6605068055314,2.0,0.2286,71.3,0.00293031
26,1030.5432311390196,2.0,0.2286,71.3,0.00293031
27,1030.4611381724617,2.0,0.2286,71.3,0.00293031
28,1030.403673095871,2.0,0.2286,71.3,0.00293031
29,1030.3634475422573,2.0,0.2286,71.3,0.00293031
30,1030.3352896547276,2.0,0.2286,71.3,0.00293031
31,1030.315579133457,2.0,0.2286,71.3,0.00293031
32,1030.3017817685682,2.0,0.2286,71.3,0.00293031
33,1030.2921236131451,2.0,0.2286,71.3,0.00293031
34,1030.2853629043498,2.0,0.2286,71.3,0.00293031
35,1030.2853629043498,2.0,0.2286,71.3,0.00293031
36,1030.2853629043498,2.0,0.2286,71.3,0.00293031
37,1030.2853629043498,2.0,0.2286,71.3,0.00293031
38,1030.2853629043498,2.0,0.2286,71.3,0.00293031
39,1030.2853629043498,2.0,0.2286,71.3,0.00293031
40,1030.2853629043498,2.0,0.2286,71.3,0.00293031
41,1030.2853629043498,2.0,0.2286,71.3,0.00293031
42,1030.2853629043498,2.0,0.2286,71.3,0.00293031
43,1030.2853629043498,2.0,0.2286,71.3,0.00293031
44,1030.2853629043498,2.0,0.2286,71.3,0.00293031
45,1030.2853629043498,2.0,0.2286,71.3,0.00293031
46,1030.2853629043498,2.0,0.2286,71.3,0.00293031
47,1030.2853629043498,2.0,0.2286,71.3,0.00293031
48,1030.2853629043498,2.0,0.2286,71.3,0.00293031
49,1030.2853629043498,2.0,0.2286,71.3,0.00293031
50,1030.2853629043498,2.0,0.2286,71.3,0.00293031
51,938.3825891278134,2.0,0.2286,71.3,0.00293031
52,738.4498468868287,2.0,0.2286,71.3,0.00293031
53,738.4498468868287,2.0,0.2286,71.3,0.00293031
54,775.393802077434,2.0,0.2286,71.3,0.00293031
55,775.393802077434,2.0,0.2286,71.3,0.00293031
56,775.393802077434,2.0,0.2286,71.3,0.00293031
57,775.393802077434,2.0,0.2286,71.3,0.00293031
58,779.3975974104465,2.0,0.2286,71.3,0.00293031
59,779.3975974104465,2.0,0.2286,71.3,0.00293031
60,779.3975974104465,2.0,0.2286,71.3,0.00293031
61,779.3975974104465,2.0,0.2286,71.3,0.00293031
62,784.8597753980516,2.0,0.2286,71.3,0.00293031
63,784.8597753980516,2.0,0.2286,71.3,0.00293031
64,784.8597753980516,2.0,0.2286,71.3,0.00293031
65,784.8597753980516,2.0,0.2286,71.3,0.00293031
66,785.2306942975451,2.0,0.2286,71.3,0.00293031
67,785.2306942975451,2.0,0.2286,71.3,0.00293031
68,785.2306942975451,2.0,0.2286,71.3,0.00293031
69,789.9682250150236,2.0,0.2286,71.3,0.00293031
70,786.8601513321064,2.0,0.2286,71.3,0.00293031
71,786.8601513321064,2.0,0.2286,71.3,0.00293031
72,786.8601513321064,2.0,0.2286,71.3,0.00293031
73,786.8601513321064,2.0,0.2286,71.3,0.00293031
74,788.8292113717612,2.0,0.2286,71.3,0.00293031
75,787.9505971255076,2.0,0.2286,71.3,0.00293031
76,787.9505971255076,2.0,0.2286,71.3,0.00293031
77,787.9505971255076,2.0,0.2286,71.3,0.00293031
78,788.4943179147322,2.0,0.2286,71.3,0.00293031
79,788.4943179147322,2.0,0.2286,71.3,0.00293031
80,788.4943179147322,2.0,0.2286,71.3,0.00293031
81,788.157710535716,2.0,0.2286,71.3,0.00293031
82,788.342006958967,2.0,0.2286,71.3,0.00293031
83,788.342006958967,2.0,0.2286,71.3,0.00293031
84,788.342006958967,2.0,0.2286,71.3,0.00293031
85,788.342006958967,2.0,0.2286,71.3,0.00293031
86,788.3366472817575,2.0,0.2286,71.3,0.00293031
87,788.3366472817575,2.0,0.2286,71.3,0.00293031
88,788.3366472817575,2.0,0.2286,71.3,0.00293031
89,788.2994212730696,2.0,0.2286,71.3,0.00293031
90,788.3133598849522,2.0,0.2286,71.3,0.00293031
91,788.3133598849522,2.0,0.2286,71.3,0.00293031
92,788.3133598849522,2.0,0.2286,71.3,0.00293031
93,788.3133598849522,2.0,0.2286,71.3,0.00293031
94,788.3133598849522,2.0,0.2286,71.3,0.00293031
95,788.3133598849522,2.0,0.2286,71.3,0.00293031
96,788.3133598849522,2.0,0.2286,71.3,0.00293031
97,788.3133598849522,2.0,0.2286,71.3,0.00293031
98,788.3133598849522,2.0,0.2286,71.3,0.00293031
99,788.3133598849522,2.0,0.2286,71.3,0.00293031
100,788.3133598849522,2.0,0.2286,71.3,0.00293031
101,788.3133598849522,2.0,0.2286,71.3,0.00293031
102,788.3133598849522,2.0,0.2286,71.3,0.00293031
103,788.3133598849522,2.0,0.2286,71.3,0.00293031
104,788.3133598849522,2.0,0.2286,71.3,0.00293031
105,788.3133598849522,2.0,0.2286,71.3,0.00293031
106,788.3133598849522,2.0,0.2286,71.3,0.00293031
107,788.3133598849522,2.0,0.2286,71.3,0.00293031
108,788.3133598849522,2.0,0.2286,71.3,0.00293031
109,788.3133598849522,2.0,0.2286,71.3,0.00293031
110,788.3133598849522,2.0,0.2286,71.3,0.00293031
111,788.3133598849522,2.0,0.2286,71.3,0.00293031
112,788.3133598849522,2.0,0.2286,71.3,0.00293031
113,788.3133598849522,2.0,0.2286,71.3,0.00293031
114,788.3133598849522,2.0,0.2286,71.3,0.00293031
115,788.3133598849522,2.0,0.2286,71.3,0.00293031
116,788.3133598849522,2.0,0.2286,71.3,0.00293031
117,788.3133598849522,2.0,0.2286,71.3,0.00293031
118,788.3133598849522,2.0,0.2286,71.3,0.00293031
119,788.3133598849522,2.0,0.2286,71.3,0.00293031
120,788.3133598849522,2.0,0.2286,71.3,0.00293031
121,788.3133598849522,2.0,0.2286,71.3,0.00293031
122,788.3133598849522,2.0,0.2286,71.3,0.00293031
123,788.3133598849522,2.0,0.2286,71.3,0.00293031
