,Frequency,Angle_of_Attack(prediction),Chord_length,Free-stream_velocity,Suction_side_displacement_thickness
0,4000.0,0.0,0.0508,71.3,0.0014278799999999994
1,999.9999999999998,2.7065884949922054,0.1016,71.3,0.0020282200000000007
2,200.0,8.408802208563158,0.2286,31.7,0.0132672
3,2500.0,2.610641207600799,0.2286,71.3,0.00293031
4,4000.0,5.941581242878848,0.02540000000000002,71.3,0.0008486329999999997
5,2000.0,1.201189450519716,0.1524,39.6,0.002948039999999999
6,500.0,2.43434810281153,0.2286,39.6,0.00614329
7,2000.0,9.70168136487835,0.0508,55.5,0.0271925
8,800.0,13.852388957933922,0.0508,71.3,0.0264269
9,2000.0,11.399087421903081,0.02540000000000002,71.3,0.004206539999999999
10,3150.0,0.27575780313431864,0.1524,71.3,0.001598800000000001
11,800.0,3.261117270940349,0.02540000000000002,31.7,0.017663099999999998
12,3150.0,10.767089439686984,0.0508,39.6,0.0282593
13,2000.0,10.001097678030966,0.1016,39.6,0.00578076
14,800.0,6.748553257999332,0.1524,71.3,0.00752039
15,6300.0,6.243691357577777,0.2286,39.6,0.0123481
16,2000.0,5.662882432784621,0.1524,31.7,0.00525474
17,20000.0,9.168293920058602,0.02540000000000002,55.5,0.0004122899999999992
18,3150.0,12.887945020144592,0.0508,39.6,0.015047799999999998
19,800.0,10.897399789014639,0.2286,31.7,0.0132672
20,500.0,12.319320055538586,0.0508,39.6,0.036483999999999996
21,16000.0,22.2,0.02540000000000002,31.7,0.0004394719999999998
22,1250.0,5.804722741686129,0.2286,71.3,0.00214345
23,315.0,12.158602531199183,0.1016,39.6,0.0528487
24,500.0,11.230906101315712,0.0508,71.3,0.014072
25,3150.0,10.326491158206561,0.0508,71.3,0.0264269
26,16000.0,22.2,0.02540000000000002,55.5,0.0008732180000000003
27,999.9999999999998,12.340816724202345,0.2286,71.3,0.010440399999999999
28,5000.0,4.2071524475639,0.2286,39.6,0.00614329
29,500.0,0.7177588589131236,0.3048,39.6,0.00579636
30,250.0,12.849628757218404,0.1016,71.3,0.033779199999999995
31,200.0,16.014438369774766,0.0508,71.3,0.0264269
32,1250.0,12.954052739631045,0.0508,71.3,0.0264269
33,630.0,4.277703439264462,0.1016,55.5,0.0022109999999999994
34,1600.0,3.480933855520169,0.1016,71.3,0.0012107200000000002
35,3150.0,1.4001956346417206,0.1016,39.6,0.0024513799999999995
36,250.0,10.035136252330853,0.1524,71.3,0.019300099999999997
37,1600.0,4.625987749870925,0.2286,55.5,0.003135249999999999
38,1600.0,9.933283448362989,0.1524,31.7,0.025278500000000002
39,1600.0,3.7407891126763424,0.1524,55.5,0.00433288
40,999.9999999999998,0.0,0.1524,31.7,0.00209405
41,4000.0,5.018617594151399,0.2286,39.6,0.00614329
42,1600.0,17.278434357693385,0.02540000000000002,39.6,0.0009074749999999996
43,10000.0,0.0,0.02540000000000002,55.5,0.0004122899999999992
44,4000.0,0.6935862139700433,0.3048,39.6,0.003101380000000001
45,1250.0,5.340709432719526,0.3048,71.3,0.00266337
46,5000.0,1.0590369792018146,0.3048,31.7,0.0033126600000000003
47,5000.0,10.007616968047799,0.1524,71.3,0.019300099999999997
48,1600.0,5.947296272997255,0.2286,39.6,0.00614329
49,2500.0,11.44514558987693,0.1016,55.5,0.0368233
50,250.0,18.662134978927195,0.0508,39.6,0.0282593
51,5000.0,0.0,0.02540000000000002,31.7,0.0004394719999999998
52,3150.0,1.9758216996478097,0.3048,39.6,0.00579636
53,1600.0,8.3148106676093,0.0508,39.6,0.0015268899999999995
54,500.0,7.073580009042657,0.1524,39.6,0.00909175
55,400.0,0.0,0.2286,39.6,0.00253511
56,630.0,17.406782805346538,0.02540000000000002,71.3,0.016104
57,800.0,9.654931628896994,0.1524,39.6,0.0233328
58,2500.0,1.2252539835852652,0.0508,71.3,0.00529514
59,315.0,15.410074251817438,0.0508,71.3,0.0264269
60,1600.0,0.7510662376499084,0.3048,55.5,0.0028308099999999996
61,5000.0,10.728328112244622,0.1016,71.3,0.033779199999999995
62,5000.0,6.622666182583951,0.2286,39.6,0.0123481
63,315.0,2.5617951631021167,0.3048,71.3,0.00497773
64,500.0,6.542795267369237,0.2286,71.3,0.00400603
65,4000.0,18.20486264594821,0.0508,39.6,0.036483999999999996
66,2500.0,7.806839538144883,0.0508,71.3,0.0014278799999999994
67,3150.0,12.264252994921051,0.1016,71.3,0.0437259
68,3150.0,4.391709423299304,0.2286,39.6,0.00614329
69,1250.0,9.580673974521922,0.1016,39.6,0.04082680000000001
70,3150.0,2.340720277906221,0.02540000000000002,71.3,0.00040068199999999943
71,500.0,5.856284360357747,0.1016,55.5,0.0368233
72,800.0,4.561809591239319,0.1524,55.5,0.0017266799999999995
73,500.0,9.440820349467607,0.1524,31.7,0.025278500000000002
74,800.0,22.2,0.0508,71.3,0.034118300000000004
75,500.0,7.074379994362574,0.2286,55.5,0.011170600000000001
76,800.0,1.5637677084722945,0.2286,55.5,0.0022933599999999995
77,999.9999999999998,13.208925048172993,0.0508,71.3,0.0264269
78,3150.0,6.419551109154313,0.1524,39.6,0.00485029
79,800.0,0.0,0.2286,31.7,0.0027238
80,3150.0,8.517997500351933,0.02540000000000002,55.5,0.0008732180000000003
81,1250.0,10.318699040590346,0.0508,39.6,0.00566229
82,1600.0,7.836979648028288,0.1016,39.6,0.00578076
83,2000.0,3.4607055341854953,0.3048,55.5,0.00452492
84,500.0,9.043306398537581,0.1524,71.3,0.004011990000000001
85,10000.0,0.0,0.02540000000000002,39.6,0.00042846399999999993
86,1250.0,5.812455578953422,0.3048,71.3,0.00425727
87,6300.0,0.3150865136836316,0.1016,55.5,0.0013198299999999993
88,2500.0,7.807933713341264,0.1524,71.3,0.00752039
89,4000.0,9.774843749527026,0.1524,39.6,0.0233328
90,2500.0,6.860393975144615,0.2286,55.5,0.011170600000000001
91,630.0,19.354983172041877,0.0508,39.6,0.036483999999999996
92,1600.0,10.36708057380985,0.1016,39.6,0.012459600000000001
93,8000.0,17.706645367168086,0.02540000000000002,71.3,0.012180799999999999
94,4000.0,1.2602934402252393,0.1016,31.7,0.0015009199999999993
95,1250.0,22.135778838895376,0.1524,31.7,0.025278500000000002
96,999.9999999999998,9.640706147536083,0.02540000000000002,31.7,0.0009307889999999996
97,800.0,6.276006624075101,0.1524,39.6,0.00909175
98,999.9999999999998,17.776761001098357,0.0508,39.6,0.036483999999999996
99,4000.0,2.564380216285559,0.2286,55.5,0.003135249999999999
100,2500.0,1.5766848898506733,0.3048,31.7,0.00529514
101,630.0,4.838796607108943,0.1016,39.6,0.00578076
102,6300.0,10.658087521204063,0.1524,55.5,0.0208438
103,2500.0,7.05135047864099,0.2286,31.7,0.0132672
104,500.0,1.2485443645714982,0.3048,31.7,0.00529514
105,2000.0,8.477114637734118,0.1524,31.7,0.025278500000000002
106,2500.0,0.0,0.1016,31.7,0.0025143500000000003
107,6300.0,3.16224350126071,0.2286,55.5,0.004286199999999999
108,3150.0,8.332692322925977,0.1016,39.6,0.012459600000000001
109,630.0,0.0,0.3048,39.6,0.00579636
110,3150.0,12.091145699561546,0.1524,39.6,0.00909175
111,6300.0,7.666634566865138,0.1524,71.3,0.004011990000000001
112,500.0,16.31526318356085,0.0508,39.6,0.0282593
113,500.0,6.118591121352713,0.02540000000000002,31.7,0.0046137700000000005
114,1250.0,9.107278861343035,0.2286,55.5,0.011170600000000001
115,8000.0,0.020830793015226945,0.1524,39.6,0.0019328699999999997
116,5000.0,2.1889071323009013,0.1524,71.3,0.001598800000000001
117,500.0,10.002160568784378,0.0508,39.6,0.015047799999999998
118,12500.0,3.242365935448835,0.1524,71.3,0.0024385099999999996
119,1600.0,12.461507609634044,0.1524,55.5,0.0208438
120,3150.0,6.139224766681441,0.1524,31.7,0.00525474
121,6300.0,1.6979937531546812,0.2286,71.3,0.00214345
122,1250.0,8.729947319939303,0.1524,71.3,0.00752039
123,1250.0,6.428107903509745,0.2286,71.3,0.00293031
124,1250.0,13.480135183819629,0.1524,39.6,0.058411300000000006
125,1600.0,3.0058979048982106,0.3048,39.6,0.00579636
126,400.0,10.69537585471679,0.1524,39.6,0.0233328
127,315.0,3.836285900638256,0.3048,31.7,0.00529514
128,2500.0,11.3344081666147,0.0508,31.7,0.028985300000000002
129,1600.0,0.0,0.1524,39.6,0.0019328699999999997
130,630.0,18.591772464514392,0.02540000000000002,55.5,0.016570599999999998
131,4000.0,9.721073295402416,0.1524,31.7,0.025278500000000002
132,1600.0,0.6183031108375383,0.2286,39.6,0.00253511
133,1250.0,11.012146322901485,0.02540000000000002,31.7,0.0046137700000000005
134,3150.0,5.370851890381287,0.02540000000000002,39.6,0.0009074749999999996
135,4000.0,21.154355033846915,0.0508,71.3,0.034118300000000004
136,5000.0,0.0,0.0508,71.3,0.0007404779999999993
137,6300.0,4.320183767548778,0.1524,39.6,0.00485029
138,8000.0,0.967092480667139,0.3048,39.6,0.0039210700000000005
139,2500.0,8.3759873939242,0.0508,39.6,0.00566229
140,250.0,11.171101795989998,0.1524,71.3,0.0483159
141,5000.0,0.0,0.02540000000000002,39.6,0.0009074749999999996
142,630.0,1.9458409865942388,0.1524,31.7,0.00209405
143,999.9999999999998,1.6335622221586403,0.3048,55.5,0.0028308099999999996
144,630.0,10.814494570068087,0.0508,55.5,0.00544854
145,999.9999999999998,9.854150860655189,0.1016,39.6,0.04082680000000001
146,500.0,7.196977599623571,0.2286,39.6,0.0123481
147,8000.0,5.202666602001932,0.1524,55.5,0.00433288
148,5000.0,3.566422888516527,0.02540000000000002,71.3,0.0008486329999999997
149,8000.0,7.915376195353586,0.1524,71.3,0.00752039
150,630.0,13.224913361160198,0.1524,71.3,0.019300099999999997
151,2500.0,6.0956636078903115,0.0508,55.5,0.00544854
152,2000.0,6.477043547802244,0.1524,71.3,0.00752039
153,315.0,8.70595472467849,0.1016,31.7,0.00592927
154,5000.0,9.908919883925488,0.02540000000000002,71.3,0.012180799999999999
155,12500.0,0.3060223985825239,0.1524,71.3,0.001598800000000001
156,2500.0,9.847431519146333,0.02540000000000002,39.6,0.013025299999999998
157,1250.0,1.00985470060402,0.3048,31.7,0.0033126600000000003
158,1250.0,0.0,0.2286,39.6,0.00253511
159,400.0,4.848493026470356,0.2286,31.7,0.00509068
160,400.0,10.591648276782372,0.1524,55.5,0.0208438
161,999.9999999999998,3.25153619845491,0.0508,71.3,0.0007404779999999993
162,999.9999999999998,1.4771983979182846,0.2286,55.5,0.004286199999999999
163,3150.0,13.069790327874717,0.02540000000000002,39.6,0.0172206
164,2500.0,2.0735661515581043,0.3048,39.6,0.00495741
165,2500.0,10.456123070746418,0.02540000000000002,71.3,0.00040068199999999943
166,8000.0,3.58524427386741,0.2286,71.3,0.00293031
167,200.0,15.376514553616154,0.0508,39.6,0.036483999999999996
168,4000.0,2.8321350038112394,0.2286,71.3,0.00293031
169,500.0,5.424667331327746,0.1524,39.6,0.00485029
170,3150.0,0.9136225339898054,0.3048,31.7,0.0033126600000000003
171,630.0,15.010642782351802,0.0508,71.3,0.0264269
172,2500.0,5.725965388810521,0.02540000000000002,31.7,0.0004394719999999998
173,500.0,4.888507565702829,0.2286,39.6,0.00473801
174,2000.0,10.535840298658936,0.0508,39.6,0.0282593
175,800.0,0.024300593076362453,0.1016,31.7,0.0025143500000000003
176,4000.0,0.0,0.0508,31.7,0.0008121640000000006
177,315.0,6.905436967355955,0.2286,31.7,0.0132672
178,1600.0,2.54709338591383,0.3048,31.7,0.00529514
179,10000.0,0.0,0.3048,55.5,0.0028308099999999996
180,315.0,11.772288928706548,0.1524,71.3,0.0483159
181,250.0,9.09049911902633,0.1016,55.5,0.0368233
182,4000.0,1.179795801535219,0.1016,39.6,0.0014633200000000006
183,400.0,8.365506541703155,0.02540000000000002,39.6,0.00449821
184,2500.0,7.569952322257676,0.02540000000000002,55.5,0.004328399999999999
185,500.0,4.0666047010626185,0.1016,71.3,0.033779199999999995
186,999.9999999999998,10.630022948368353,0.02540000000000002,55.5,0.004328399999999999
187,3150.0,14.087542339119235,0.02540000000000002,71.3,0.016104
188,1250.0,6.362200888308933,0.3048,71.3,0.00336729
189,10000.0,3.842469938958054,0.3048,71.3,0.00425727
190,2000.0,0.0,0.3048,55.5,0.0028308099999999996
191,4000.0,3.3480832815594543,0.1016,71.3,0.0020282200000000007
192,1600.0,19.956917027012825,0.02540000000000002,55.5,0.016570599999999998
193,5000.0,7.251903989492891,0.2286,71.3,0.010440399999999999
194,999.9999999999998,1.0441883437470532,0.1016,39.6,0.00578076
195,999.9999999999998,10.243385212191843,0.1524,39.6,0.0233328
196,4000.0,11.514035306961802,0.0508,71.3,0.0264269
197,1600.0,7.149681746991317,0.2286,39.6,0.0123481
198,4000.0,10.804639395734407,0.1524,71.3,0.019300099999999997
199,800.0,7.557742946924976,0.02540000000000002,71.3,0.004206539999999999
200,10000.0,0.0,0.3048,39.6,0.003101380000000001
201,10000.0,2.3907839791327747,0.0508,31.7,0.0008121640000000006
202,12500.0,0.0,0.3048,39.6,0.003101380000000001
203,999.9999999999998,0.11188424916513906,0.1016,31.7,0.0025143500000000003
204,400.0,6.260215438320449,0.1016,39.6,0.012459600000000001
205,999.9999999999998,7.4665199722748055,0.1524,71.3,0.001598800000000001
206,1600.0,14.17631663695807,0.1524,71.3,0.019300099999999997
207,4000.0,10.836736768676053,0.1524,55.5,0.0208438
208,400.0,22.2,0.02540000000000002,39.6,0.0172206
209,630.0,5.722033018659331,0.1016,31.7,0.00592927
210,1600.0,5.983894265506773,0.1524,71.3,0.0024385099999999996
211,999.9999999999998,5.2532142022312325,0.1524,39.6,0.00485029
212,1250.0,6.8850400562912455,0.1016,31.7,0.00592927
213,6300.0,19.492555764164294,0.02540000000000002,71.3,0.016104
214,2500.0,8.935334291191928,0.1524,31.7,0.025278500000000002
215,250.0,0.3793254511433046,0.3048,39.6,0.003101380000000001
216,315.0,11.564731460230409,0.0508,39.6,0.036483999999999996
217,8000.0,0.0,0.02540000000000002,55.5,0.0004122899999999992
218,1250.0,0.4921556400471614,0.1016,39.6,0.0024513799999999995
219,315.0,10.885133581288533,0.1524,39.6,0.0233328
220,630.0,4.2988724188603715,0.1016,39.6,0.0024513799999999995
221,800.0,0.0,0.3048,39.6,0.0039210700000000005
222,2000.0,0.0,0.1524,55.5,0.0017266799999999995
223,3150.0,2.19423670580902,0.2286,71.3,0.00293031
224,800.0,8.040640900317653,0.0508,71.3,0.014072
225,630.0,0.0,0.2286,31.7,0.003723709999999999
226,315.0,5.635599217689487,0.2286,39.6,0.00346574
227,999.9999999999998,19.53629646671954,0.02540000000000002,71.3,0.016104
228,2500.0,10.3716172115125,0.1016,71.3,0.033779199999999995
229,2500.0,3.78522113255782,0.1524,71.3,0.001598800000000001
230,2000.0,0.7358105013129705,0.0508,39.6,0.0015268899999999995
231,800.0,8.011506633670649,0.02540000000000002,31.7,0.0046137700000000005
232,500.0,6.040177446781796,0.1524,55.5,0.0017266799999999995
233,800.0,12.501604550766576,0.1524,71.3,0.0483159
234,630.0,8.188688721783528,0.2286,71.3,0.010440399999999999
235,3150.0,3.4938700273109196,0.2286,55.5,0.004286199999999999
236,3150.0,8.97459197162414,0.02540000000000002,31.7,0.0046137700000000005
237,3150.0,0.0,0.0508,71.3,0.0007404779999999993
238,1600.0,20.763694966024325,0.02540000000000002,39.6,0.0172206
239,1600.0,7.438621692660248,0.2286,31.7,0.0132672
240,4000.0,22.2,0.1524,39.6,0.058411300000000006
241,12500.0,0.0,0.3048,71.3,0.00266337
242,5000.0,2.256839958927208,0.3048,31.7,0.00529514
243,800.0,7.528108960024328,0.1524,71.3,0.004011990000000001
244,500.0,2.9401357861964033,0.2286,31.7,0.00509068
245,999.9999999999998,0.740383005638459,0.1016,39.6,0.0014633200000000006
246,1600.0,17.79107353631207,0.02540000000000002,39.6,0.022902799999999997
247,6300.0,1.6953559342669555,0.1524,55.5,0.0017266799999999995
248,8000.0,4.2683816032634265,0.2286,71.3,0.0051942
249,2500.0,3.4753844842351853,0.2286,31.7,0.00509068
250,4000.0,0.9599062976919894,0.02540000000000002,39.6,0.00042846399999999993
251,8000.0,1.7014324371974343,0.0508,71.3,0.0007404779999999993
252,800.0,4.246929001406716,0.1016,55.5,0.0022109999999999994
253,630.0,0.34761770673959713,0.3048,31.7,0.00529514
254,630.0,0.0,0.1016,39.6,0.0014633200000000006
255,3150.0,1.3634129536034543,0.2286,55.5,0.0022933599999999995
256,800.0,2.5969400653827055,0.3048,71.3,0.00266337
