,Symboling,Losses,Fuel_type,Aspiration,Number_of_doors,Drive_wheels,Wheel_base,Length,Width,Height,Curb-Weight,Engine_type,Num_of_Cylinders,Engine_size,Fuel_system,Bore,Stroke,Compression_ratio,Horse_power(Prediction),Peak_rpm,City_mpg,Highway_mpg
0,2.9999999999999996,145.0,1.0,1.0,1.0,1.0,95.9,173.2,66.3,50.2,2811.0,3.0,2.0,156.0,4.0,3.664867697796143,3.9,7.0,145.0,5000.0,19.0,23.999999999999996
1,0.0,77.0,1.0,0.0,0.0,1.0,95.7,169.7,63.6,59.1,2280.0,3.0,2.0,92.0,1.0,2.642595044243469,3.03,9.0,62.00000000000001,4800.0,31.0,37.0
2,1.0000000000000002,101.0,1.0,0.0,1.0,1.0,93.7,150.0,64.0,52.599999999999994,1940.0,3.0,2.0,92.0,0.0,2.7126465909244675,3.41,9.2,76.0,6000.0,30.0,34.0
3,2.9999999999999996,153.0,1.0,1.0,1.0,1.0,96.3,173.0,65.4,49.4,2370.0,3.0,2.0,110.0,6.0,2.62177677964488,3.46,7.5,116.0,5500.000000000001,23.0,30.0
4,1.0000000000000002,101.0,1.0,0.0,1.0,1.0,93.7,150.0,64.0,52.599999999999994,1956.0,3.0,2.0,92.0,0.0,2.801168978606061,3.41,9.2,76.0,6000.0,30.0,34.0
5,2.0,134.0,1.0,0.0,1.0,2.0,98.4,176.2,65.6,52.0,2551.0,3.0,2.0,146.0,5.0,3.791575586897512,3.5,9.3,116.0,4800.0,24.0,30.0
6,1.0000000000000002,122.0,1.0,0.0,1.0,2.0,112.0,199.2,72.0,55.4,3715.0,5.0,0.0,304.0,5.0,3.8481722400409937,3.35,8.0,184.0,4500.0,14.0,16.0
7,1.0000000000000002,106.99999999999999,1.0,0.0,1.0,1.0,96.5,169.1,66.0,51.0,2293.0,3.0,2.0,110.0,1.0,3.889477468169313,3.58,9.1,100.0,5500.000000000001,25.0,31.0
8,0.0,161.00000000000003,1.0,0.0,0.0,2.0,107.9,186.7,68.4,56.699999999999996,3020.0,2.0,2.0,120.0,5.0,3.7786388519842076,3.19,8.4,97.0,5000.0,19.0,23.999999999999996
9,0.0,145.0,1.0,0.0,0.0,2.0,113.0,199.6,69.6,52.8,4066.0,0.0,3.0,258.0,5.0,3.7798743842562557,4.17,8.1,176.0,4750.0,15.0,19.0
10,0.0,192.00000000000003,1.0,0.0,0.0,2.0,101.2,176.8,64.8,54.3,2395.0,3.0,2.0,108.0,5.0,3.867215814802432,2.8,8.8,101.0,5800.0,23.0,29.0
11,2.9999999999999996,150.0,1.0,0.0,1.0,2.0,95.3,169.0,65.7,49.599999999999994,2385.0,6.0,6.0,70.0,2.0,2.6348874762030468,3.255422885572139,9.4,101.0,6000.0,17.0,23.0
12,-1.0,95.0,1.0,0.0,0.0,2.0,109.1,188.8,68.9,55.5,3012.0,5.0,3.0,173.0,5.0,3.9133775217940636,2.87,8.8,134.0,5500.000000000001,18.0,23.0
13,1.0000000000000002,117.99999999999999,1.0,1.0,1.0,1.0,93.7,157.3,63.8,50.79999999999999,2128.0,3.0,2.0,98.0,5.0,2.744011168845057,3.39,7.6,102.0,5500.000000000001,24.0,30.0
14,0.0,106.0,1.0,0.0,0.0,1.0,97.2,173.4,65.2,54.7,2324.0,3.0,2.0,120.0,1.0,2.952357590035454,3.47,8.5,97.0,5200.0,27.0,34.0
15,0.0,91.0,1.0,0.0,0.0,1.0,95.7,166.3,64.4,52.99999999999999,2094.0,3.0,2.0,98.0,1.0,2.5425320832627443,3.03,9.0,70.0,4800.0,38.0,47.0
16,2.0,164.0,1.0,0.0,0.0,0.0,99.4,176.6,66.4,54.3,2824.0,3.0,1.0,136.0,5.0,3.902791664049839,3.4,8.0,114.99999999999999,5500.000000000001,18.0,22.0
17,0.0,102.0,1.0,0.0,0.0,1.0,97.2,172.0,65.4,52.5,2190.0,4.0,2.0,108.0,1.0,3.5326885367166363,2.64,9.5,82.0,4400.0,28.0,33.0
18,2.9999999999999996,150.0,1.0,0.0,1.0,2.0,95.3,169.0,65.7,49.599999999999994,2380.0,6.0,6.0,70.0,2.0,3.2556545404120802,3.255422885572139,9.4,101.0,6000.0,17.0,23.0
19,1.0000000000000002,122.0,1.0,0.0,1.0,2.0,98.4,175.7,72.3,50.5,3366.0,1.0,0.0,203.0,5.0,3.850780661933378,3.11,10.0,288.0,5750.0,17.0,28.0
20,-1.0,95.0,0.0,1.0,0.0,2.0,109.1,188.8,68.9,55.5,3217.0,3.0,3.0,145.0,3.0,3.0506103226700936,3.4,23.0,106.0,4800.0,26.0,27.0
21,2.9999999999999996,256.0,1.0,0.0,1.0,1.0,94.5,165.7,64.0,51.4,2221.0,3.0,2.0,109.0,5.0,2.7572196116671304,3.4,8.5,90.0,5500.000000000001,24.0,29.0
22,1.0000000000000002,168.0,1.0,0.0,1.0,2.0,94.5,168.7,64.0,52.599999999999994,2169.0,3.0,2.0,98.0,1.0,3.7381913291967392,3.03,9.0,70.0,4800.0,29.0,34.0
23,0.0,110.0,1.0,0.0,0.0,1.0,96.5,163.4,64.0,54.49999999999999,2010.0,3.0,2.0,92.0,0.0,2.5582690134713695,3.41,9.2,76.0,6000.0,30.0,34.0
24,2.0,134.0,1.0,0.0,1.0,2.0,98.4,176.2,65.6,52.0,2678.9999999999995,3.0,2.0,146.0,5.0,3.778518432820817,3.5,9.3,116.0,4800.0,24.0,30.0
25,-1.0,65.0,1.0,0.0,0.0,1.0,102.4,175.6,66.5,54.89999999999999,2326.0,3.0,2.0,122.0,5.0,2.9645214778058238,3.54,8.7,92.0,4200.0,29.0,34.0
26,2.9999999999999996,150.0,1.0,0.0,1.0,2.0,95.3,169.0,65.7,49.599999999999994,2500.0,6.0,6.0,80.0,5.0,2.6608870320912827,3.255422885572139,9.4,135.0,6000.0,16.0,23.0
27,0.0,161.00000000000003,0.0,1.0,0.0,2.0,107.9,186.7,68.4,56.699999999999996,3197.0,2.0,2.0,152.0,3.0,3.874765029348344,3.52,21.0,95.0,4150.0,28.0,33.0
28,-1.0,74.0,1.0,1.0,0.0,2.0,104.3,188.8,67.2,57.49999999999999,3157.0,3.0,2.0,130.0,5.0,2.628443359192852,3.15,7.5,162.0,5100.0,17.0,22.0
29,2.0,94.0,1.0,0.0,0.0,1.0,97.3,171.7,65.5,55.7,2300.0,3.0,2.0,109.0,5.0,2.806392874069282,3.4,10.0,100.0,5500.000000000001,26.0,32.0
30,0.0,161.00000000000003,1.0,0.0,0.0,2.0,107.9,186.7,68.4,56.699999999999996,3075.0,2.0,2.0,120.0,5.0,3.838225917568354,2.19,8.4,95.0,5000.0,19.0,23.999999999999996
31,-1.0,74.0,1.0,0.0,0.0,1.0,103.3,174.6,64.6,59.79999999999999,2535.0,3.0,2.0,122.0,1.0,2.6175244882962665,3.46,8.5,88.0,5000.0,24.0,30.0
32,1.0000000000000002,101.0,1.0,0.0,1.0,1.0,93.7,150.0,64.0,52.599999999999994,1837.0,3.0,2.0,79.0,0.0,2.5740376154219433,3.07,10.1,60.0,5500.000000000001,38.0,42.0
33,2.9999999999999996,150.0,1.0,0.0,1.0,2.0,95.3,169.0,65.7,49.599999999999994,2380.0,6.0,6.0,70.0,2.0,3.2567967218408453,3.255422885572139,9.4,101.0,6000.0,17.0,23.0
34,2.9999999999999996,122.0,1.0,0.0,1.0,2.0,89.5,168.9,65.0,51.6,2800.0,4.0,3.0,194.0,5.0,2.9591133066542388,2.9,9.5,207.0,5900.0,17.0,25.0
35,0.0,115.0,1.0,0.0,0.0,1.0,98.8,177.8,66.5,55.5,2410.0,3.0,2.0,122.0,1.0,3.7055628115093695,3.39,8.6,84.0,4800.0,26.0,32.0
36,0.0,93.0,0.0,1.0,1.0,2.0,106.7,187.5,70.3,54.89999999999999,3495.0,3.0,1.0,183.0,3.0,3.725854641920386,3.64,21.5,122.99999999999999,4350.0,22.0,25.0
37,1.0000000000000002,122.0,1.0,1.0,1.0,2.0,102.7,178.4,68.0,54.8,2910.0,3.0,2.0,140.0,5.0,3.8742630926908035,3.12,8.0,175.0,5000.0,19.0,23.999999999999996
38,1.0000000000000002,168.0,1.0,0.0,1.0,2.0,94.5,168.7,64.0,52.599999999999994,2265.0,0.0,2.0,98.0,5.0,3.922286049753403,3.08,9.4,111.99999999999999,6599.999999999999,26.0,29.0
