,Cylinders,Displacement,Horse_power,Weight,Acceleration(prediction),Model_year,Origin
0,8.0,390.0,190.0,3850.0,9.387800654729691,70.0,1.0
1,8.0,302.0,129.0,3169.0,24.300121431937157,75.0,1.0
2,4.0,98.0,83.0,2219.0,9.903166544046591,74.0,2.0
3,6.0,250.0,100.0,3282.0,9.75160390722917,71.0,1.0
4,8.0,455.0,225.0,4951.0,12.059693016307541,73.0,1.0
5,4.0,97.0,46.0,1950.0,21.579840032895316,73.0,2.0
6,8.0,350.0,175.0,4100.0,13.814872923206606,73.0,1.0
7,4.0,151.0,90.0,2678.0,14.513800484465222,80.0,1.0
8,4.0,134.0,90.0,2711.0,20.82317095319191,80.0,3.0
9,8.0,305.0,145.0,3880.0,9.354496951654738,77.0,1.0
10,4.0,115.0,95.0,2694.0,19.512752438974193,75.0,2.0
11,4.0,108.0,75.0,2265.0,9.241746905311015,80.0,3.0
12,8.0,302.0,140.0,4294.0,15.369799040564843,72.0,1.0
13,4.0,91.00000000000001,70.0,1955.0,22.96075178485149,71.0,1.0
14,8.0,305.0,145.0,3425.0,8.0,78.0,1.0
15,8.0,302.0,140.0,4638.0,12.328764493879136,74.0,1.0
16,6.0,198.0,95.0,3102.0,16.205479202863255,74.0,1.0
17,4.0,91.00000000000001,67.0,1850.0,24.8,80.0,3.0
18,4.0,98.0,80.0,2164.0,11.526328657576757,72.0,1.0
19,4.0,121.0,98.0,2945.0,13.014863492316202,75.0,2.0
20,8.0,429.0,198.0,4341.0,8.0,70.0,1.0
21,8.0,400.0,170.0,4746.0,11.74133454128529,71.0,1.0
22,4.0,121.0,112.0,2868.0,18.47983270937286,73.0,2.0
23,4.0,151.0,90.0,2556.0,8.0,79.0,1.0
24,8.0,360.0,215.0,4615.0,17.05139738078572,70.0,1.0
25,3.0,70.0,90.0,2124.0,13.407837744084098,73.0,3.0
26,8.0,267.0,125.0,3605.0,14.32278548855125,79.0,1.0
27,6.0,231.0,105.0,3380.0,15.745588929039258,78.0,1.0
28,6.0,231.0,115.0,3245.0,15.051771344306436,79.0,1.0
29,4.0,97.0,67.0,1985.0,16.91587538742606,77.0,3.0
30,8.0,302.0,139.0,3205.0,15.485374674209634,78.0,1.0
31,4.0,141.0,71.0,3190.0,22.144244637254282,79.0,2.0
32,8.0,350.0,180.0,4380.0,8.0,76.0,1.0
33,4.0,151.0,88.0,2740.0,15.637795382982654,77.0,1.0
34,5.0,131.0,103.0,2830.0,17.427172553528475,78.0,2.0
35,4.0,86.0,65.0,2019.0,12.638036942174914,80.0,3.0
36,4.0,140.0,92.0,2572.0,14.138572875860255,76.0,1.0
37,4.0,97.50000000000001,80.0,2126.0,16.63501327460987,72.0,1.0
38,6.0,225.0,105.0,3439.0,21.30211073516406,71.0,1.0
39,8.0,318.0,150.0,4135.0,10.440939895608478,72.0,1.0
40,4.0,140.0,78.0,2592.0,18.44088509927913,75.0,1.0
41,8.0,260.0,90.0,3420.0,8.0,79.0,1.0
42,4.0,120.0,88.0,2957.0,12.368709833149676,75.0,2.0
43,4.0,122.0,85.0,2310.0,23.74448040910632,73.0,1.0
44,4.0,119.0,97.0,2405.0,12.306151864476263,78.0,3.0
45,4.0,140.0,72.0,2408.0,17.884395128591137,71.0,1.0
46,8.0,302.0,130.0,4295.0,20.495569089622606,77.0,1.0
47,4.0,98.0,70.0,2120.0,18.46897709957971,80.0,1.0
48,4.0,79.0,67.0,1963.0,17.628791763868566,74.0,2.0
49,4.0,120.0,97.0,2489.0,21.866368832790705,74.0,3.0
