,Cylinders,Displacement,Horse_power,Weight,Acceleration(prediction),Model_year,Origin
0,8.0,454.0,190.0,3850.0,8.5,70.0,1.0
1,8.0,161.3908339659099,129.0,3169.0,12.0,75.0,1.0
2,4.0,69.79891850752358,83.0,2219.0,16.5,74.0,2.0
3,6.0,143.66405250739237,100.0,3282.0,15.0,71.0,1.0
4,8.0,298.5050355636979,225.0,4951.0,11.0,73.0,1.0
5,4.0,95.29056980528841,46.0,1950.0,21.0,73.0,2.0
6,8.0,247.46208536848897,175.0,4100.0,13.0,73.0,1.0
7,4.0,128.29925881804246,90.0,2678.0,16.5,80.0,1.0
8,4.0,117.27398902486972,90.0,2711.0,15.5,80.0,3.0
9,8.0,98.32235185154366,145.0,3880.0,12.5,77.0,1.0
10,4.0,110.18474120265152,95.0,2694.0,15.0,75.0,2.0
11,4.0,129.281900634269,75.0,2265.0,15.2,80.0,3.0
12,8.0,254.98847304810792,140.0,4294.0,16.0,72.0,1.0
13,4.0,98.80935190272398,70.0,1955.0,20.5,71.0,1.0
14,8.0,111.95813730287666,145.0,3425.0,13.2,78.0,1.0
15,8.0,68.0,140.0,4638.0,16.0,74.0,1.0
16,6.0,186.91171271273916,95.0,3102.0,16.5,74.0,1.0
17,4.0,68.0,67.0,1850.0,13.8,80.0,3.0
18,4.0,68.0,80.0,2164.0,15.0,72.0,1.0
19,4.0,105.79978343875923,98.0,2945.0,14.5,75.0,2.0
20,8.0,205.80774311319152,198.0,4341.0,10.0,70.0,1.0
21,8.0,380.70478737470944,170.0,4746.0,12.0,71.0,1.0
22,4.0,131.83162184378693,112.0,2868.0,15.5,73.0,2.0
23,4.0,68.0,90.0,2556.0,13.2,79.0,1.0
24,8.0,454.0,215.0,4615.0,14.0,70.0,1.0
25,3.0,221.73509713501952,90.0,2124.0,13.5,73.0,3.0
26,8.0,230.86418432085006,125.0,3605.0,15.0,79.0,1.0
27,6.0,228.9515843732314,105.0,3380.0,15.8,78.0,1.0
28,6.0,217.88944648889472,115.0,3245.0,15.4,79.0,1.0
29,4.0,94.87597303896152,67.0,1985.0,16.4,77.0,3.0
30,8.0,185.2771661624389,139.0,3205.0,11.2,78.0,1.0
31,4.0,147.63595331757688,71.0,3190.0,24.8,79.0,2.0
32,8.0,454.0,180.0,4380.0,12.1,76.0,1.0
33,4.0,146.86024846444317,88.0,2740.0,16.0,77.0,1.0
34,5.0,188.27659997453057,103.0,2830.0,15.9,78.0,2.0
35,4.0,99.68289745724127,65.0,2019.0,16.4,80.0,3.0
36,4.0,131.29743707515527,92.0,2572.0,14.9,76.0,1.0
37,4.0,93.72325768907706,80.0,2126.0,17.0,72.0,1.0
38,6.0,393.80316033753786,105.0,3439.0,15.5,71.0,1.0
39,8.0,89.80376494127779,150.0,4135.0,13.5,72.0,1.0
40,4.0,139.3243880448006,78.0,2592.0,18.5,75.0,1.0
41,8.0,89.07561279347007,90.0,3420.0,22.2,79.0,1.0
42,4.0,68.0,88.0,2957.0,17.0,75.0,2.0
43,4.0,218.80904562229537,85.0,2310.0,18.5,73.0,1.0
44,4.0,146.85784543429733,97.0,2405.0,14.9,78.0,3.0
45,4.0,136.4595346409517,72.0,2408.0,19.0,71.0,1.0
46,8.0,171.8479331099331,130.0,4295.0,14.9,77.0,1.0
47,4.0,131.9330982365883,70.0,2120.0,15.5,80.0,1.0
48,4.0,119.6085388705101,67.0,1963.0,15.5,74.0,2.0
49,4.0,91.72820197071415,97.0,2489.0,15.0,74.0,3.0
