,Cylinders,Displacement,Horse_power,Weight,Acceleration(prediction),Model_year,Origin
0,8.0,390.0,190.0,3850.0,11.434682087673227,70.0,1.0
1,8.0,302.0,129.0,3169.0,20.75133845937146,75.0,1.0
2,4.0,98.0,83.0,2219.0,16.63979582958699,74.0,2.0
3,6.0,250.0,100.0,3282.0,12.92339089152089,71.0,1.0
4,8.0,455.0,225.0,4951.0,24.195329645276054,73.0,1.0
5,4.0,97.0,46.0,1950.0,14.084949571228599,73.0,2.0
6,8.0,350.0,175.0,4100.0,12.146965983248426,73.0,1.0
7,4.0,151.0,90.0,2678.0,11.867048337256362,80.0,1.0
8,4.0,134.0,90.0,2711.0,13.255208552398688,80.0,3.0
9,8.0,305.0,145.0,3880.0,10.63343072750261,77.0,1.0
10,4.0,115.0,95.0,2694.0,18.25758027097182,75.0,2.0
11,4.0,108.0,75.0,2265.0,8.513802912475734,80.0,3.0
12,8.0,302.0,140.0,4294.0,16.607888533275045,72.0,1.0
13,4.0,91.00000000000001,70.0,1955.0,11.892607199104836,71.0,1.0
14,8.0,305.0,145.0,3425.0,9.4963033370307,78.0,1.0
15,8.0,302.0,140.0,4638.0,24.8,74.0,1.0
16,6.0,198.0,95.0,3102.0,14.448834994799292,74.0,1.0
17,4.0,91.00000000000001,67.0,1850.0,23.37504532485621,80.0,3.0
18,4.0,98.0,80.0,2164.0,14.385012818968905,72.0,1.0
19,4.0,121.0,98.0,2945.0,15.458725745547358,75.0,2.0
20,8.0,429.0,198.0,4341.0,8.0,70.0,1.0
21,8.0,400.0,170.0,4746.0,10.992782647796577,71.0,1.0
22,4.0,121.0,112.0,2868.0,23.88094955505825,73.0,2.0
23,4.0,151.0,90.0,2556.0,15.794881302962654,79.0,1.0
24,8.0,360.0,215.0,4615.0,16.611932991904137,70.0,1.0
25,3.0,70.0,90.0,2124.0,21.74668215968213,73.0,3.0
26,8.0,267.0,125.0,3605.0,23.473275007122822,79.0,1.0
27,6.0,231.0,105.0,3380.0,10.6433950674514,78.0,1.0
28,6.0,231.0,115.0,3245.0,8.0,79.0,1.0
29,4.0,97.0,67.0,1985.0,16.714470614246775,77.0,3.0
30,8.0,302.0,139.0,3205.0,18.24932372261326,78.0,1.0
31,4.0,141.0,71.0,3190.0,12.423665312648724,79.0,2.0
32,8.0,350.0,180.0,4380.0,8.0,76.0,1.0
33,4.0,151.0,88.0,2740.0,15.777072941550314,77.0,1.0
34,5.0,131.0,103.0,2830.0,19.44784593963395,78.0,2.0
35,4.0,86.0,65.0,2019.0,12.211270947584458,80.0,3.0
36,4.0,140.0,92.0,2572.0,15.956892242170383,76.0,1.0
37,4.0,97.50000000000001,80.0,2126.0,13.07727837348128,72.0,1.0
38,6.0,225.0,105.0,3439.0,20.88434755912333,71.0,1.0
39,8.0,318.0,150.0,4135.0,8.95163105636938,72.0,1.0
40,4.0,140.0,78.0,2592.0,11.527047069943574,75.0,1.0
41,8.0,260.0,90.0,3420.0,24.8,79.0,1.0
42,4.0,120.0,88.0,2957.0,16.130101455360684,75.0,2.0
43,4.0,122.0,85.0,2310.0,20.62928916913306,73.0,1.0
44,4.0,119.0,97.0,2405.0,8.0,78.0,3.0
45,4.0,140.0,72.0,2408.0,18.38877407437569,71.0,1.0
46,8.0,302.0,130.0,4295.0,24.09786185079172,77.0,1.0
47,4.0,98.0,70.0,2120.0,20.674249889899993,80.0,1.0
48,4.0,79.0,67.0,1963.0,24.022233400935512,74.0,2.0
49,4.0,120.0,97.0,2489.0,20.1817125389449,74.0,3.0
