,Cylinders,Displacement,Horse_power,Weight,Acceleration(prediction),Model_year,Origin
0,8.0,316.75212905834525,190.0,3850.0,8.5,70.0,1.0
1,8.0,455.0,129.0,3169.0,12.0,75.0,1.0
2,4.0,68.0,83.0,2219.0,16.5,74.0,2.0
3,6.0,223.59859277203878,100.0,3282.0,15.0,71.0,1.0
4,8.0,436.7487773058913,225.0,4951.0,11.0,73.0,1.0
5,4.0,121.05392807106836,46.0,1950.0,21.0,73.0,2.0
6,8.0,417.25048249390704,175.0,4100.0,13.0,73.0,1.0
7,4.0,155.88115636103163,90.0,2678.0,16.5,80.0,1.0
8,4.0,68.0,90.0,2711.0,15.5,80.0,3.0
9,8.0,276.74912666344994,145.0,3880.0,12.5,77.0,1.0
10,4.0,122.33311567619154,95.0,2694.0,15.0,75.0,2.0
11,4.0,296.63602193035746,75.0,2265.0,15.2,80.0,3.0
12,8.0,352.06426179894106,140.0,4294.0,16.0,72.0,1.0
13,4.0,68.0,70.0,1955.0,20.5,71.0,1.0
14,8.0,311.9313394306773,145.0,3425.0,13.2,78.0,1.0
15,8.0,294.551156309367,140.0,4638.0,16.0,74.0,1.0
16,6.0,207.18651030636633,95.0,3102.0,16.5,74.0,1.0
17,4.0,306.04440432375395,67.0,1850.0,13.8,80.0,3.0
18,4.0,68.0,80.0,2164.0,15.0,72.0,1.0
19,4.0,129.77619827745343,98.0,2945.0,14.5,75.0,2.0
20,8.0,200.8665299353991,198.0,4341.0,10.0,70.0,1.0
21,8.0,352.6887954060836,170.0,4746.0,12.0,71.0,1.0
22,4.0,202.08982484345276,112.0,2868.0,15.5,73.0,2.0
23,4.0,131.86056876991017,90.0,2556.0,13.2,79.0,1.0
24,8.0,226.77357632467314,215.0,4615.0,14.0,70.0,1.0
25,3.0,292.5397453039974,90.0,2124.0,13.5,73.0,3.0
26,8.0,283.4848804876541,125.0,3605.0,15.0,79.0,1.0
27,6.0,245.4446187538448,105.0,3380.0,15.8,78.0,1.0
28,6.0,225.95018984395497,115.0,3245.0,15.4,79.0,1.0
29,4.0,236.98317993071754,67.0,1985.0,16.4,77.0,3.0
30,8.0,376.54364090173056,139.0,3205.0,11.2,78.0,1.0
31,4.0,119.89470082055487,71.0,3190.0,24.8,79.0,2.0
32,8.0,269.5085249888443,180.0,4380.0,12.1,76.0,1.0
33,4.0,124.99030435592402,88.0,2740.0,16.0,77.0,1.0
34,5.0,346.5310503333836,103.0,2830.0,15.9,78.0,2.0
35,4.0,151.8323513639071,65.0,2019.0,16.4,80.0,3.0
36,4.0,107.75795951380077,92.0,2572.0,14.9,76.0,1.0
37,4.0,68.0,80.0,2126.0,17.0,72.0,1.0
38,6.0,254.87576024843443,105.0,3439.0,15.5,71.0,1.0
39,8.0,267.68743112238445,150.0,4135.0,13.5,72.0,1.0
40,4.0,161.43299485477743,78.0,2592.0,18.5,75.0,1.0
41,8.0,128.32736975418197,90.0,3420.0,22.2,79.0,1.0
42,4.0,93.06908221929648,88.0,2957.0,17.0,75.0,2.0
43,4.0,229.11346469461776,85.0,2310.0,18.5,73.0,1.0
44,4.0,225.73044769585053,97.0,2405.0,14.9,78.0,3.0
45,4.0,157.55976551156704,72.0,2408.0,19.0,71.0,1.0
46,8.0,311.1333637354451,130.0,4295.0,14.9,77.0,1.0
47,4.0,198.63571521459852,70.0,2120.0,15.5,80.0,1.0
48,4.0,191.30244933154484,67.0,1963.0,15.5,74.0,2.0
49,4.0,68.0,97.0,2489.0,15.0,74.0,3.0
