,Cylinders,Displacement,Horse_power,Weight,Acceleration(prediction),Model_year,Origin
0,4.0,96.0,69.0,2189.0,16.8857770505651,72.0,2.0
1,4.0,121.0,115.0,2795.0,21.733865571521513,78.0,2.0
2,4.0,91.0,60.0,1800.0,20.379296902605795,78.0,3.0
3,4.0,91.0,70.0,1955.0,11.804807365900686,71.0,1.0
4,4.0,140.0,86.0,2790.0,22.06427900724309,82.0,1.0
5,4.0,97.0,75.0,2155.0,17.58116929861536,76.0,3.0
6,8.0,400.0,170.0,4746.0,11.65522692234248,71.0,1.0
7,4.0,97.0,75.0,2265.0,15.367646960552293,77.0,3.0
8,6.0,225.0,95.0,3264.0,13.970653451273177,75.0,1.0
9,4.0,68.0,49.0,1867.0,21.294917414217288,73.0,2.0
10,8.0,390.0,190.0,3850.0,8.219620897108957,70.0,1.0
11,6.0,156.0,108.0,2930.0,15.164321748102772,76.0,3.0
12,8.0,350.0,155.0,4360.0,18.22725390360949,79.0,1.0
13,4.0,97.0,75.0,2171.0,20.439775061959367,75.0,3.0
14,6.0,163.0,133.0,3410.0,20.880193731263148,78.0,2.0
15,4.0,112.0,88.0,2605.0,16.986155408039572,82.0,1.0
16,6.0,198.0,95.0,3102.0,10.971307087247638,74.0,1.0
17,4.0,108.0,75.0,2350.0,8.490595042809229,81.0,3.0
18,4.0,121.0,80.0,2670.0,19.57469802616051,79.0,1.0
19,4.0,122.0,88.0,2500.0,14.74311921190207,80.0,2.0
20,6.0,198.0,95.0,2833.0,8.219620897108957,70.0,1.0
21,4.0,97.0,52.0,2130.0,15.991568032269617,82.0,2.0
22,4.0,91.0,68.0,1985.0,9.167238858041536,81.0,3.0
23,8.0,307.0,130.0,3504.0,8.219222934907599,70.0,1.0
24,4.0,79.0,67.0,1963.0,20.804197367761518,74.0,2.0
25,4.0,98.0,90.0,2265.0,9.865931040899413,73.0,2.0
26,4.0,120.0,87.0,2979.0,15.121430083568036,72.0,2.0
27,6.0,225.0,105.0,3439.0,24.51267139059309,71.0,1.0
28,4.0,97.0,46.0,1950.0,21.872456789296034,73.0,2.0
29,4.0,121.0,76.0,2511.0,24.240830609915548,72.0,2.0
30,8.0,350.0,145.0,4440.0,10.924995041852835,75.0,1.0
31,6.0,232.0,90.0,3210.0,20.839519890501606,78.0,1.0
32,8.0,267.0,125.0,3605.0,24.51267139059309,79.0,1.0
33,4.0,120.0,74.0,2635.0,8.603819034331028,81.0,3.0
34,8.0,400.0,150.0,4464.0,16.6646430914655,73.0,1.0
35,4.0,91.0,67.0,1995.0,17.092464084978396,82.0,3.0
36,8.0,302.0,140.0,4638.0,12.921213284127806,74.0,1.0
37,4.0,97.5,80.0,2126.0,11.548250278964275,72.0,1.0
38,8.0,302.0,140.0,4294.0,16.3192524577586,72.0,1.0
39,8.0,360.0,215.0,4615.0,16.193337575887536,70.0,1.0
40,8.0,307.0,130.0,4098.0,18.25079867481325,72.0,1.0
41,4.0,89.99999999999999,75.0,2108.0,20.818423688815855,74.0,2.0
42,4.0,105.0,74.0,1980.0,15.795038875364115,82.0,2.0
43,4.0,97.0,78.0,2300.0,13.788659687309393,74.0,2.0
44,8.0,351.0,148.0,4657.0,13.683426928113033,75.0,1.0
45,8.0,440.0,215.0,4735.0,10.6505147482713,73.0,1.0
46,6.0,250.0,100.0,3282.0,8.219620897108957,71.0,1.0
47,4.0,91.0,69.0,2130.0,17.426993160312787,79.0,2.0
48,4.0,140.0,72.0,2401.0,19.986519592545573,73.0,1.0
49,4.0,89.99999999999999,70.0,1937.0,13.120108997557876,76.0,2.0
50,8.0,351.0,153.0,4154.0,12.059790171498092,71.0,1.0
51,4.0,113.0,95.0,2278.0,15.969983756928144,72.0,3.0
52,4.0,140.0,90.0,2264.0,14.085530425098083,71.0,1.0
53,4.0,120.0,88.0,2160.0,12.896401940384127,82.0,3.0
54,6.0,232.0,112.0,2835.0,21.762658646546736,82.0,1.0
55,6.0,258.0,110.0,3632.0,22.67043582917683,74.0,1.0
56,8.0,262.0,110.0,3221.0,15.387313549981416,75.0,1.0
57,6.0,232.0,100.0,2914.0,20.312555730617404,75.0,1.0
58,4.0,104.0,95.0,2375.0,11.873111722421038,70.0,2.0
