,Cylinders,Displacement,Horse_power,Weight,Acceleration(prediction),Model_year,Origin
0,4.0,96.0,69.0,2189.0,18.324072554630508,72.0,2.0
1,4.0,121.0,115.0,2795.0,21.857513989802452,78.0,2.0
2,4.0,91.0,60.0,1800.0,20.545360547801316,78.0,3.0
3,4.0,91.0,70.0,1955.0,19.41968515733442,71.0,1.0
4,4.0,140.0,86.0,2790.0,18.192868098184825,82.0,1.0
5,4.0,97.0,75.0,2155.0,12.90203746766067,76.0,3.0
6,8.0,400.0,170.0,4746.0,19.70297615850699,71.0,1.0
7,4.0,97.0,75.0,2265.0,11.047416154978842,77.0,3.0
8,6.0,225.0,95.0,3264.0,15.707096362707738,75.0,1.0
9,4.0,68.0,49.0,1867.0,8.219620897108957,73.0,2.0
10,8.0,390.0,190.0,3850.0,24.51267139059309,70.0,1.0
11,6.0,156.0,108.0,2930.0,9.814640431759651,76.0,3.0
12,8.0,350.0,155.0,4360.0,13.977784181639134,79.0,1.0
13,4.0,97.0,75.0,2171.0,15.311828345458707,75.0,3.0
14,6.0,163.0,133.0,3410.0,18.638990531007035,78.0,2.0
15,4.0,112.0,88.0,2605.0,19.136898722674193,82.0,1.0
16,6.0,198.0,95.0,3102.0,13.142637889865068,74.0,1.0
17,4.0,108.0,75.0,2350.0,12.251719926124636,81.0,3.0
18,4.0,121.0,80.0,2670.0,15.578676072576544,79.0,1.0
19,4.0,122.0,88.0,2500.0,24.51267139059309,80.0,2.0
20,6.0,198.0,95.0,2833.0,11.489068719157448,70.0,1.0
21,4.0,97.0,52.0,2130.0,24.51267139059309,82.0,2.0
22,4.0,91.0,68.0,1985.0,10.817663349386546,81.0,3.0
23,8.0,307.0,130.0,3504.0,9.162082109004595,70.0,1.0
24,4.0,79.0,67.0,1963.0,9.16126134366377,74.0,2.0
25,4.0,98.0,90.0,2265.0,15.810181175865049,73.0,2.0
26,4.0,120.0,87.0,2979.0,15.929523471922462,72.0,2.0
27,6.0,225.0,105.0,3439.0,18.148441526191277,71.0,1.0
28,4.0,97.0,46.0,1950.0,23.002742789888142,73.0,2.0
29,4.0,121.0,76.0,2511.0,19.30528718065876,72.0,2.0
30,8.0,350.0,145.0,4440.0,20.46208014237235,75.0,1.0
31,6.0,232.0,90.0,3210.0,17.24821159416546,78.0,1.0
32,8.0,267.0,125.0,3605.0,10.661649030928636,79.0,1.0
33,4.0,120.0,74.0,2635.0,16.402298303455897,81.0,3.0
34,8.0,400.0,150.0,4464.0,14.64232883433022,73.0,1.0
35,4.0,91.0,67.0,1995.0,16.18401918175791,82.0,3.0
36,8.0,302.0,140.0,4638.0,22.82188620849405,74.0,1.0
37,4.0,97.5,80.0,2126.0,11.935036611611661,72.0,1.0
38,8.0,302.0,140.0,4294.0,14.832067700474596,72.0,1.0
39,8.0,360.0,215.0,4615.0,14.204419944875955,70.0,1.0
40,8.0,307.0,130.0,4098.0,15.726696766527674,72.0,1.0
41,4.0,89.99999999999999,75.0,2108.0,9.956699279801203,74.0,2.0
42,4.0,105.0,74.0,1980.0,12.434782764537955,82.0,2.0
43,4.0,97.0,78.0,2300.0,17.22602266584151,74.0,2.0
44,8.0,351.0,148.0,4657.0,14.658626264754687,75.0,1.0
45,8.0,440.0,215.0,4735.0,10.713222213349724,73.0,1.0
46,6.0,250.0,100.0,3282.0,13.437151843455132,71.0,1.0
47,4.0,91.0,69.0,2130.0,24.51267139059309,79.0,2.0
48,4.0,140.0,72.0,2401.0,24.51267139059309,73.0,1.0
49,4.0,89.99999999999999,70.0,1937.0,12.5484384925477,76.0,2.0
50,8.0,351.0,153.0,4154.0,11.974296914025397,71.0,1.0
51,4.0,113.0,95.0,2278.0,15.010651532824419,72.0,3.0
52,4.0,140.0,90.0,2264.0,9.317023523513868,71.0,1.0
53,4.0,120.0,88.0,2160.0,20.412989331241278,82.0,3.0
54,6.0,232.0,112.0,2835.0,15.312544504777936,82.0,1.0
55,6.0,258.0,110.0,3632.0,19.08778664912375,74.0,1.0
56,8.0,262.0,110.0,3221.0,22.80661489985023,75.0,1.0
57,6.0,232.0,100.0,2914.0,14.031363706827397,75.0,1.0
58,4.0,104.0,95.0,2375.0,8.81077868243436,70.0,2.0
