,Cylinders,Displacement,Horse_power,Weight,Acceleration(prediction),Model_year,Origin
0,4.0,97.0,88.0,2100.0,14.950447782569361,72.0,3.0
1,6.0,225.0,100.0,3233.0,10.236724991515525,76.0,1.0
2,4.0,140.0,75.0,2542.0,11.803922059581012,74.0,1.0
3,4.0,98.0,68.0,2155.0,17.888298498869347,78.0,1.0
4,6.0,173.0,115.0,2700.0,8.016481000115483,79.0,1.0
5,4.0,108.0,93.0,2391.0,15.369486588836592,74.0,3.0
6,4.0,98.0,80.0,1915.0,13.943007072717528,79.0,1.0
7,6.0,200.0,85.0,2587.0,14.659537120170544,70.0,1.0
8,4.0,111.0,80.0,2155.0,14.239786892742778,77.0,1.0
9,4.0,84.99999999999999,65.0,2020.0,11.29738667670956,79.0,3.0
10,4.0,79.0,70.0,2074.0,14.39605201159115,71.0,2.0
11,8.0,350.0,145.0,4082.0,11.641020169680866,73.0,1.0
12,4.0,86.0,64.0,1875.0,24.51267139059309,81.0,1.0
13,4.0,79.0,58.0,1825.0,14.286384859551994,77.0,2.0
14,4.0,119.0,82.0,2720.0,21.46543981721467,82.0,1.0
15,8.0,304.0,150.0,4257.0,14.653063410600595,74.0,1.0
16,4.0,134.0,90.0,2711.0,20.64468171896059,80.0,3.0
17,6.0,225.0,100.0,3630.0,16.049324114334183,77.0,1.0
18,6.0,250.0,100.0,3278.0,19.366398640293838,73.0,1.0
19,8.0,305.0,140.0,4215.0,9.51823315288873,76.0,1.0
20,8.0,350.0,150.0,4699.0,15.684966233139477,74.0,1.0
21,4.0,89.99999999999999,75.0,2125.0,15.534801372033625,74.0,1.0
22,8.0,400.0,175.0,4464.0,22.28487954640174,71.0,1.0
23,8.0,318.0,150.0,4077.0,12.885568993620504,72.0,1.0
24,4.0,156.0,105.0,2800.0,12.779171564059565,80.0,1.0
25,6.0,200.0,85.0,3070.0,17.65156760583655,78.0,1.0
26,6.0,200.0,95.0,3155.0,15.498929334006652,78.0,1.0
27,4.0,140.0,88.0,2890.0,20.174997131148938,79.0,1.0
28,4.0,134.0,96.0,2702.0,14.803088805397916,75.0,3.0
29,4.0,101.0,83.0,2202.0,19.05334892436095,76.0,2.0
30,8.0,307.0,200.0,4376.0,17.351132616859108,70.0,1.0
31,8.0,305.0,145.0,3425.0,9.045962044464584,78.0,1.0
32,4.0,151.0,85.0,2855.0,17.45518506678268,78.0,1.0
33,6.0,155.0,107.0,2472.0,13.294675105803725,73.0,1.0
34,4.0,108.0,94.0,2379.0,13.699858487103652,73.0,3.0
35,4.0,135.0,84.0,2490.0,19.258630822496087,81.0,1.0
36,6.0,225.0,85.0,3465.0,13.935355911669683,81.0,1.0
37,4.0,116.0,81.0,2220.0,11.50713161710829,76.0,2.0
38,4.0,121.0,115.0,2671.0,14.38181877219451,75.0,2.0
39,8.0,400.0,167.0,4906.0,13.856060129757692,73.0,1.0
40,6.0,250.0,100.0,3781.0,18.369722936735588,74.0,1.0
41,6.0,171.0,97.0,2984.0,21.63193910034837,75.0,1.0
42,8.0,318.0,150.0,3777.0,12.246000340136979,73.0,1.0
43,4.0,97.0,60.0,1834.0,21.653837201654568,71.0,2.0
44,4.0,119.0,100.0,2615.0,23.703742074067083,81.0,3.0
45,4.0,79.0,67.0,1950.0,14.964959853556772,74.0,3.0
46,8.0,429.0,198.0,4341.0,24.57685943144199,70.0,1.0
47,8.0,350.0,165.0,4274.0,13.956674355626287,72.0,1.0
48,6.0,232.0,100.0,2634.0,14.129158855576947,71.0,1.0
49,8.0,350.0,145.0,4055.0,15.459308449919487,76.0,1.0
50,6.0,232.0,90.0,3265.0,16.258523559321766,79.0,1.0
51,4.0,134.0,95.0,2560.0,22.24296187317173,78.0,3.0
52,6.0,200.0,81.0,3012.0,8.219620897108957,76.0,1.0
53,8.0,302.0,139.0,3205.0,18.931086578467774,78.0,1.0
54,8.0,302.0,129.0,3169.0,17.1961297209706,75.0,1.0
55,8.0,318.0,150.0,4190.0,21.161123240855556,76.0,1.0
56,8.0,400.0,170.0,4668.0,9.267092899239959,75.0,1.0
57,6.0,232.0,100.0,2901.0,15.210044484972709,74.0,1.0
58,4.0,105.0,75.0,2230.0,14.431375518310087,78.0,1.0
59,4.0,151.0,88.0,2740.0,15.715554315913527,77.0,1.0
60,8.0,383.0,180.0,4955.0,13.200869981388344,71.0,1.0
61,8.0,304.0,150.0,3433.0,11.243518923059728,70.0,1.0
62,8.0,400.0,150.0,3761.0,9.61930927015149,70.0,1.0
63,6.0,250.0,105.0,3353.0,9.677507310788394,76.0,1.0
64,4.0,71.0,65.0,1836.0,16.42785407639357,74.0,3.0
65,4.0,97.0,88.0,2130.0,14.06821971757874,70.0,3.0
66,8.0,304.0,150.0,3892.0,11.86550825078863,72.0,1.0
67,4.0,84.99999999999999,70.0,1990.0,14.650931865274835,76.0,3.0
68,6.0,232.0,100.0,3288.0,15.382089193007447,71.0,1.0
69,6.0,250.0,72.0,3432.0,18.805630608784114,75.0,1.0
70,8.0,260.0,90.0,3420.0,19.68305221493845,79.0,1.0
71,4.0,140.0,89.0,2755.0,14.501764301389592,77.0,1.0
72,4.0,84.99999999999999,65.0,2110.0,24.51267139059309,80.0,3.0
73,8.0,304.0,193.0,4732.0,17.330737138755733,70.0,1.0
74,4.0,97.0,78.0,2190.0,24.51267139059309,77.0,2.0
75,8.0,318.0,150.0,4135.0,11.383424688767132,72.0,1.0
76,4.0,121.0,112.0,2933.0,19.281452162022763,72.0,2.0
