,Cylinders,Displacement,Horse_power,Weight,Acceleration(prediction),Model_year,Origin
0,8.0,390.0,190.0,3850.0,8.0,70.0,1.0
1,8.0,302.0,129.0,3169.0,24.8,75.0,1.0
2,4.0,98.0,83.0,2219.0,8.0,74.0,2.0
3,6.0,250.0,100.0,3282.0,14.587793154955474,71.0,1.0
4,8.0,455.0,225.0,4951.0,24.8,73.0,1.0
5,4.0,97.0,46.0,1950.0,24.8,73.0,2.0
6,8.0,350.0,175.0,4100.0,24.8,73.0,1.0
7,4.0,151.0,90.0,2678.0,19.956965632463948,80.0,1.0
8,4.0,134.0,90.0,2711.0,11.641621281149304,80.0,3.0
9,8.0,305.0,145.0,3880.0,11.277238802996425,77.0,1.0
10,4.0,115.0,95.0,2694.0,16.077392790043167,75.0,2.0
11,4.0,108.0,75.0,2265.0,8.0,80.0,3.0
12,8.0,302.0,140.0,4294.0,24.8,72.0,1.0
13,4.0,91.00000000000001,70.0,1955.0,8.0,71.0,1.0
14,8.0,305.0,145.0,3425.0,8.0,78.0,1.0
15,8.0,302.0,140.0,4638.0,13.495557497692381,74.0,1.0
16,6.0,198.0,95.0,3102.0,8.0,74.0,1.0
17,4.0,91.00000000000001,67.0,1850.0,18.370555440254734,80.0,3.0
18,4.0,98.0,80.0,2164.0,8.0,72.0,1.0
19,4.0,121.0,98.0,2945.0,13.931811180949143,75.0,2.0
20,8.0,429.0,198.0,4341.0,8.0,70.0,1.0
21,8.0,400.0,170.0,4746.0,24.8,71.0,1.0
22,4.0,121.0,112.0,2868.0,21.427047811407782,73.0,2.0
23,4.0,151.0,90.0,2556.0,8.0,79.0,1.0
24,8.0,360.0,215.0,4615.0,23.743962486046037,70.0,1.0
25,3.0,70.0,90.0,2124.0,24.8,73.0,3.0
26,8.0,267.0,125.0,3605.0,11.474018733918477,79.0,1.0
27,6.0,231.0,105.0,3380.0,8.0,78.0,1.0
28,6.0,231.0,115.0,3245.0,8.0,79.0,1.0
29,4.0,97.0,67.0,1985.0,8.0,77.0,3.0
30,8.0,302.0,139.0,3205.0,12.68259711107582,78.0,1.0
31,4.0,141.0,71.0,3190.0,19.38472589633429,79.0,2.0
32,8.0,350.0,180.0,4380.0,8.0,76.0,1.0
33,4.0,151.0,88.0,2740.0,8.0,77.0,1.0
34,5.0,131.0,103.0,2830.0,19.65796386916541,78.0,2.0
35,4.0,86.0,65.0,2019.0,18.91011577341252,80.0,3.0
36,4.0,140.0,92.0,2572.0,8.0,76.0,1.0
37,4.0,97.50000000000001,80.0,2126.0,22.68676737398165,72.0,1.0
38,6.0,225.0,105.0,3439.0,20.93058079316991,71.0,1.0
39,8.0,318.0,150.0,4135.0,10.16387264799126,72.0,1.0
40,4.0,140.0,78.0,2592.0,11.42494477086931,75.0,1.0
41,8.0,260.0,90.0,3420.0,8.0,79.0,1.0
42,4.0,120.0,88.0,2957.0,12.749066566271779,75.0,2.0
43,4.0,122.0,85.0,2310.0,24.8,73.0,1.0
44,4.0,119.0,97.0,2405.0,19.37447592015856,78.0,3.0
45,4.0,140.0,72.0,2408.0,12.224552928710146,71.0,1.0
46,8.0,302.0,130.0,4295.0,24.8,77.0,1.0
47,4.0,98.0,70.0,2120.0,8.0,80.0,1.0
48,4.0,79.0,67.0,1963.0,24.8,74.0,2.0
49,4.0,120.0,97.0,2489.0,8.0,74.0,3.0
