,Cylinders,Displacement,Horse_power,Weight,Acceleration(prediction),Model_year,Origin
0,8.0,390.0,190.0,3850.0,8.0,70.0,1.0
1,8.0,302.0,129.0,3169.0,21.69295340914494,75.0,1.0
2,4.0,98.0,83.0,2219.0,21.92938058282081,74.0,2.0
3,6.0,250.0,100.0,3282.0,13.499536683586662,71.0,1.0
4,8.0,455.0,225.0,4951.0,9.060346193151997,73.0,1.0
5,4.0,97.0,46.0,1950.0,24.8,73.0,2.0
6,8.0,350.0,175.0,4100.0,15.611953434471285,73.0,1.0
7,4.0,151.0,90.0,2678.0,17.00159511355738,80.0,1.0
8,4.0,134.0,90.0,2711.0,19.682783341236423,80.0,3.0
9,8.0,305.0,145.0,3880.0,10.37790744976083,77.0,1.0
10,4.0,115.0,95.0,2694.0,15.659566740899447,75.0,2.0
11,4.0,108.0,75.0,2265.0,14.860468660006951,80.0,3.0
12,8.0,302.0,140.0,4294.0,17.053359686219288,72.0,1.0
13,4.0,91.00000000000001,70.0,1955.0,14.664969536921875,71.0,1.0
14,8.0,305.0,145.0,3425.0,13.981053060174194,78.0,1.0
15,8.0,302.0,140.0,4638.0,15.484315066573531,74.0,1.0
16,6.0,198.0,95.0,3102.0,17.01221263554043,74.0,1.0
17,4.0,91.00000000000001,67.0,1850.0,20.571602728181094,80.0,3.0
18,4.0,98.0,80.0,2164.0,12.5340052810134,72.0,1.0
19,4.0,121.0,98.0,2945.0,15.094013220853064,75.0,2.0
20,8.0,429.0,198.0,4341.0,8.0,70.0,1.0
21,8.0,400.0,170.0,4746.0,8.597083448728892,71.0,1.0
22,4.0,121.0,112.0,2868.0,15.123457959424705,73.0,2.0
23,4.0,151.0,90.0,2556.0,12.359195486212137,79.0,1.0
24,8.0,360.0,215.0,4615.0,14.144262521572141,70.0,1.0
25,3.0,70.0,90.0,2124.0,16.494839150081,73.0,3.0
26,8.0,267.0,125.0,3605.0,16.487694070613383,79.0,1.0
27,6.0,231.0,105.0,3380.0,16.64186893500821,78.0,1.0
28,6.0,231.0,115.0,3245.0,15.110280723641903,79.0,1.0
29,4.0,97.0,67.0,1985.0,11.315510583830239,77.0,3.0
30,8.0,302.0,139.0,3205.0,20.501087974249693,78.0,1.0
31,4.0,141.0,71.0,3190.0,19.23446999938632,79.0,2.0
32,8.0,350.0,180.0,4380.0,8.0,76.0,1.0
33,4.0,151.0,88.0,2740.0,12.816703885782065,77.0,1.0
34,5.0,131.0,103.0,2830.0,20.713282087728455,78.0,2.0
35,4.0,86.0,65.0,2019.0,16.80057559653445,80.0,3.0
36,4.0,140.0,92.0,2572.0,9.645754179925596,76.0,1.0
37,4.0,97.50000000000001,80.0,2126.0,14.532890288439456,72.0,1.0
38,6.0,225.0,105.0,3439.0,17.459141431743024,71.0,1.0
39,8.0,318.0,150.0,4135.0,10.138000518789172,72.0,1.0
40,4.0,140.0,78.0,2592.0,19.737285705733953,75.0,1.0
41,8.0,260.0,90.0,3420.0,8.342236822032515,79.0,1.0
42,4.0,120.0,88.0,2957.0,14.732445261126664,75.0,2.0
43,4.0,122.0,85.0,2310.0,22.970745318433565,73.0,1.0
44,4.0,119.0,97.0,2405.0,8.0,78.0,3.0
45,4.0,140.0,72.0,2408.0,20.067616030833005,71.0,1.0
46,8.0,302.0,130.0,4295.0,14.869366132577502,77.0,1.0
47,4.0,98.0,70.0,2120.0,10.209539069282629,80.0,1.0
48,4.0,79.0,67.0,1963.0,16.898018962439686,74.0,2.0
49,4.0,120.0,97.0,2489.0,8.0,74.0,3.0
