,Thermal Distress,Launch Temperature,Leak-Check Pressure(prediction)
0,0.0,66.0,124.98237512383399
1,0.0,76.0,150.82587598724382
2,0.0,67.0,166.1589552282167
3,0.0,70.0,136.64322019403033
4,2.0,53.0,114.9133427486601
5,0.0,66.0,188.53233983365448
6,0.0,70.0,162.69319709048045
7,0.0,72.0,192.25241464748962
8,2.0,75.0,154.6424611689679
9,1.0,58.0,182.0684947941687
10,0.0,67.0,175.06560719954913
11,0.0,69.0,140.56998214256075
12,1.0,63.0,144.98277494316432
13,1.0,63.0,131.01878137091666
14,1.0,57.0,146.8370088155831
15,0.0,72.0,68.96307908961427
16,1.0,70.0,73.18801707785792
17,0.0,68.0,142.33285690960778
18,1.0,70.0,108.14280451171811
19,0.0,79.0,87.35551073351368
20,0.0,73.0,117.44006226744287
21,0.0,70.0,147.98227084820982
22,0.0,81.0,126.10540388846074
23,0.0,76.0,68.96307908961427
24,0.0,75.0,174.46916859086932
25,1.0,70.0,115.27948081696107
26,0.0,73.0,52.87916942286118
27,0.0,78.0,107.10034420648864
28,0.0,81.0,133.95508548585659
29,1.0,57.0,180.9999820411558
30,2.0,53.0,112.32936168455619
31,0.0,75.0,186.65018722206767
